word_nguyen_mau,frequency,cac_dang_gap,example_files
cockroach,7,cockroaches,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 380 - Tidiness River Channel.md; 🎯 IELTS/📖 Reading/📖 Practice test log - IELTS Academic Reading (BHV nguồn mới).md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md
commission,7,commissioned; commissions,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 288 - City Building Design Control.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 365 - Minimum Driving Age Chain of Command.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 470 - Child Play Workshop.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
companion,7,companions,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 335 - Friends Who Agree Mirror Whetstone.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 403 - Work Social Life Alloy.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 496 - Technology Relationships Switchboard.md
competitiveness,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 328 - Gender Temperament Seed Soil.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 392 - Competitive Sports Flight Simulator.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 731 - The Innovation of Grocery Stores.md
computational,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 984 - Trainer Walking With Dinosaurs.md
consensus,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 863 - From a Novice to an Expert.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md
continuously,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 834 - Living Dunes.md
conversion,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 373 - Qualifications vs Social Skills Roots Branches.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
coo,7,cooing,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 666 - Fears.md
coral,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 255 - Wildlife Trust Fund.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md
cortex,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
counterpart,7,counterparts,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 306 - Women in Tech Pipeline.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 387 - Job Quota Finish Line.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 455 - Generations Workplace Warp Weft.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 470 - Child Play Workshop.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 984 - Trainer Walking With Dinosaurs.md
cushion,7,cushions,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 265 - Happiness Recipe.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 296 - Planning Future Ship Chart.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 337 - University Major vs Broadening.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 408 - Adult Children Parents Harbor.md
customary,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 445 - Travel Adapt Customs Guest.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md
cutlery,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 253 - Ready Made Food Factory.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 270 - Household Waste Sink Drain.md
defect,7,,✍️ Writing/✍️ 01 - Paraphrasing techniques.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 376 - Teacher Criticism Factory Floor.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md
degradation,7,,"🎯 IELTS/📖 Reading/📖 07 - Map, diagram, table.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 762 - How Deserts Are Formed.md; 📖 Reading/📖 04 - Causes and effects.md"
delve,7,delving,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 493 - Travel vs Screens Window Door.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 834 - Living Dunes.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
demonstrative,7,demonstratives,📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
departure,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 273 - Parenting Flight School.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 290 - Art Masterpiece Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 342 - Extreme Tourism Frontier.md
dependable,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 385 - Working Hours Law Floodgate.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 458 - Computer Dependence Hired Servant.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 471 - Family Friends Roots.md
designate,7,designated,✍️ Writing/✍️ 11 - Process essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 317 - Always on Work Whistle.md; 🎯 IELTS/📖 Reading/📖 02 - Multiple choice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md
desirable,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 309 - Processed Food Assembly Line.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 452 - School Behaviour Echo.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 495 - Routine Change Spring Fed Lake.md
disability,7,disabilities,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 294 - Unemployment Benefit Crutch.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 458 - Computer Dependence Hired Servant.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 477 - Handwriting Maths Mental Gym.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md
disastrous,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md
disconnect,7,disconnected,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 317 - Always on Work Whistle.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 430 - Environment Apathy Shared Boat.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 485 - Teen Stress Overloaded Circuit.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 676 - Roller Coaster.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 863 - From a Novice to an Expert.md
discrimination,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 387 - Job Quota Finish Line.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 388 - Recidivism Revolving Door.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
disposal,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 270 - Household Waste Sink Drain.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 441 - Climate Reforms Changing Winds.md
district,7,districts,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 291 - Community Policing Family Doctor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 338 - Reducing Need to Travel Traffic.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 414 - Rural Education Bridge Signal.md
distrust,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 256 - Hotels Homestays Base Camp.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 371 - World Cup Pressure Valve.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md
download,7,downloading; downloads,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 259 - Free Downloads Harvest.md
duplicate,7,duplicated; duplicating,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 355 - Workplace Relationships Orchestra.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md
emigrate,7,emigrating,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 281 - Brain Drain Reservoir.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 402 - Family Relocation Translocation.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 491 - Rich Poor Nations Shared Sky.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
endeavor,7,endeavors,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md
enhancement,7,enhancements,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 390 - Advertising Novelty Shop Window.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 492 - Parents School Society Potters Hands.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md
entrench,7,entrenched,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 320 - Oil Exploration Untouched Lands.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 437 - Public Health Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 467 - World Government Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md
etiquette,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 286 - When in Rome House.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 445 - Travel Adapt Customs Guest.md
executive,7,executives,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 254 - Internet Fame Open Stage.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 328 - Gender Temperament Seed Soil.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 399 - Family Business Relay.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md
exploration,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md
extracurricular,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 336 - Student Attention Radio Signal.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 345 - University Access Mountain Climb.md
fashionable,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 290 - Art Masterpiece Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 337 - University Major vs Broadening.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
fifth,7,,🎯 IELTS/✍️ Writing/✍️ 05 - Task 1 - Pie chart.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 306 - Women in Tech Pipeline.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 318 - Employee Decision Making Blueprint.md
figurehead,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md
firearm,7,firearms,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md
formation,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 834 - Living Dunes.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
formative,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 373 - Qualifications vs Social Skills Roots Branches.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 492 - Parents School Society Potters Hands.md
fray,7,frayed; frays,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 320 - Oil Exploration Untouched Lands.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 455 - Generations Workplace Warp Weft.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 456 - Perfect Society Loom.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md
fridge,7,fridges,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 731 - The Innovation of Grocery Stores.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md
functionally,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 316 - School Curriculum Construction.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 377 - Roads vs Transit Circulatory System.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 458 - Computer Dependence Hired Servant.md
gadget,7,gadgets,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 379 - Technology Sociability Bridge.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md
gait,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md
gel,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md
genre,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 325 - Crime Fiction Puzzle Board.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 473 - Traditional Music Mother Tongue.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 506 - Child Development Factors Soil and Weather.md
gently,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 274 - Physical Mental Relaxation.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 306 - Women in Tech Pipeline.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 833 - Mrs Carlill and the Carbolic Smoke Ball.md
gesture,7,gestures,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 349 - Celebrity Imitation Moonlight.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 400 - Gender Quota Scale.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md
glimpse,7,glimpsed; glimpsing,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 256 - Hotels Homestays Base Camp.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 308 - Endangered Species Library.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 347 - School Books Video Journey.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 394 - Space Colonization Lifeboat.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 439 - Technology Complexity Horse.md
globalization,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 343 - Medical Research Bucket Brigade.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 443 - Local World History Map.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
graduation,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 271 - University Skills Pool Ocean.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 408 - Adult Children Parents Harbor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 500 - Young Leaving Home Shallow Deep Water.md
guideline,7,guidelines,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 671 - Koalas.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md
ham,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 301 - School Curriculum Seed Vault.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 383 - Learning Motivation Flame.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 516 - Teacher vs Student Attitude Two Oars.md
han,7,hans,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 985 - Trainer the Robots Are Coming.md
happily,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 355 - Workplace Relationships Orchestra.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md
hebrew,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md
hectic,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 430 - Environment Apathy Shared Boat.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 511 - Urban Neighbours Crowded Islands.md
heirloom,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 282 - Youth Population Orchard.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 302 - Blood Sports Inherited Blade.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 320 - Oil Exploration Untouched Lands.md
immersive,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 332 - Media Comparison Well.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 509 - Cinema vs Screens Cathedral Postcard.md
immunity,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 460 - Recycling Education Vaccination.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md
impartial,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 291 - Community Policing Family Doctor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 346 - Road Funding Shared Pool.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 358 - Teacher Neutrality Referee.md
inconvenience,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 296 - Planning Future Ship Chart.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 344 - Environmental Sacrifice Trust Fund.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md
initially,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 675 - Water Filter.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 731 - The Innovation of Grocery Stores.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md
interference,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 293 - Open Plan Office Ensemble.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 336 - Student Attention Radio Signal.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 418 - Advertising Signal Static.md
intonation,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
iodine,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md
junk,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 437 - Public Health Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md
khan,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 469 - Food Technology Printing Press.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 675 - Water Filter.md
langmuir,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md
latitude,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md
laziness,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 422 - World Poverty Whirlpool.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 514 - Television Laziness Comfortable Armchair.md
legged,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 861 - Amateur Naturalists.md
lineage,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 334 - Books Losing Importance Habitat.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 369 - Endangered Languages Seedvault.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 487 - Museums Local Art Mirrors.md
loosen,7,loosened; loosening; loosens,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 277 - Global Warming Blanket.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 309 - Processed Food Assembly Line.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 326 - Hot Cold Climate Palette.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md
mango,7,mangoes,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 287 - Air Freighted Fruit Vegetables.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 339 - Imported Food Walled Garden.md
maori,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md
memphis,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 731 - The Innovation of Grocery Stores.md
mexico,7,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
midnight,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 496 - Technology Relationships Switchboard.md
mint,7,minted,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 290 - Art Masterpiece Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 342 - Extreme Tourism Frontier.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 357 - Material Worth Currency.md
mist,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 381 - Advertising Lighthouse Harbor.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md; 📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
monthly,7,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 408 - Adult Children Parents Harbor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 418 - Advertising Signal Static.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 419 - Elderly Care Funding Ledger.md
morse,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 679 - History of Telegraph in Communication.md
musket,7,muskets,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md
negotiation,7,negotiations,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 271 - University Skills Pool Ocean.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 284 - Translation Technology Cooking.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 310 - Traditional Games Circuit Training.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 335 - Friends Who Agree Mirror Whetstone.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 392 - Competitive Sports Flight Simulator.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 416 - Politicians Honesty Lighthouse.md
netherlands,7,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 861 - Amateur Naturalists.md
