word,pos,structure,meaning_en,meaning_vi
seaweed,noun,[sea]+[weed],large algae that grow in the sea or on rocks along the shore,"rong biển, tảo biển"
attempt,noun,at-[tempt],an effort made to achieve or complete something difficult,"sự cố gắng, nỗ lực"
educational,adjective,[education]-al,"relating to education, or providing useful knowledge or information","thuộc về giáo dục, có tính giáo dục"
predict,verb,pre-[dict],to say or estimate that something will happen in the future,dự đoán
workshop,noun,[work]+[shop],"a meeting for discussion or training, or a room used for manual work",buổi hội thảo/xưởng làm việc
actual,adjective,[act]-ual,"existing in fact; real, not imagined or hypothetical","thực tế, thực sự"
cohesion,noun,[word],the action or fact of forming a united whole; sticking together,"sự gắn kết, tính liên kết"
electricity,noun,[electric]-ity,a form of energy resulting from the flow of charged particles,"điện, điện năng"
entertainment,noun,[entertain]-ment,activities or events that provide amusement or enjoyment,sự giải trí
guarantee,noun,[word],a formal promise or assurance that something will happen or be done,"sự đảm bảo, bảo hành"
particularly,adverb,[particular]-ly,to a higher degree than usual; especially,đặc biệt là
temporary,adjective,[word],lasting for only a limited period of time; not permanent,tạm thời
adjust,verb,[word],to alter or move something slightly to achieve a desired fit or result,điều chỉnh
alive,adjective,a-[live],living; not dead,còn sống
classification,noun,[classify]-ication,the act of arranging things systematically into classes or categories,sự phân loại
depth,noun,[deep]-th,the distance from the top or surface down to the bottom of something,độ sâu
per,preposition,[word],for each; in accordance with,"mỗi, theo, trên mỗi"
perspective,noun,per-[spect]-ive,"a particular attitude toward, or way of viewing, something; a point of view","quan điểm, góc nhìn"
probably,adverb,[probable]-y,almost certainly; used to say something is likely true,"có lẽ, có khả năng"
qualification,noun,[qualify]-ication,"an official record showing that a course or exam has been passed, or a skill needed for a job","bằng cấp, tiêu chuẩn, điều kiện"
reservoir,noun,[word],a large natural or artificial lake used as a source of water supply,hồ chứa nước
unnecessary,adjective,un-[necessary],not needed; not required,không cần thiết
exhaust,verb,ex-[haust],to tire someone out completely,làm kiệt sức
exhaust,noun,ex-[haust],waste gases expelled from an engine as a by-product of combustion,khí thải (động cơ)
independence,noun,in-[dependence],freedom from outside control or support; self-governance,sự độc lập
lao,adjective,[word],"relating to Laos, its people, language, or culture","thuộc về Lào, người/tiếng Lào"
platform,noun,plat-[form],"a raised level surface on which people or things stand, or a system used as a basis for something","nền tảng, sân ga, bệ"
thus,adverb,[word],as a result or consequence of this; in this way,"do đó, như vậy"
combination,noun,[combine]-ation,"a joining or merging of different parts, qualities, or things",sự kết hợp
female,adjective,[word],of or denoting the sex that can bear offspring or produce eggs,"thuộc giống cái, phái nữ"
professor,noun,[profess]-or,a university teacher of the highest academic rank,giáo sư
somewhere,adverb,[some]+[where],"in, at, or to an unspecified or unknown place",ở đâu đó
affordable,adjective,[afford]-able,inexpensive enough to be paid for without financial difficulty,có giá cả phải chăng
cable,noun,[word],a thick wire or bundle of wires used to transmit electricity or signals,dây cáp
concentrate,verb,con-[center]-ate,to focus one's attention or mental effort on a single object or activity,tập trung
concentration,noun,con-[center]-ation,"the action of focusing attention, or the proportion of a substance in a mixture",sự tập trung; nồng độ
conservation,noun,[conserve]-ation,the protection and careful management of the environment and natural resources,sự bảo tồn
curiosity,noun,[curious]-ity,a strong desire to know or learn something,sự tò mò
emperor,noun,[word],the male ruler of an empire,hoàng đế
news,noun,[new]-s,"newly received or noteworthy information, especially about recent events",tin tức
refuse,verb,re-[fuse],to indicate or state that one is not willing to do or accept something,từ chối
refuse,noun,re-[fuse],matter thrown away or rejected as worthless; garbage,"rác thải, phế thải"
accessible,adjective,[access]-ible,"able to be reached, entered, or used; easy to understand","có thể tiếp cận được, dễ hiểu"
convert,verb,con-[vert],"to change the form, character, or function of something","chuyển đổi, biến đổi"
convert,noun,con-[vert],a person who has changed their religious faith or other belief,"người cải đạo, người thay đổi niềm tin"
graft,noun,[word],a piece of living tissue that is surgically joined to a body or a plant,"mô ghép, cành ghép"
graph,noun,[word],a diagram showing the relationship between varying quantities,"biểu đồ, đồ thị"
healthcare,noun,[health]+[care],the organized provision of medical care to individuals or a community,"chăm sóc sức khỏe, y tế"
insist,verb,in-[sist],"to demand something forcefully, refusing to accept a refusal or an alternative","khăng khăng, nhất quyết"
observation,noun,[observe]-ation,the action of closely watching or noticing someone or something,sự quan sát
stability,noun,[stable]-ility,the state of being steady and not likely to change or fail,sự ổn định
teamwork,noun,[team]+[work],the combined effective action of a group working together,"làm việc nhóm, tinh thần đồng đội"
ambition,noun,[word],"a strong desire to achieve something, typically requiring determination","tham vọng, hoài bão"
equal,adjective,[word],"being the same in quantity, size, degree, or value as another","bằng nhau, ngang nhau"
everywhere,adverb,[every]+[where],"in, at, or to all places",ở khắp mọi nơi
extinction,noun,[extinct]-ion,the state or process of a species or group dying out completely,sự tuyệt chủng
gift,noun,[word],a thing given willingly to someone without payment; a natural talent,món quà; năng khiếu
hull,noun,[word],"the main body of a ship or boat, or the outer covering of a seed or fruit","thân tàu; vỏ (hạt, quả)"
mozart,noun,[word],"referring to Wolfgang Amadeus Mozart, the famous Austrian composer","tên riêng, chỉ nhà soạn nhạc Mozart"
punishment,noun,[punish]-ment,the infliction of a penalty as retribution for an offense,sự trừng phạt
quiz,noun,[word],"a test of knowledge, especially a short and informal one","bài kiểm tra ngắn, trò chơi đố vui"
