word,pos,structure,meaning_en,meaning_vi
playful,adjective,[play]-ful,full of fun and high spirits,"play(chơi) + -ful(đầy, có nhiều (tính từ))"
playable,adjective,[play]-able,capable of or suitable for being played or played on,play(chơi) + -able(có thể được (tính từ))
playfully,adverb,[play]-ful-ly,in a playful manner,"play(chơi) + -ful(đầy, có nhiều (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
playfulness,noun,[play]-ful-ness,activities that are enjoyable or amusing,"play(chơi) + -ful(đầy, có nhiều (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
replay,noun,re-[play],the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape,"re-(lại, làm lại) + play(chơi)"
outplay,verb,out-[play],excel or defeat in a game,"out-(ra ngoài, vượt trội) + play(chơi)"
overplay,verb,over-[play],exaggerate one's acting,"over-(trên, quá mức) + play(chơi)"
foreplay,noun,fore-[play],mutual sexual fondling prior to sexual intercourse,"fore-(trước, phía trước) + play(chơi)"
interplay,noun,inter-[play],reciprocal action and reaction,"inter-(giữa, liên) + play(chơi)"
unplayable,adjective,un-[play]-able,not capable of or suitable for being played or played on,"un-(không, ngược lại (phủ định/đảo nghĩa)) + play(chơi) + -able(có thể được (tính từ))"
pleader,noun,[plead]-er,a lawyer who pleads cases in court,"plead(biện hộ, van xin) + -er(người làm việc gì; so sánh hơn)"
pleadingly,adverb,[plead]-ly,in a beseeching manner,"plead(biện hộ, van xin) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
pleasant,adjective,[please]-ant,"fun, attractive, or giving pleasure",please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
pleasure,noun,[please]-ure,a state of feeling or being happy or satisfied ,"please(làm hài lòng) + -ure(hành động, kết quả, quá trình (danh từ))"
pleasance,noun,[please]-ance,a fundamental feeling that is hard to define but that people desire to experience,"please(làm hài lòng) + -ance(trạng thái, tính chất, hành động (danh từ))"
pleasingly,adverb,[please]-ly,in a pleasing manner,please(làm hài lòng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
pleasantry,noun,[please]-ant-ory,an agreeable or amusing remark,"please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
pleasantly,adverb,[please]-ant-ly,in an enjoyable manner,please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
pleasurable,adjective,[please]-ure-able,affording satisfaction or pleasure,"please(làm hài lòng) + -ure(hành động, kết quả, quá trình (danh từ)) + -able(có thể được (tính từ))"
pleasantness,noun,[please]-ant-ness,the quality of giving pleasure,"please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ness(trạng thái, tính chất (danh từ))"
pleasurably,adverb,[please]-ure-able-y,in a very pleasurable manner,"please(làm hài lòng) + -ure(hành động, kết quả, quá trình (danh từ)) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
displease,verb,dis-[please],give displeasure to,"dis-(không, ngược lại, tách rời) + please(làm hài lòng)"
unpleased,exclamation,un-[please],"un-(not, opposite of; reverse an action) + please(used as a polite way of asking for something or telling somebody to do something)","un-(không, ngược lại (phủ định/đảo nghĩa)) + please(làm hài lòng)"
unpleasant,adjective,un-[please]-ant,not pleasant or comfortable,"un-(không, ngược lại (phủ định/đảo nghĩa)) + please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
displeasure,noun,dis-[please]-ure,the feeling of being displeased or annoyed or dissatisfied with someone or something,"dis-(không, ngược lại, tách rời) + please(làm hài lòng) + -ure(hành động, kết quả, quá trình (danh từ))"
displeasingly,adverb,dis-[please]-ly,in a displeasing manner,"dis-(không, ngược lại, tách rời) + please(làm hài lòng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
unpleasantly,adverb,un-[please]-ant-ly,in an unpleasant manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
unpleasantness,noun,un-[please]-ant-ness,the quality of giving displeasure,"un-(không, ngược lại (phủ định/đảo nghĩa)) + please(làm hài lòng) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ness(trạng thái, tính chất (danh từ))"
plenteous,adjective,[plenty]-ious,affording an abundant supply,"plenty(nhiều, dồi dào) + -ious(có tính chất (tính từ))"
plentiful,adjective,[plenty]-ful,affording an abundant supply,"plenty(nhiều, dồi dào) + -ful(đầy, có nhiều (tính từ))"
plenteously,adverb,[plenty]-ious-ly,in a bountiful manner,"plenty(nhiều, dồi dào) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
plentifully,adverb,[plenty]-ful-ly,in a bountiful manner,"plenty(nhiều, dồi dào) + -ful(đầy, có nhiều (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
plenteousness,noun,[plenty]-ious-ness,a full supply,"plenty(nhiều, dồi dào) + -ious(có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
plotter,noun,[plot]-er,an instrument (usually driven by a computer) for drawing graphs or pictures,"plot(âm mưu, cốt truyện) + -er(người làm việc gì; so sánh hơn)"
subplot,noun,sub-[plot],"sub-(under, below) + plot(the series of events that form the story of a novel, play, film, etc.)","sub-(dưới) + plot(âm mưu, cốt truyện)"
plunger,noun,[plunge]-er,mechanical device that has a plunging or thrusting motion,plunge(lao xuống) + -er(người làm việc gì; so sánh hơn)
surplus,noun,sur-[plus],an amount that is extra or more than you need,"sur-(trên, vượt quá (biến thể của super-)) + plus(cộng thêm)"
pocketful,noun,[pocket]-ful,the quantity a pocket will hold,"pocket(túi áo) + -ful(đầy, có nhiều (tính từ))"
poetic,adjective,[poet]-ic,characterized by romantic imagery,poet(nhà thơ) + -ic(thuộc về (tính từ))
poetry,noun,[poet]-ory,poems in general; poems as a genre of literature,"poet(nhà thơ) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
poetess,noun,[poet]-ess,a woman poet,poet(nhà thơ) + -ess(giống cái (danh từ))
poetics,noun,[poet]-ics,study of poetic works,poet(nhà thơ) + -ics(lĩnh vực nghiên cứu (danh từ))
poetical,adjective,[poet]-ic-al,characteristic of or befitting poetry,poet(nhà thơ) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ))
poetically,adverb,[poet]-ic-ly,in a poetic manner,poet(nhà thơ) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
pointer,noun,[point]-er,a strong slender smooth-haired dog of Spanish origin having a white coat with brown or black patches,"point(điểm, chỉ ra) + -er(người làm việc gì; so sánh hơn)"
pointedly,adverb,[point]-ly,in such a manner as to make something clearly evident,"point(điểm, chỉ ra) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
pointless,adjective,[point]-less,not having a point especially a sharp point,"point(điểm, chỉ ra) + -less(không có (tính từ))"
pointlessly,adverb,[point]-less-ly,in a pointless manner,"point(điểm, chỉ ra) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
pointlessness,noun,[point]-less-ness,total lack of meaning or ideas,"point(điểm, chỉ ra) + -less(không có (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
repoint,verb,re-[point],repair the joints of bricks,"re-(lại, làm lại) + point(điểm, chỉ ra)"
midpoint,noun,mid-[point],a point equidistant from the ends of a line or the extremities of a figure,"mid-(giữa) + point(điểm, chỉ ra)"
outpointed,noun,out-[point],"out-(beyond, exceeding, external) + point(a thing that somebody says or writes giving their opinion or stating a fact)","out-(ra ngoài, vượt trội) + point(điểm, chỉ ra)"
poisoner,noun,[poison]-er,someone who kills with poison,poison(chất độc) + -er(người làm việc gì; so sánh hơn)
poisonous,adjective,[poison]-ious,causing death or illness if swallowed or taken into the body,poison(chất độc) + -ious(có tính chất (tính từ))
poisonously,adverb,[poison]-ious-ly,in a very malevolent manner,poison(chất độc) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
polar,adjective,[pole]-ar,having a pair of equal and opposite charges,"pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ))"
polarity,noun,[pole]-ar-ity,a relation between two opposite attributes or tendencies,"pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
polarize,verb,[pole]-ar-ize,become polarized in a conflict or contrasting situation,"pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ)) + -ize(làm cho, biến thành (động từ))"
polarization,noun,[pole]-ar-ize-ion,the phenomenon in which waves of light or other radiation are restricted in direction of vibration,"pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ)) + -ize(làm cho, biến thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
dipole,noun,di-[pole],an aerial half a wavelength long consisting of two rods connected to a transmission line at the center,"di-(hai (Hy Lạp)) + pole(cực, cột)"
transpolar,adjective,trans-[pole]-ar,extending across or crossing either pole,"trans-(xuyên qua, chuyển đổi) + pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ))"
circumpolar,adjective,circum-[pole]-ar,located or found throughout a polar region,"circum-(xung quanh) + pole(cực, cột) + -ar(thuộc về (tính từ); người (danh từ))"
politer,noun,[polite]-er,polite(having or showing good manners and respect for the feelings of others) + -er(person who does; comparative),polite(lịch sự) + -er(người làm việc gì; so sánh hơn)
politely,adverb,[polite]-ly,in a polite manner,polite(lịch sự) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
politest,adjective,[polite]-est,polite(having or showing good manners and respect for the feelings of others) + -est(superlative),polite(lịch sự) + -est(so sánh nhất)
politeness,noun,[polite]-ness,the act of showing regard for others,"polite(lịch sự) + -ness(trạng thái, tính chất (danh từ))"
impolite,adjective,im-[polite],not polite,im-(không (biến thể của in- trước b/m/p)) + polite(lịch sự)
impolitely,adverb,im-[polite]-ly,in a manner showing a lack of regard for others,im-(không (biến thể của in- trước b/m/p)) + polite(lịch sự) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
impoliteness,noun,im-[polite]-ness,a discourteous manner that ignores accepted social usage,"im-(không (biến thể của in- trước b/m/p)) + polite(lịch sự) + -ness(trạng thái, tính chất (danh từ))"
pollster,noun,[poll]-ster,someone who conducts surveys of public opinion,poll(thăm dò ý kiến) + -ster(người làm việc gì (danh từ))
poorer,noun,[poor]-er,poor(having very little money; not having enough money for basic needs) + -er(person who does; comparative),poor(nghèo) + -er(người làm việc gì; so sánh hơn)
poorly,adjective,[poor]-ly,somewhat ill or prone to illness,poor(nghèo) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
poorest,adjective,[poor]-est,poor(having very little money; not having enough money for basic needs) + -est(superlative),poor(nghèo) + -est(so sánh nhất)
poorness,noun,[poor]-ness,the quality of being poorly made or maintained,"poor(nghèo) + -ness(trạng thái, tính chất (danh từ))"
popper,noun,[pop]-er,a container for cooking popcorn,"pop(nhạc pop, nổ) + -er(người làm việc gì; so sánh hơn)"
porter,noun,[port]-er,a very dark sweet ale brewed from roasted unmalted barley,port(cảng) + -er(người làm việc gì; so sánh hơn)
portly,adjective,[port]-ly,euphemisms for `fat',port(cảng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
portage,noun,[port]-age,carrying boats and supplies overland,"port(cảng) + -age(hành động, kết quả, tập hợp (danh từ))"
portable,adjective,[port]-able,of a motor designed to be attached to the outside of a boat's hull,port(cảng) + -able(có thể được (tính từ))
portlier,noun,[port]-ly-er,"port(a town or city with a harbour, especially one where ships load and unload goods) + -ly(adverb of manner / adjective (like)) + -er(person who does; comparative)",port(cảng) + -ly(trạng từ chỉ cách thức / tính từ (giống như)) + -er(người làm việc gì; so sánh hơn)
portliness,noun,[port]-ly-ness,"port(a town or city with a harbour, especially one where ships load and unload goods) + -ly(adverb of manner / adjective (like)) + -ness(state or quality of (noun))","port(cảng) + -ly(trạng từ chỉ cách thức / tính từ (giống như)) + -ness(trạng thái, tính chất (danh từ))"
portability,noun,[port]-able-ity,the quality of being light enough to be carried,"port(cảng) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
deport,verb,de-[port],expel from a country,"de-(xuống, loại bỏ, đảo ngược) + port(cảng)"
report,noun,re-[port],"a written or spoken account of an event, especially one that is published or broadcast","re-(lại, làm lại) + port(cảng)"
export,noun,ex-[port],the selling and transporting of goods to another country,"ex-(ra khỏi, cựu, nguyên) + port(cảng)"
import,noun,in-[port],a product or service that is brought into one country from another,in-(không; vào trong) + port(cảng)
disport,verb,dis-[port],play boisterously,"dis-(không, ngược lại, tách rời) + port(cảng)"
transport,noun,trans-[port],"a system for carrying people or goods from one place to another using vehicles, roads, etc.","trans-(xuyên qua, chuyển đổi) + port(cảng)"
exporter,noun,ex-[port]-er,a businessperson who transports goods abroad (for sale),"ex-(ra khỏi, cựu, nguyên) + port(cảng) + -er(người làm việc gì; so sánh hơn)"
reporter,noun,re-[port]-er,"a person who collects and reports news for newspapers, radio or television","re-(lại, làm lại) + port(cảng) + -er(người làm việc gì; so sánh hơn)"
importer,noun,in-[port]-er,someone whose business involves importing goods from outside (especially from a foreign country),in-(không; vào trong) + port(cảng) + -er(người làm việc gì; so sánh hơn)
deportee,noun,de-[port]-ee,a person who is expelled from home or country by authority,"de-(xuống, loại bỏ, đảo ngược) + port(cảng) + -ee(người nhận/chịu tác động (danh từ))"
reportage,noun,re-[port]-age,the news as presented by reporters for newspapers or radio or television,"re-(lại, làm lại) + port(cảng) + -age(hành động, kết quả, tập hợp (danh từ))"
reportedly,adverb,re-[port]-ly,according to what some people say,"re-(lại, làm lại) + port(cảng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
exportable,adjective,ex-[port]-able,suitable for export,"ex-(ra khỏi, cựu, nguyên) + port(cảng) + -able(có thể được (tính từ))"
deportment,noun,de-[port]-ment,(behavioral attributes) the way a person behaves toward other people,"de-(xuống, loại bỏ, đảo ngược) + port(cảng) + -ment(kết quả/hành động/trạng thái (danh từ))"
exportation,noun,ex-[port]-ion,the commercial activity of selling and shipping goods to a foreign country,"ex-(ra khỏi, cựu, nguyên) + port(cảng) + -ion(hành động, quá trình, trạng thái (danh từ))"
deportation,noun,de-[port]-ion,the expulsion from a country of an undesirable alien,"de-(xuống, loại bỏ, đảo ngược) + port(cảng) + -ion(hành động, quá trình, trạng thái (danh từ))"
importation,noun,in-[port]-ion,the commercial activity of buying and bringing in goods from a foreign country,"in-(không; vào trong) + port(cảng) + -ion(hành động, quá trình, trạng thái (danh từ))"
transporter,noun,trans-[port]-er,a moving belt that transports objects (as in a factory),"trans-(xuyên qua, chuyển đổi) + port(cảng) + -er(người làm việc gì; so sánh hơn)"
transportable,adjective,trans-[port]-able,capable of being moved or conveyed from one place to another,"trans-(xuyên qua, chuyển đổi) + port(cảng) + -able(có thể được (tính từ))"
transportation,noun,trans-[port]-ion,"a system for carrying people or goods from one place to another using vehicles, roads, etc.","trans-(xuyên qua, chuyển đổi) + port(cảng) + -ion(hành động, quá trình, trạng thái (danh từ))"
reportorial,adjective,re-[port]-or-al,"Of or pertaining to a reporter or reporters; as, thereportorial staff of a newspaper.","re-(lại, làm lại) + port(cảng) + -or(người/vật thực hiện (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
misreport,noun,re-mis-[port],To report erroneously; to give an incorrect account of. Locke.,"re-(lại, làm lại) + mis-(sai, xấu) + port(cảng)"
apportion,verb,a-[portion],to distribute according to a plan or set apart for a special purpose,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + portion(phần)
proportion,noun,pro-[portion],a part or share of a whole,"pro-(về phía trước, ủng hộ) + portion(phần)"
proportional,adjective,pro-[portion]-al,properly related in size or degree or other measurable characteristics,"pro-(về phía trước, ủng hộ) + portion(phần) + -al(thuộc về (tính từ); hành động (danh từ))"
proportionate,adjective,pro-[portion]-ate,"agreeing in amount, magnitude, or degree","pro-(về phía trước, ủng hộ) + portion(phần) + -ate(làm cho/trở thành (động từ); có (tính từ))"
apportionment,noun,a-[portion]-ment,the act of distributing by allotting or apportioning,a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + portion(phần) + -ment(kết quả/hành động/trạng thái (danh từ))
proportionable,adjective,pro-[portion]-able,proportionate,"pro-(về phía trước, ủng hộ) + portion(phần) + -able(có thể được (tính từ))"
proportionally,adverb,pro-[portion]-al-ly,to a proportionate degree,"pro-(về phía trước, ủng hộ) + portion(phần) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
proportionality,noun,pro-[portion]-al-ity,harmonious arrangement or relation of parts or elements within a whole (as in a design),"pro-(về phía trước, ủng hộ) + portion(phần) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
proportionately,adverb,pro-[portion]-ate-ly,in proportion,"pro-(về phía trước, ủng hộ) + portion(phần) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
disproportion,noun,pro-dis-[portion],lack of proportion,"pro-(về phía trước, ủng hộ) + dis-(không, ngược lại, tách rời) + portion(phần)"
reapportioned,noun,a-re-[portion],"a-(not/without (Greek); on/in (VD: aboard); or intensifier) + re-(again, back) + portion(one part of something larger)","a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + re-(lại, làm lại) + portion(phần)"
reapportionment,noun,a-re-[portion]-ment,a new apportionment (especially a new apportionment of congressional seats in the United States on the basis of census results),"a-(không/vô (Hy Lạp); trên/vào (VD aboard)) + re-(lại, làm lại) + portion(phần) + -ment(kết quả/hành động/trạng thái (danh từ))"
disproportionate,adjective,pro-dis-[portion]-ate,not proportionate,"pro-(về phía trước, ủng hộ) + dis-(không, ngược lại, tách rời) + portion(phần) + -ate(làm cho/trở thành (động từ); có (tính từ))"
disproportionately,adverb,pro-dis-[portion]-ate-ly,to a disproportionate degree,"pro-(về phía trước, ủng hộ) + dis-(không, ngược lại, tách rời) + portion(phần) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
portrayal,noun,[portray]-al,acting the part of a character on stage,portray(miêu tả) + -al(thuộc về (tính từ); hành động (danh từ))
portraiture,noun,[portray]-ure,the activity of making portraits,"portray(miêu tả) + -ure(hành động, kết quả, quá trình (danh từ))"
portraitist,noun,[portray]-ist,a painter or drawer of portraits,portray(miêu tả) + -ist(người theo/thực hành (danh từ))
poser,noun,[pose]-er,a particularly difficult or baffling question or problem,"pose(tạo dáng, đặt ra) + -er(người làm việc gì; so sánh hơn)"
posey,adjective,[pose]-y,"pose(to create a threat, problem, etc. that has to be dealt with) + -y(having quality of; noun/adjective)","pose(tạo dáng, đặt ra) + -y(có tính chất; danh từ/tính từ)"
depose,verb,de-[pose],make a deposition,"de-(xuống, loại bỏ, đảo ngược) + pose(tạo dáng, đặt ra)"
repose,noun,re-[pose],"freedom from activity, especially work, strain or responsibility","re-(lại, làm lại) + pose(tạo dáng, đặt ra)"
expose,verb,ex-[pose],to show something that is usually hidden,"ex-(ra khỏi, cựu, nguyên) + pose(tạo dáng, đặt ra)"
impose,verb,in-[pose],"to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used","in-(không; vào trong) + pose(tạo dáng, đặt ra)"
oppose,verb,o-[pose],"to disagree strongly with somebody’s plan, policy, etc. and try to change it or prevent it from succeeding","o-(chống, hướng về (biến thể của ob-)) + pose(tạo dáng, đặt ra)"
propose,verb,pro-[pose],"to suggest a plan, an idea, etc. for people to think about and decide on","pro-(về phía trước, ủng hộ) + pose(tạo dáng, đặt ra)"
suppose,verb,su-[pose],to think or believe that something is true or possible (based on the knowledge that you have),"su-(dưới (biến thể sub- trước p)) + pose(tạo dáng, đặt ra)"
dispose,verb,dis-[pose],to arrange things or people in a particular way or position,"dis-(không, ngược lại, tách rời) + pose(tạo dáng, đặt ra)"
compose,verb,co-[pose],to write music,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra)"
malposed,adjective,mal-[pose],characterized by malposition,"mal-(xấu, tệ) + pose(tạo dáng, đặt ra)"
juxtapose,verb,juxta-[pose],to place side by side,"juxta-(kề bên) + pose(tạo dáng, đặt ra)"
interpose,verb,inter-[pose],to insert between other elements,"inter-(giữa, liên) + pose(tạo dáng, đặt ra)"
transpose,noun,trans-[pose],a matrix formed by interchanging the rows and columns of a given matrix,"trans-(xuyên qua, chuyển đổi) + pose(tạo dáng, đặt ra)"
superposed,verb,super-[pose],"super-(above, beyond, extremely) + pose(to create a threat, problem, etc. that has to be dealt with)","super-(trên, vượt trội, cực kỳ) + pose(tạo dáng, đặt ra)"
proposer,noun,pro-[pose]-er,(parliamentary procedure) someone who makes a formal motion,"pro-(về phía trước, ủng hộ) + pose(tạo dáng, đặt ra) + -er(người làm việc gì; so sánh hơn)"
proposal,noun,pro-[pose]-al,a formal suggestion or plan; the act of making a suggestion,"pro-(về phía trước, ủng hộ) + pose(tạo dáng, đặt ra) + -al(thuộc về (tính từ); hành động (danh từ))"
opposite,adjective,o-[pose]-ite,on the other side of a particular area from somebody/something and usually facing them,"o-(chống, hướng về (biến thể của ob-)) + pose(tạo dáng, đặt ra) + -ite(người theo; khoáng chất/hóa chất (danh từ))"
disposal,noun,dis-[pose]-al,the act of getting rid of something,"dis-(không, ngược lại, tách rời) + pose(tạo dáng, đặt ra) + -al(thuộc về (tính từ); hành động (danh từ))"
exposure,noun,ex-[pose]-ure,the state of being in a place or situation where there is no protection from something harmful or unpleasant,"ex-(ra khỏi, cựu, nguyên) + pose(tạo dáng, đặt ra) + -ure(hành động, kết quả, quá trình (danh từ))"
composer,noun,co-[pose]-er,"a person who writes music, especially classical music","co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -er(người làm việc gì; so sánh hơn)"
composure,noun,co-[pose]-ure,steadiness of mind under stress,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -ure(hành động, kết quả, quá trình (danh từ))"
composite,adjective,co-[pose]-ite,consisting of separate interconnected parts,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -ite(người theo; khoáng chất/hóa chất (danh từ))"
supposedly,adverb,su-[pose]-ly,according to what is generally thought or believed but not known for certain,"su-(dưới (biến thể sub- trước p)) + pose(tạo dáng, đặt ra) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
composedly,adverb,co-[pose]-ly,in a self-collected or self-possessed manner,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
imposingly,adverb,in-[pose]-ly,in an impressive manner,"in-(không; vào trong) + pose(tạo dáng, đặt ra) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
imposition,noun,in-[pose]-ion,the act of imposing something (as a tax or an embargo),"in-(không; vào trong) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
disposable,adjective,dis-[pose]-able,designed to be disposed of after use,"dis-(không, ngược lại, tách rời) + pose(tạo dáng, đặt ra) + -able(có thể được (tính từ))"
supposition,noun,su-[pose]-ion,the cognitive process of supposing,"su-(dưới (biến thể sub- trước p)) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
proposition,noun,pro-[pose]-ion,"an idea or a plan of action that is suggested, especially in business","pro-(về phía trước, ủng hộ) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
suppository,noun,su-[pose]-ory,a small plug of medication designed for insertion into the rectum or vagina where it melts,"su-(dưới (biến thể sub- trước p)) + pose(tạo dáng, đặt ra) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
superposition,noun,super-[pose]-ion,the placement of one thing on top of another,"super-(trên, vượt trội, cực kỳ) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
transposition,noun,trans-[pose]-ion,(music) playing in a different key from the key intended,"trans-(xuyên qua, chuyển đổi) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
juxtaposition,noun,juxta-[pose]-ion,the act of positioning close together (or side by side),"juxta-(kề bên) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
compositor,noun,co-[pose]-it-or,one who sets written material into type,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -it(it) + -or(người/vật thực hiện (danh từ))"
opposition,noun,o-[pose]-it-ion,"the act of strongly disagreeing with somebody/something, especially with the aim of preventing something from happening","o-(chống, hướng về (biến thể của ob-)) + pose(tạo dáng, đặt ra) + -it(it) + -ion(hành động, quá trình, trạng thái (danh từ))"
composition,noun,co-[pose]-it-ion,the different parts that something is made of; the way in which the different parts are organized,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -it(it) + -ion(hành động, quá trình, trạng thái (danh từ))"
propositional,adjective,pro-[pose]-ion-al,"Pertaining to, or in the nature of, a proposition; consideredas a proposition; as, a propositional sense. I. Watts.","pro-(về phía trước, ủng hộ) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
compositional,adjective,co-[pose]-it-ion-al,arranging or grouping,"co-(cùng nhau, chung) + pose(tạo dáng, đặt ra) + -it(it) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
decompose,verb,co-de-[pose],separate (substances) into constituent elements or parts,"co-(cùng nhau, chung) + de-(xuống, loại bỏ, đảo ngược) + pose(tạo dáng, đặt ra)"
discompose,verb,co-dis-[pose],cause to lose one's composure,"co-(cùng nhau, chung) + dis-(không, ngược lại, tách rời) + pose(tạo dáng, đặt ra)"
unimposing,adjective,in-un-[pose],lacking in impressiveness,"in-(không; vào trong) + un-(không, ngược lại (phủ định/đảo nghĩa)) + pose(tạo dáng, đặt ra)"
overexpose,verb,ex-over-[pose],expose excessively,"ex-(ra khỏi, cựu, nguyên) + over-(trên, quá mức) + pose(tạo dáng, đặt ra)"
predispose,verb,dis-pre-[pose],make susceptible,"dis-(không, ngược lại, tách rời) + pre-(trước) + pose(tạo dáng, đặt ra)"
indisposed,adjective,dis-im-[pose],somewhat ill or prone to illness,"dis-(không, ngược lại, tách rời) + im-(không (biến thể của in- trước b/m/p)) + pose(tạo dáng, đặt ra)"
presuppose,verb,su-pre-[pose],require as a necessary antecedent or precondition,"su-(dưới (biến thể sub- trước p)) + pre-(trước) + pose(tạo dáng, đặt ra)"
superimpose,verb,in-super-[pose],place on top of,"in-(không; vào trong) + super-(trên, vượt trội, cực kỳ) + pose(tạo dáng, đặt ra)"
underexpose,verb,ex-under-[pose],expose insufficiently,"ex-(ra khỏi, cựu, nguyên) + under-(dưới, không đủ) + pose(tạo dáng, đặt ra)"
discomposure,noun,co-dis-[pose]-ure,a temperament that is perturbed and lacking in composure,"co-(cùng nhau, chung) + dis-(không, ngược lại, tách rời) + pose(tạo dáng, đặt ra) + -ure(hành động, kết quả, quá trình (danh từ))"
underexposure,noun,ex-under-[pose]-ure,inadequate publicity,"ex-(ra khỏi, cựu, nguyên) + under-(dưới, không đủ) + pose(tạo dáng, đặt ra) + -ure(hành động, kết quả, quá trình (danh từ))"
presupposition,noun,su-pre-[pose]-ion,the act of presupposing,"su-(dưới (biến thể sub- trước p)) + pre-(trước) + pose(tạo dáng, đặt ra) + -ion(hành động, quá trình, trạng thái (danh từ))"
