root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
line,Word + Word,line + back,"linebackers, lineman, linertrain, lineup",4
line,Prefix + Root,prefix + line,"align, byline, interlining, nonaligned, outline, realign, relining, underline",8
line,Root + Suffix,line + suffix,"ligneous, lignite, lineal, linear, linearly, liner",6
line,Prefix + Root + Suffix,prefix + line + suffix,"alignment, bilinear, delineate, delineation, misalignment, nonalignment, realignment",7
linger,Root + Suffix,linger + suffix,"lingerer, lingeringly",2
link,Word + Word,link + up,linkup,1
link,Prefix + Root,prefix + link,"interlink, unlinked",2
link,Root + Suffix,link + suffix,linkage,1
lion,Root + Suffix,lion + suffix,"lioness, lionization, lionize",3
lip,Word + Word,lip + stick,lipstick,1
list,Prefix + Root,prefix + list,"enlist, unlisted",2
list,Root + Suffix,list + suffix,"listless, listlessly, listlessness",3
list,Prefix + Root + Suffix,prefix + list + suffix,enlistment,1
listen,Root + Suffix,listen + suffix,listener,1
litre,Prefix + Root,prefix + litre,"kilolitre, millilitre",2
litter,Word + Word,litter + bag,"litterbag, litterbin, litterbug",3
little,Prefix + Root,prefix + little,belittle,1
little,Root + Suffix,little + suffix,"littleness, littler, littlest",3
live,Word + Word,live + long,"livelong, livestock",2
live,Prefix + Root,prefix + live,"alive, outlive, relive",3
live,Root + Suffix,live + suffix,"livability, livable, livelier, liveliest, livelihood, liveliness, lively",7
live,Prefix + Root + Suffix,prefix + live + suffix,enliven,1
liver,Root + Suffix,liver + suffix,liverish,1
load,Prefix + Root,prefix + load,"overload, reload, unload",3
load,Root + Suffix,load + suffix,loader,1
load,Prefix + Root + Suffix,prefix + load + suffix,"autoloader, unloader",2
loan,Word + Word,loan + word,loanword,1
lobby,Root + Suffix,lobby + suffix,lobbyist,1
lock,Word + Word,lock + nut,"locknut, lockout, lockup",3
lock,Prefix + Root,prefix + lock,"forelock, interlock, unlock",3
lock,Root + Suffix,lock + suffix,"lockable, locker, lockian",3
log,Word + Word,log + book,"logbook, loggerheads, logjams",3
log,Prefix + Root,prefix + log,"dialogue, epilogue, monologue, prologue",4
log,Root + Suffix,log + suffix,logger,1
log,Prefix + Root + Suffix,prefix + log + suffix,"epidemiological, eulogist, eulogistic, eulogistically, eulogize, eulogizers, eulogy, monologist (+1 từ khác)",9
logic,Root + Suffix,logic + suffix,"logical, logicality, logically, logician",4
logic,Prefix + Root + Suffix,prefix + logic + suffix,"illogical, illogicality, illogically, illogicalness",4
long,Word + Word,long + boat,"longboat, longbow, longfellow, longhaired, longhand, longhorn, longrun, longship (+8 từ khác)",16
long,Prefix + Root,prefix + long,"overlong, prolong",2
long,Root + Suffix,long + suffix,"longer, longest, longevity, longingly, longish, longitude, longitudinal, longitudinally (+1 từ khác)",9
long,Prefix + Root + Suffix,prefix + long + suffix,"elongate, elongation, prolongation",3
look,Word + Word,look + out,"lookout, lookup",2
look,Prefix + Root,prefix + look,"outlook, overlook",2
look,Root + Suffix,look + suffix,looker,1
look,Prefix + Root + Suffix,prefix + look + suffix,onlooker,1
loop,Word + Word,loop + hole,loophole,1
loop,Root + Suffix,loop + suffix,"loopier, loopiest, loopy",3
loose,Word + Word,loose + box,loosebox,1
loose,Prefix + Root,prefix + loose,unloose,1
loose,Root + Suffix,loose + suffix,"loosely, loosen, looseness, looser, loosest",5
loose,Prefix + Root + Suffix,prefix + loose + suffix,unloosen,1
lord,Prefix + Root,prefix + lord,overlord,1
lord,Root + Suffix,lord + suffix,"lordlier, lordliest, lordliness, lordly, lordship",5
lose,Root + Suffix,lose + suffix,loser,1
loud,Word + Word,loud + hail,"loudhailer, loudmouth, loudspeaker",3
loud,Prefix + Root,prefix + loud,overloud,1
loud,Root + Suffix,loud + suffix,"louder, loudest, loudly, loudness",4
love,Word + Word,love + bird,"lovebird, lovechildren, lovejoy, lovemaking, loverlike, lovesick",6
love,Prefix + Root,prefix + love,beloved,1
love,Root + Suffix,love + suffix,"lovable, loveless, lovelier, loveliest, loveliness, lovely, lover, lovey",8
love,Prefix + Root + Suffix,prefix + love + suffix,unlovely,1
low,Word + Word,low + down,"lowdown, lowermost, lowland, lowlander",4
low,Root + Suffix,low + suffix,"lower, lowest, lowlier, lowliest, lowliness, lowly, lowness",7
loyal,Prefix + Root,prefix + loyal,disloyal,1
loyal,Root + Suffix,loyal + suffix,"loyalist, loyally, loyalty",3
loyal,Prefix + Root + Suffix,prefix + loyal + suffix,"disloyally, disloyalty",2
luck,Root + Suffix,luck + suffix,"luckier, luckiest, luckily, luckiness, luckless, lucky",6
luck,Prefix + Root + Suffix,prefix + luck + suffix,"unluckily, unlucky",2
lunch,Word + Word,lunch + room,"lunchroom, lunchtime",2
luxury,Root + Suffix,luxury + suffix,"luxuriance, luxuriant, luxuriantly, luxurious, luxuriously",5
lyric,Root + Suffix,lyric + suffix,"lyrical, lyrically, lyricism, lyricist",4
machine,Word + Word,machine + gun,"machinegun, machinelike",2
machine,Root + Suffix,machine + suffix,"machinate, machination, machinery, machinist",4
mad,Word + Word,mad + cap,"madcap, madhouse, madman, madwoman",4
mad,Root + Suffix,mad + suffix,"madden, madder, maddest, madly, madness",5
mad,Prefix + Root + Suffix,prefix + mad + suffix,bemaddening,1
magic,Root + Suffix,magic + suffix,"magical, magically, magician",3
mail,Word + Word,mail + bag,"mailbag, mailboat, mailbox, mailman",4
mail,Root + Suffix,mail + suffix,mailer,1
main,Word + Word,main + land,"mainland, mainline, mainsail, mainspring, mainstay, mainstream",6
main,Root + Suffix,main + suffix,mainly,1
maintain,Root + Suffix,maintain + suffix,"maintainable, maintenance",2
major,Root + Suffix,major + suffix,"majorette, majority",2
make,Word + Word,make + peace,"makepeace, makeshift, makeup",3
make,Prefix + Root,prefix + make,"remake, unmade",2
make,Root + Suffix,make + suffix,maker,1
male,Word + Word,male + fact,malefactor,1
male,Root + Suffix,male + suffix,maleness,1
man,Word + Word,man + handle,"manhandle, manhole, manhour, mankind, manlike, manmade, manpower, manservant (+1 từ khác)",9
man,Prefix + Root,prefix + man,"crossman, superman, unman",3
man,Root + Suffix,man + suffix,"manful, manfully, manhood, manlier, manliness, manly",6
man,Prefix + Root + Suffix,prefix + man + suffix,unmanly,1
manage,Prefix + Root,prefix + manage,"mismanage, unmanaged",2
manage,Root + Suffix,manage + suffix,"manageability, manageable, management, manager, manageress, managerial",6
manage,Prefix + Root + Suffix,prefix + manage + suffix,"mismanagement, unmanageable, unmanageably",3
manifest,Root + Suffix,manifest + suffix,"manifestation, manifestly, manifesto",3
manipulate,Root + Suffix,manipulate + suffix,"manipulation, manipulative, manipulators",3
manner,Prefix + Root,prefix + manner,unmannered,1
manner,Root + Suffix,manner + suffix,"mannerism, mannerly",2
manner,Prefix + Root + Suffix,prefix + manner + suffix,unmannerly,1
march,Root + Suffix,march + suffix,marcher,1
margin,Root + Suffix,margin + suffix,"marginal, marginally",2
marine,Prefix + Root,prefix + marine,"antisubmarine, submarine, ultramarine",3
mark,Word + Word,mark + down,"markdown, marksman, marksmanship, markswoman, markup",5
mark,Prefix + Root,prefix + mark,unmarked,1
mark,Root + Suffix,mark + suffix,"markedly, marker",2
mark,Prefix + Root + Suffix,prefix + mark + suffix,"demarcate, demarcation",2
market,Word + Word,market + place,marketplace,1
market,Prefix + Root,prefix + market,"hypermarket, supermarket",2
market,Root + Suffix,market + suffix,"marketability, marketable, marketeer, marketer, marketwise",5
marriage,Prefix + Root,prefix + marriage,"intermarriage, remarriage",2
marriage,Root + Suffix,marriage + suffix,"marriageability, marriageable",2
marry,Prefix + Root,prefix + marry,"intermarry, remarry, unmarried",3
martial,Root + Suffix,martial + suffix,martially,1
mask,Prefix + Root,prefix + mask,unmask,1
mass,Prefix + Root,prefix + mass,amass,1
mass,Root + Suffix,mass + suffix,"massier, massive, massively, massiveness, massy",5
master,Word + Word,master + mind,"mastermind, masterpiece, masterstroke, masterwork",4
master,Prefix + Root,prefix + master,overmaster,1
master,Root + Suffix,master + suffix,"masterful, masterfully, masterless, masterliness, masterly, mastership, mastery",7
match,Word + Word,match + box,"matchbox, matchlock, matchmaker, matchmaking, matchstick, matchwood",6
match,Prefix + Root,prefix + match,"mismatch, outmatch, unmatched",3
match,Root + Suffix,match + suffix,"matchless, matchlessly",2
match,Prefix + Root + Suffix,prefix + match + suffix,unmatchable,1
mate,Prefix + Root,prefix + mate,"inmate, unmated",2
mate,Root + Suffix,mate + suffix,matey,1
material,Prefix + Root,prefix + material,immaterial,1
material,Root + Suffix,material + suffix,"materialism, materialist, materialistic, materialistically, materialization, materialize, materially",7
matter,Prefix + Root,prefix + matter,antimatter,1
mature,Prefix + Root,prefix + mature,"immature, premature",2
mature,Root + Suffix,mature + suffix,"maturate, maturation, maturational, maturely, maturer, maturest, maturity",7
mature,Prefix + Root + Suffix,prefix + mature + suffix,"immaturely, immaturity, prematurely",3
may,Word + Word,may + bug,"maybug, mayday, mayfair, mayflower, mayfly, maypole",6
may,Root + Suffix,may + suffix,mayst,1
mayor,Word + Word,mayor + ship,mayorship,1
mayor,Root + Suffix,mayor + suffix,"mayoral, mayoress",2
meal,Word + Word,meal + bug,"mealtime, mealybug",2
meal,Root + Suffix,meal + suffix,"mealier, mealiest, mealy",3
mean,Word + Word,mean + time,"meantime, meanwhile",2
mean,Root + Suffix,mean + suffix,"meaner, meanest, meanie, meaningful, meaningfully, meaningfulness, meaningless, meaninglessness (+3 từ khác)",11
measure,Prefix + Root,prefix + measure,unmeasured,1
measure,Root + Suffix,measure + suffix,"measurable, measurably, measureless, measurement",4
measure,Prefix + Root + Suffix,prefix + measure + suffix,"immeasurable, immeasurably",2
meat,Word + Word,meat + ball,meatball,1
meat,Root + Suffix,meat + suffix,"meatier, meatiest, meatiness, meatless, meaty",5
medal,Root + Suffix,medal + suffix,"medallion, medallist",2
medicine,Root + Suffix,medicine + suffix,"medicinal, medicinally",2
medium,Word + Word,medium + ship,mediumship,1
medium,Root + Suffix,medium + suffix,mediumistic,1
meet,Word + Word,meet + house,meetinghouse,1
melt,Root + Suffix,melt + suffix,meltingly,1
member,Prefix + Root,prefix + member,dismember,1
member,Root + Suffix,member + suffix,membership,1
member,Prefix + Root + Suffix,prefix + member + suffix,dismemberment,1
mental,Root + Suffix,mental + suffix,"mentality, mentally",2
mention,Prefix + Root,prefix + mention,undermentioned,1
mention,Root + Suffix,mention + suffix,mentionable,1
mention,Prefix + Root + Suffix,prefix + mention + suffix,unmentionable,1
merchant,Word + Word,merchant + man,merchantman,1
mercy,Root + Suffix,mercy + suffix,"merciful, mercifully, mercifulness, merciless, mercilessly, mercilessness",6
mere,Root + Suffix,mere + suffix,"merely, merest",2
merge,Prefix + Root,prefix + merge,"emerge, reemerged, submerge",3
merge,Root + Suffix,merge + suffix,merger,1
merge,Prefix + Root + Suffix,prefix + merge + suffix,"emergence, emergent, submergence",3
merit,Prefix + Root,prefix + merit,demerit,1
merit,Root + Suffix,merit + suffix,"meritorious, meritoriously",2
merit,Prefix + Root + Suffix,prefix + merit + suffix,unmeritorious,1
mess,Root + Suffix,mess + suffix,"messier, messiest, messily, messiness, messy",5
metal,Word + Word,metal + urge,"metallurgical, metallurgist, metallurgy, metalwork, metalworker",5
metal,Root + Suffix,metal + suffix,metallic,1
metal,Prefix + Root + Suffix,prefix + metal + suffix,"bimetallic, nonmetallic",2
method,Word + Word,method + log,"methodological, methodologically, methodology",3
method,Root + Suffix,method + suffix,"methodical, methodically, methodism, methodist",4
method,Prefix + Root + Suffix,prefix + method + suffix,unmethodical,1
metre,Prefix + Root,prefix + metre,"centimetre, kilometre, millimetre",3
middle,Word + Word,middle + man,"middleman, middletown, middleweight",3
midst,Prefix + Root,prefix + midst,amidst,1
might,Root + Suffix,might + suffix,"mightier, mightiest, mightily, mighty",4
might,Prefix + Root + Suffix,prefix + might + suffix,almighty,1
mild,Root + Suffix,mild + suffix,"milder, mildest, mildly, mildness",4
mile,Word + Word,mile + stone,milestone,1
mile,Root + Suffix,mile + suffix,"mileage, miler",2
militia,Word + Word,militia + man,militiaman,1
milk,Word + Word,milk + man,"milkman, milkshake, milkweed",3
milk,Root + Suffix,milk + suffix,"milker, milkier, milkiest, milkiness, milky",5
mill,Word + Word,mill + board,"millboard, millpond, millstone, millwheel",4
mill,Root + Suffix,mill + suffix,"millenarian, millenium, miller, millie",4
million,Root + Suffix,million + suffix,"millionaire, millionfold, millionth",3
million,Prefix + Root + Suffix,prefix + million + suffix,multimillionaire,1
mind,Prefix + Root,prefix + mind,remind,1
mind,Root + Suffix,mind + suffix,"minder, mindful, mindfully, mindfulness, mindless, mindlessly, mindlessness",7
mind,Prefix + Root + Suffix,prefix + mind + suffix,"reminder, unmindful",2
mine,Word + Word,mine + field,"minefield, minelaying, minesweeper, minesweeping",4
mine,Prefix + Root,prefix + mine,undermine,1
mine,Root + Suffix,mine + suffix,miner,1
mineral,Root + Suffix,mineral + suffix,"mineralized, mineralogical, mineralogist, mineralogy",4
mineral,Prefix + Root + Suffix,prefix + mineral + suffix,demineralization,1
minister,Prefix + Root,prefix + minister,administer,1
minister,Root + Suffix,minister + suffix,"ministerial, ministerially, ministrant, ministration, ministry",5
minister,Prefix + Root + Suffix,prefix + minister + suffix,"administration, administrative, administratively, administrator",4
minor,Root + Suffix,minor + suffix,minority,1
minute,Word + Word,minute + man,minuteman,1
minute,Root + Suffix,minute + suffix,"minutely, minuteness, minuter, minutest",4
miracle,Root + Suffix,miracle + suffix,"miraculous, miraculously",2
miss,Prefix + Root,prefix + miss,dismiss,1
miss,Root + Suffix,miss + suffix,missy,1
miss,Prefix + Root + Suffix,prefix + miss + suffix,"commissary, commission, commissionaire, commissioner, dismissal, emissary, noncommissioned",7
mission,Root + Suffix,mission + suffix,missionary,1
mix,Prefix + Root,prefix + mix,"admix, intermix, premix, unmixed",4
mix,Root + Suffix,mix + suffix,"mixer, mixture",2
mix,Prefix + Root + Suffix,prefix + mix + suffix,admixture,1
mob,Word + Word,mob + cap,mobcaps,1
mob,Root + Suffix,mob + suffix,mobster,1
mobile,Prefix + Root,prefix + mobile,"automobile, immobile",2
mobile,Root + Suffix,mobile + suffix,"mobility, mobilization, mobilize",3
mobile,Prefix + Root + Suffix,prefix + mobile + suffix,"demobilization, demobilize, immobility, immobilization, immobilize",5
mode,Prefix + Root,prefix + mode,outmoded,1
mode,Root + Suffix,mode + suffix,"modal, modality, modally, modish, modishly",5
model,Prefix + Root,prefix + model,remodel,1
model,Root + Suffix,model + suffix,modeller,1
moderate,Prefix + Root,prefix + moderate,immoderate,1
moderate,Root + Suffix,moderate + suffix,"moderately, moderation, moderator",3
moderate,Prefix + Root + Suffix,prefix + moderate + suffix,immoderately,1
modern,Prefix + Root,prefix + modern,ultramodern,1
modern,Root + Suffix,modern + suffix,"modernism, modernist, modernistic, modernity, modernization, modernize",6
modest,Prefix + Root,prefix + modest,immodest,1
modest,Root + Suffix,modest + suffix,"modestly, modesty",2
modest,Prefix + Root + Suffix,prefix + modest + suffix,"immodestly, immodesty",2
modify,Prefix + Root,prefix + modify,unmodified,1
modify,Root + Suffix,modify + suffix,"modification, modifier",2
moment,Root + Suffix,moment + suffix,"momenta, momentarily, momentary, momentous, momentously, momentousness, momentum",7
money,Word + Word,money + bag,"moneybags, moneybox, moneychanger, moneylender, moneymaker, moneymaking",6
money,Root + Suffix,money + suffix,moneyless,1
monk,Root + Suffix,monk + suffix,monkish,1
monster,Root + Suffix,monster + suffix,"monstrosity, monstrous, monstrously",3
monster,Prefix + Root + Suffix,prefix + monster + suffix,"demonstrable, demonstrably, demonstrate, demonstration, demonstrative, demonstratively, demonstrator, remonstrance (+2 từ khác)",10
month,Root + Suffix,month + suffix,monthly,1
month,Prefix + Root + Suffix,prefix + month + suffix,bimonthly,1
monument,Root + Suffix,monument + suffix,"monumental, monumentally",2
mood,Root + Suffix,mood + suffix,"moodier, moodiest, moodily, moodiness, moody",5
moon,Word + Word,moon + beam,"moonbeam, moonflower, moonlight, moonlighter, moonshine, moonstone",6
moon,Root + Suffix,moon + suffix,"moonier, moonless, moony",3
moral,Prefix + Root,prefix + moral,"amoral, immoral",2
moral,Root + Suffix,moral + suffix,morally,1
moral,Prefix + Root + Suffix,prefix + moral + suffix,"demoralization, demoralize, immorality, immorally",4
more,Word + Word,more + house,"morehouse, moreover",2
morning,Prefix + Root,prefix + morning,midmorning,1
mortgage,Root + Suffix,mortgage + suffix,"mortgagee, mortgagor",2
most,Prefix + Root,prefix + most,"inmost, midmost, outmost, upmost",4
most,Root + Suffix,most + suffix,mostly,1
mother,Word + Word,mother + land,"motherland, motherlike",2
mother,Root + Suffix,mother + suffix,"motherhood, motherless, motherliness, motherly",4
motion,Prefix + Root,prefix + motion,commotion,1
motion,Root + Suffix,motion + suffix,"motionless, motionlessly, motionlessness",3
motive,Root + Suffix,motive + suffix,"motivate, motivation, motivations, motiveless",4
motive,Prefix + Root + Suffix,prefix + motive + suffix,unmotivated,1
motor,Word + Word,motor + bike,"motorboat, motorcar, motorcycle, motorcyclist, motorway, pushbike",6
motor,Root + Suffix,motor + suffix,"motorist, motorize",2
mount,Prefix + Root,prefix + mount,"amount, dismount, remount, surmount",4
mount,Root + Suffix,mount + suffix,mountie,1
mount,Prefix + Root + Suffix,prefix + mount + suffix,"insurmountable, surmountable, unsurmountable",3
mountain,Word + Word,mountain + side,"mountainside, mountaintop",2
mountain,Root + Suffix,mountain + suffix,"mountaineer, mountainous, mountainously",3
mouse,Word + Word,mouse + trap,mousetrap,1
mouse,Root + Suffix,mouse + suffix,"mousers, mousier, mousiest, mousy",4
mouth,Word + Word,mouth + organ,"mouthorgan, mouthpiece, mouthwash",3
mouth,Root + Suffix,mouth + suffix,mouthful,1
move,Prefix + Root,prefix + move,"remove, unmoved",2
move,Root + Suffix,move + suffix,"movable, movably, movement, mover, movie, movingly",6
move,Prefix + Root + Suffix,prefix + move + suffix,"immovable, immovably, irremovable, removable, removal, remover",6
much,Prefix + Root,prefix + much,overmuch,1
much,Root + Suffix,much + suffix,muchness,1
mud,Word + Word,mud + flat,"mudflat, mudguard, mudpack",3
mud,Root + Suffix,mud + suffix,"muddier, muddiest, muddiness, muddy",4
mum,Root + Suffix,mum + suffix,mummery,1
municipal,Root + Suffix,municipal + suffix,"municipality, municipally",2
murder,Root + Suffix,murder + suffix,"murderer, murderess, murderous, murderously, murderousness",5
muscle,Word + Word,muscle + man,muscleman,1
muscle,Root + Suffix,muscle + suffix,"muscular, muscularly, musculature",3
music,Root + Suffix,music + suffix,"musical, musicale, musicality, musically, musician, musicianship",6
music,Prefix + Root + Suffix,prefix + music + suffix,nonmusical,1
must,Root + Suffix,must + suffix,"mustier, mustiest, mustiness, musty",4
mutual,Root + Suffix,mutual + suffix,"mutuality, mutually",2
my,Word + Word,my + lord,"milord, myself",2
myth,Word + Word,myth + log,"demythologization, demythologize, mythological, mythologist, mythology, nonmythological",6
myth,Root + Suffix,myth + suffix,"mythic, mythical",2
nail,Word + Word,nail + brush,nailbrush,1
naked,Root + Suffix,naked + suffix,"nakedly, nakedness",2
name,Word + Word,name + plate,"nameplate, namesake",2
name,Prefix + Root,prefix + name,"forename, misname, rename, surname, unnamed",5
name,Root + Suffix,name + suffix,"nameless, namely",2
name,Prefix + Root + Suffix,prefix + name + suffix,unnameable,1
narrow,Root + Suffix,narrow + suffix,"narrower, narrowest, narrowly, narrowness",4
nasty,Root + Suffix,nasty + suffix,"nastier, nastiest, nastily, nastiness",4
nation,Word + Word,nation + wide,nationwide,1
nation,Root + Suffix,nation + suffix,"national, nationalism, nationalist, nationalistic, nationalistically, nationality, nationalization, nationalize (+1 từ khác)",9
nation,Prefix + Root + Suffix,prefix + nation + suffix,"denationalization, denationalize, international, internationale, internationalism, internationalist, internationalization, internationalize (+3 từ khác)",11
native,Root + Suffix,native + suffix,nativity,1
nature,Prefix + Root,prefix + nature,denatured,1
nature,Root + Suffix,nature + suffix,"natural, naturalism, naturalist, naturalistic, naturalistically, naturalization, naturalize, naturally (+4 từ khác)",12
nature,Prefix + Root + Suffix,prefix + nature + suffix,"supernatural, supernaturalism, supernaturally, unnatural, unnaturally, unnaturalness",6
near,Word + Word,near + by,"nearby, nearside, nearsighted, nearsightedly, nearsightedness",5
near,Root + Suffix,near + suffix,"nearer, nearest, nearly, nearness",4
neat,Root + Suffix,neat + suffix,"neater, neatest, neatly, neatness",4
neck,Word + Word,neck + band,"neckband, neckcloth, neckline, necktie, neckwear",5
neck,Root + Suffix,neck + suffix,necklet,1
need,Prefix + Root,prefix + need,unneeded,1
need,Root + Suffix,need + suffix,"needful, needfully, needier, neediest, neediness, needless, needlessly, needy",8
needle,Word + Word,needle + craft,"needlecraft, needlepoint, needlewoman, needlework",4
neglect,Root + Suffix,neglect + suffix,"neglectful, neglectfully, neglectfulness",3
neighbour,Root + Suffix,neighbour + suffix,"neighbourhood, neighbourliness, neighbourly",3
nerve,Prefix + Root,prefix + nerve,unnerve,1
nerve,Root + Suffix,nerve + suffix,"nerveless, nervelessness, nervier, nervous, nervously, nervousness, nervy",7
nest,Root + Suffix,nest + suffix,"nester, nestlings",2
net,Word + Word,net + ball,"netball, network",2
new,Word + Word,new + agent,"newbold, newborn, newbury, newcastle, newcomer, newfound, newlywed, newmarket (+18 từ khác)",26
new,Prefix + Root,prefix + new,renew,1
new,Root + Suffix,new + suffix,"newer, newest, newly, newness, newsier, newsiest, newsiness, newsless (+1 từ khác)",9
new,Prefix + Root + Suffix,prefix + new + suffix,"renewable, renewal",2
nice,Root + Suffix,nice + suffix,"nicely, niceness, nicer, nicest, nicety",5
night,Word + Word,night + cap,"nightcap, nightclub, nightdress, nightfall, nightlife, nightlights, nightline, nightshade (+3 từ khác)",11
night,Prefix + Root,prefix + night,"benighted, midnight, overnight",3
night,Root + Suffix,night + suffix,"nightie, nightly",2
night,Prefix + Root + Suffix,prefix + night + suffix,"benightedly, overnighters",2
nine,Word + Word,nine + penny,"ninepenny, ninepin, nineteens, nineteenths",4
nine,Root + Suffix,nine + suffix,"ninefold, nineteen, nineteenth, ninetieth, ninety, ninth",6
no,Word + Word,no + body,"nobody, nothing, nothingness, nowhere",4
no,Root + Suffix,no + suffix,nowise,1
noble,Word + Word,noble + man,"nobleman, noblewoman",2
noble,Prefix + Root,prefix + noble,"ennoble, ignoble",2
noble,Root + Suffix,noble + suffix,"nobility, nobler, noblest, nobly",4
noble,Prefix + Root + Suffix,prefix + noble + suffix,"ennoblement, ignobly",2
noise,Root + Suffix,noise + suffix,"noiseless, noiselessly, noiselessness, noisier, noisiest, noisily, noisiness, noisy",8
noon,Word + Word,noon + day,"noonday, noontime",2
noon,Prefix + Root,prefix + noon,"afternoon, forenoon",2
nor,Word + Word,nor + folk,norfolk,1
norm,Root + Suffix,norm + suffix,"normal, normalcy, normality, normalization, normalize, normally, normative",7
norm,Prefix + Root + Suffix,prefix + norm + suffix,"abnormal, abnormality, abnormally, subnormal, supernormal",5
north,Word + Word,north + east,"northeast, northeaster, northeasterly, northeastern, northeastward, northernmost, northwest, northwester (+3 từ khác)",11
north,Root + Suffix,north + suffix,"northerly, northern, northerner, northward",4
nose,Word + Word,nose + bag,"nosebag, nosebleed, nosedive, nosegay",4
nose,Root + Suffix,nose + suffix,"nosier, nosiest, nosiness, nosy",4
not,Word + Word,not + with,notwithstanding,1
note,Word + Word,note + book,"notebook, notecase, notepaper, noteworthy",4
note,Prefix + Root,prefix + note,denote,1
note,Root + Suffix,note + suffix,"notability, notable, notably, notate, notation, notifiable, notification, notify",8
note,Prefix + Root + Suffix,prefix + note + suffix,"annotate, annotation, denotation, denotative",4
notice,Prefix + Root,prefix + notice,unnoticed,1
notice,Root + Suffix,notice + suffix,"noticeable, noticeably",2
notion,Root + Suffix,notion + suffix,notional,1
novel,Root + Suffix,novel + suffix,"novelette, novelettish, novelist, novelized, novelty",5
now,Word + Word,now + a,nowadays,1
number,Word + Word,number + plate,numberplate,1
number,Prefix + Root,prefix + number,"outnumber, unnumbered",2
number,Root + Suffix,number + suffix,numberless,1
nurse,Word + Word,nurse + man,nurseryman,1
nurse,Root + Suffix,nurse + suffix,"nursery, nursling",2
nut,Word + Word,nut + case,"nutcase, nutcracker, nuthouse, nutshell",4
nut,Root + Suffix,nut + suffix,"nuttier, nuttiest, nuttiness, nutty",4
obey,Prefix + Root,prefix + obey,disobey,1
obey,Root + Suffix,obey + suffix,obeisant,1
oblige,Prefix + Root,prefix + oblige,disoblige,1
oblige,Root + Suffix,oblige + suffix,obligingly,1
oblige,Prefix + Root + Suffix,prefix + oblige + suffix,disobligingly,1
observe,Root + Suffix,observe + suffix,"observable, observably, observance, observant, observantly, observation, observational, observatory (+2 từ khác)",10
observe,Prefix + Root + Suffix,prefix + observe + suffix,"nonobservance, nonobservant",2
obsess,Root + Suffix,obsess + suffix,"obsession, obsessional, obsessive",3
obvious,Root + Suffix,obvious + suffix,"obviously, obviousness",2
occasion,Root + Suffix,occasion + suffix,"occasional, occasionally",2
occupy,Prefix + Root,prefix + occupy,"preoccupy, unoccupied",2
occupy,Root + Suffix,occupy + suffix,"occupancy, occupant, occupation, occupational, occupationally, occupier",6
occupy,Prefix + Root + Suffix,prefix + occupy + suffix,preoccupation,1
occur,Root + Suffix,occur + suffix,occurrence,1
ocean,Word + Word,ocean + go,"oceangoing, oceanside",2
ocean,Root + Suffix,ocean + suffix,oceanic,1
ocean,Prefix + Root + Suffix,prefix + ocean + suffix,transoceanic,1
odd,Word + Word,odd + ball,oddball,1
odd,Root + Suffix,odd + suffix,"odder, oddest, oddity, oddly, oddment",5
of,Prefix + Root,prefix + of,outta,1
off,Root + Suffix,off + suffix,offish,1
offence,Root + Word,offence + less,offenceless,1
offend,Root + Suffix,offend + suffix,offender,1
office,Word + Word,office + hold,officeholder,1
office,Root + Suffix,office + suffix,"officer, official, officialdom, officially, officiate",5
office,Prefix + Root + Suffix,prefix + office + suffix,"unofficial, unofficially",2
often,Word + Word,often + time,oftentimes,1
often,Root + Suffix,often + suffix,"oftener, oftenest",2
oil,Word + Word,oil + can,"oilcan, oilcloth, oilfield, oilheating, oilman, oilseed, oilskin",7
oil,Root + Suffix,oil + suffix,"oiler, oilier, oiliest, oiliness, oily",5
old,Root + Suffix,old + suffix,"older, oldest, oldies, oldish, oldster",5
on,Root + Suffix,on + suffix,onward,1
one,Word + Word,one + man,"oneself, onetime, oneupmanship",3
one,Root + Suffix,one + suffix,oneness,1
open,Word + Word,open + cast,"opencast, openhearted, openheartedness, openwork",4
open,Prefix + Root,prefix + open,"reopen, unopened",2
open,Root + Suffix,open + suffix,"opener, openly, openness",3
opera,Word + Word,opera + go,operagoers,1
opera,Root + Suffix,opera + suffix,operatic,1
opinion,Root + Suffix,opinion + suffix,"opinionated, opinionative",2
oral,Root + Suffix,oral + suffix,orally,1
orange,Word + Word,orange + man,orangeman,1
orange,Root + Suffix,orange + suffix,orangeade,1
order,Prefix + Root,prefix + order,"disorder, reorder",2
order,Root + Suffix,order + suffix,"orderliness, orderly",2
order,Prefix + Root + Suffix,prefix + order + suffix,"disorderliness, disorderly",2
organ,Root + Suffix,organ + suffix,"organic, organically, organism, organismic, organist, organization, organizational, organizationally (+2 từ khác)",10
organ,Prefix + Root + Suffix,prefix + organ + suffix,"disorganization, disorganize, inorganic, inorganically, microorganism, reorganization, reorganize",7
origin,Root + Suffix,origin + suffix,"original, originality, originally, originate, origination, originator",6
origin,Prefix + Root + Suffix,prefix + origin + suffix,"aboriginal, aborigine",2
other,Word + Word,other + world,otherworldly,1
other,Root + Suffix,other + suffix,otherwise,1
our,Word + Word,our + self,ourselves,1
out,Word + Word,out + most,outermost,1
out,Prefix + Root,prefix + out,throughout,1
out,Root + Suffix,out + suffix,"outage, outer, outward, outwardly",4
over,Prefix + Root,prefix + over,crossover,1
