word,trang_thai,cong_thuc_hoac_nguon,meaning_en,meaning_vi
straighten,Đã có trong MorphLink,co san trong du lieu goc,put (things or places) in order,straight(thẳng) + -en(làm cho (động từ); làm bằng (tính từ))
straighter,Đã có trong MorphLink,co san trong du lieu goc,straight(without a bend or curve; going in one direction only) + -er(person who does; comparative),straight(thẳng) + -er(người làm việc gì; so sánh hơn)
straightest,Đã có trong MorphLink,co san trong du lieu goc,straight(without a bend or curve; going in one direction only) + -est(superlative),straight(thẳng) + -est(so sánh nhất)
straightforward,Đã có trong MorphLink,co san trong du lieu goc,easy to do or to understand; not complicated,straight+forward(thẳng + về phía trước)
straightforwardly,Đã có trong MorphLink,co san trong du lieu goc,with firmness and conviction,straight+forward(thẳng + về phía trước) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
straightness,Đã có trong MorphLink,co san trong du lieu goc,a sexual attraction to (or sexual relations with) persons of the opposite sex,"straight(thẳng) + -ness(trạng thái, tính chất (danh từ))"
straightway,Đã có trong MorphLink,co san trong du lieu goc,in a direct course,"straight+way(thẳng + con đường, cách thức)"
strainer,Đã có trong MorphLink,co san trong du lieu goc,a filter to retain larger pieces while smaller pieces and liquids pass through,strain(căng thẳng) + -er(người làm việc gì; so sánh hơn)
strangely,Đã có trong MorphLink,co san trong du lieu goc,in a strange manner,strange(kỳ lạ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
strangeness,Đã có trong MorphLink,co san trong du lieu goc,unusualness as a consequence of not being well known,"strange(kỳ lạ) + -ness(trạng thái, tính chất (danh từ))"
stranger,Đã có trong MorphLink,co san trong du lieu goc,a person that you do not know,strange(kỳ lạ) + -er(người làm việc gì; so sánh hơn)
strangest,Đã có trong MorphLink,co san trong du lieu goc,"strange(unusual or surprising, especially in a way that is difficult to understand) + -est(superlative)",strange(kỳ lạ) + -est(so sánh nhất)
streamer,Đã có trong MorphLink,co san trong du lieu goc,long strip of cloth or paper used for decoration or advertising,stream(dòng suối) + -er(người làm việc gì; so sánh hơn)
streamlet,Đã có trong MorphLink,co san trong du lieu goc,a small stream,stream(dòng suối) + -let(nhỏ (danh từ giảm nhẹ))
streamline,Đã có trong MorphLink,co san trong du lieu goc,contour economically or efficiently,stream+line(dòng suối + đường kẻ)
streamside,Đã có trong MorphLink,co san trong du lieu goc,"stream+side(a small, narrow river + either of the two halves of a surface, an object or an area that is divided by an imaginary central line)",stream+side(dòng suối + bên cạnh)
streetcar,Đã có trong MorphLink,co san trong du lieu goc,a wheeled vehicle that runs on rails and is propelled by electricity,street+car(đường phố + xe ô tô)
streetlight,Đã có trong MorphLink,co san trong du lieu goc,a lamp supported on a lamppost,"street+light(đường phố + ánh sáng, nhẹ)"
streetwalker,Đã có trong MorphLink,co san trong du lieu goc,a prostitute who attracts customers by walking the streets,street+walk(đường phố + đi bộ) + -er(người làm việc gì; so sánh hơn)
strengthen,Đã có trong MorphLink,co san trong du lieu goc,to become more powerful or effective; to make somebody/something more powerful or effective,strength(sức mạnh) + -en(làm cho (động từ); làm bằng (tính từ))
stressful,Đã có trong MorphLink,co san trong du lieu goc,extremely irritating to the nerves,"stress(căng thẳng) + -ful(đầy, có nhiều (tính từ))"
stretchable,Đã có trong MorphLink,co san trong du lieu goc,capable of being easily stretched and resuming former size or shape,stretch(kéo dài) + -able(có thể được (tính từ))
stretcher,Đã có trong MorphLink,co san trong du lieu goc,a stone that forms the top of wall or building,stretch(kéo dài) + -er(người làm việc gì; so sánh hơn)
stretchier,Đã có trong MorphLink,co san trong du lieu goc,"stretch(an area of land or water, especially a long one) + -y(having quality of; noun/adjective) + -er(person who does; comparative)",stretch(kéo dài) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)
stretchiest,Đã có trong MorphLink,co san trong du lieu goc,"stretch(an area of land or water, especially a long one) + -y(having quality of; noun/adjective) + -est(superlative)",stretch(kéo dài) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)
stretchiness,Đã có trong MorphLink,co san trong du lieu goc,the capacity for being stretched,"stretch(kéo dài) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))"
stretchy,Đã có trong MorphLink,co san trong du lieu goc,capable of being easily stretched and resuming former size or shape,stretch(kéo dài) + -y(có tính chất; danh từ/tính từ)
stricter,Đã có trong MorphLink,co san trong du lieu goc,strict(that must be obeyed exactly) + -er(person who does; comparative),strict(nghiêm khắc) + -er(người làm việc gì; so sánh hơn)
strictest,Đã có trong MorphLink,co san trong du lieu goc,strict(that must be obeyed exactly) + -est(superlative),strict(nghiêm khắc) + -est(so sánh nhất)
strictly,Đã có trong MorphLink,co san trong du lieu goc,with a lot of control and rules that must be obeyed,strict(nghiêm khắc) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
strictness,Đã có trong MorphLink,co san trong du lieu goc,uncompromising resolution,"strict(nghiêm khắc) + -ness(trạng thái, tính chất (danh từ))"
stricture,Đã có trong MorphLink,co san trong du lieu goc,severe criticism,"strict(nghiêm khắc) + -ure(hành động, kết quả, quá trình (danh từ))"
strikebound,Đã có trong MorphLink,co san trong du lieu goc,closed or immobilized by a strike,"strike+bound(đình công, đánh + ràng buộc, giới hạn)"
strikebreaker,Đã có trong MorphLink,co san trong du lieu goc,someone who works (or provides workers) during a strike,"strike+break(đình công, đánh + phá vỡ, nghỉ giải lao) + -er(người làm việc gì; so sánh hơn)"
strikebreaking,Đã có trong MorphLink,co san trong du lieu goc,confrontational activities intended to break up a strike by workers,"strike+break(đình công, đánh + phá vỡ, nghỉ giải lao)"
striker,Đã có trong MorphLink,co san trong du lieu goc,the part of a mechanical device that strikes something,"strike(đình công, đánh) + -er(người làm việc gì; so sánh hơn)"
strikingly,Đã có trong MorphLink,co san trong du lieu goc,in a striking manner,"strike(đình công, đánh) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
stringency,Đã có trong MorphLink,co san trong du lieu goc,conscientious attention to rules and details,"string(dây, chuỗi) + -ancy(trạng thái, tính chất (danh từ))"
stringent,Đã có trong MorphLink,co san trong du lieu goc,demanding strict attention to rules and procedures,"string(dây, chuỗi) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
stringently,Đã có trong MorphLink,co san trong du lieu goc,in a stringent manner,"string(dây, chuỗi) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
stringier,Đã có trong MorphLink,co san trong du lieu goc,"string(long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place) + -y(having quality of; noun/adjective) + -er(person who does; comparative)","string(dây, chuỗi) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)"
stringiest,Đã có trong MorphLink,co san trong du lieu goc,"string(long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place) + -y(having quality of; noun/adjective) + -est(superlative)","string(dây, chuỗi) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)"
stringiness,Đã có trong MorphLink,co san trong du lieu goc,Quality of being stringy.,"string(dây, chuỗi) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))"
stringy,Đã có trong MorphLink,co san trong du lieu goc,consisting of or containing string or strings,"string(dây, chuỗi) + -y(có tính chất; danh từ/tính từ)"
stripling,Đã có trong MorphLink,co san trong du lieu goc,a juvenile between the onset of puberty and maturity,"strip(dải, cởi bỏ) + -ling(nhỏ, non trẻ (danh từ giảm nhẹ))"
stripper,Đã có trong MorphLink,co san trong du lieu goc,a performer who provides erotic entertainment by undressing to music,"strip(dải, cởi bỏ) + -er(người làm việc gì; so sánh hơn)"
striver,Đã có trong MorphLink,co san trong du lieu goc,someone who works as hard as a slave,strive(nỗ lực phấn đấu) + -er(người làm việc gì; so sánh hơn)
strongarm,Đã có trong MorphLink,co san trong du lieu goc,"strong+arm(having a lot of physical power so that you can lift heavy weights, do hard physical work, etc. + either of the two long parts that stick out from the top of the body and connect the shoulders to the hands)","strong+arm(mạnh mẽ + cánh tay, vũ trang)"
strongbox,Đã có trong MorphLink,co san trong du lieu goc,a strongly made box for holding money or valuables,strong+box(mạnh mẽ + hộp)
stronger,Đã có trong MorphLink,co san trong du lieu goc,"strong(having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.) + -er(person who does; comparative)",strong(mạnh mẽ) + -er(người làm việc gì; so sánh hơn)
strongest,Đã có trong MorphLink,co san trong du lieu goc,"strong(having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.) + -est(superlative)",strong(mạnh mẽ) + -est(so sánh nhất)
stronghold,Đã có trong MorphLink,co san trong du lieu goc,a strongly fortified defensive structure,strong+hold(mạnh mẽ + giữ)
strongly,Đã có trong MorphLink,co san trong du lieu goc,in a way that shows definite and serious opinions or beliefs,strong(mạnh mẽ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
strongrooms,Đã có trong MorphLink,co san trong du lieu goc,"strong+room(having a lot of physical power so that you can lift heavy weights, do hard physical work, etc. + a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose)",strong+room(mạnh mẽ + căn phòng)
stuffier,Đã có trong MorphLink,co san trong du lieu goc,"stuff(used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about) + -y(having quality of; noun/adjective) + -er(person who does; comparative)",stuff(đồ đạc) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)
stuffiest,Đã có trong MorphLink,co san trong du lieu goc,"stuff(used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about) + -y(having quality of; noun/adjective) + -est(superlative)",stuff(đồ đạc) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)
stuffily,Đã có trong MorphLink,co san trong du lieu goc,in a stuffy manner,stuff(đồ đạc) + -y(có tính chất; danh từ/tính từ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
stuffiness,Đã có trong MorphLink,co san trong du lieu goc,dull and pompous gravity,"stuff(đồ đạc) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))"
stuffy,Đã có trong MorphLink,co san trong du lieu goc,excessively conventional and unimaginative and hence dull,stuff(đồ đạc) + -y(có tính chất; danh từ/tính từ)
stumbler,Đã có trong MorphLink,co san trong du lieu goc,someone who makes mistakes because of incompetence,stumble(vấp ngã) + -er(người làm việc gì; so sánh hơn)
stunner,Đã có trong MorphLink,co san trong du lieu goc,an unexpected and amazing event,stun(làm choáng váng) + -er(người làm việc gì; so sánh hơn)
stunningly,Đã có trong MorphLink,co san trong du lieu goc,in a spectacular manner,stun(làm choáng váng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
stupider,Đã có trong MorphLink,co san trong du lieu goc,stupid(showing a lack of thought or good judgement) + -er(person who does; comparative),stupid(ngu ngốc) + -er(người làm việc gì; so sánh hơn)
stupidest,Đã có trong MorphLink,co san trong du lieu goc,stupid(showing a lack of thought or good judgement) + -est(superlative),stupid(ngu ngốc) + -est(so sánh nhất)
stupidity,Đã có trong MorphLink,co san trong du lieu goc,a stupid mistake,"stupid(ngu ngốc) + -ity(trạng thái, tính chất (danh từ))"
stupidly,Đã có trong MorphLink,co san trong du lieu goc,in a stupid manner,stupid(ngu ngốc) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
styleless,Đã có trong MorphLink,co san trong du lieu goc,lacking in style or elegance,style(phong cách) + -less(không có (tính từ))
stylemark,Đã có trong MorphLink,co san trong du lieu goc,a distinctive characteristic or attribute,"style+mark(phong cách + dấu, đánh dấu)"
stylish,Đã có trong MorphLink,co san trong du lieu goc,being or in accordance with current social fashions,"style(phong cách) + -ish(hơi, có tính chất (tính từ))"
stylishly,Đã có trong MorphLink,co san trong du lieu goc,in a stylish manner,"style(phong cách) + -ish(hơi, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
stylishness,Đã có trong MorphLink,co san trong du lieu goc,elegance by virtue of being fashionable,"style(phong cách) + -ish(hơi, có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
stylist,Đã có trong MorphLink,co san trong du lieu goc,someone who cuts or beautifies hair,style(phong cách) + -ist(người theo/thực hành (danh từ))
stylistic,Đã có trong MorphLink,co san trong du lieu goc,of or relating to style (especially in the use of language),style(phong cách) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ))
stylistically,Đã có trong MorphLink,co san trong du lieu goc,in a rhetorically stylistic manner,style(phong cách) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
stylization,Đã có trong MorphLink,co san trong du lieu goc,the act of stylizing,"style(phong cách) + -ize(làm cho, biến thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
stylize,Đã có trong MorphLink,co san trong du lieu goc,to represent according to a conventional style,"style(phong cách) + -ize(làm cho, biến thành (động từ))"
stylus,Đã có trong MorphLink,co san trong du lieu goc,a pointed tool for writing or drawing or engraving,"style(phong cách) + -us([BIẾN THỂ] đuôi danh từ Latin (VD radius, stylus))"
subconscious,Đã có trong MorphLink,co san trong du lieu goc,just below the level of consciousness,sub-(dưới) + conscious(có ý thức)
subconsciously,Đã có trong MorphLink,co san trong du lieu goc,from the subconscious mind,sub-(dưới) + conscious(có ý thức) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
subconsciousness,Đã có trong MorphLink,co san trong du lieu goc,a state of mind not immediately available to consciousness,"sub-(dưới) + conscious(có ý thức) + -ness(trạng thái, tính chất (danh từ))"
subcontract,Đã có trong MorphLink,co san trong du lieu goc,a contract assigning to another party some obligations of a prior contract,sub-(dưới) + contract(hợp đồng)
subcontractor,Đã có trong MorphLink,co san trong du lieu goc,someone who enters into a subcontract with the primary contractor,sub-(dưới) + contract(hợp đồng) + -or(người/vật thực hiện (danh từ))
subdivide,Đã có trong MorphLink,co san trong du lieu goc,divide into smaller and smaller pieces,sub-(dưới) + divide(chia)
subdivision,Đã có trong MorphLink,co san trong du lieu goc,the act of subdividing,"sub-(dưới) + divide(chia) + -ion(hành động, quá trình, trạng thái (danh từ))"
subedit,Đã có trong MorphLink,co san trong du lieu goc,edit and correct (written or printed material),sub-(dưới) + edit(biên tập)
subeditor,Đã có trong MorphLink,co san trong du lieu goc,an assistant editor,sub-(dưới) + edit(biên tập) + -or(người/vật thực hiện (danh từ))
subfigures,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + figure(a number representing a particular amount, especially one given in official information)","sub-(dưới) + figure(con số, hình dáng)"
subgross,Đã có trong MorphLink,co san trong du lieu goc,too small to be visible to the naked eye,"sub-(dưới) + gross(tổng, thô thiển)"
subgroups,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + group(a number of people or things that are together in the same place or that are connected in some way)",sub-(dưới) + group(nhóm)
subheading,Đã có trong MorphLink,co san trong du lieu goc,a heading of a subdivision of a text,"sub-(dưới) + head(đầu, người đứng đầu)"
subhuman,Đã có trong MorphLink,co san trong du lieu goc,unfit for human beings,sub-(dưới) + human(con người)
subhumanity,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + human(of or connected with people rather than animals, machines or gods) + -ity(state or quality of (noun))","sub-(dưới) + human(con người) + -ity(trạng thái, tính chất (danh từ))"
subjoined,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + join(to fix or connect two or more things together)",sub-(dưới) + join(tham gia)
sublet,Đã có trong MorphLink,co san trong du lieu goc,a lease from one lessee to another,"sub-(dưới) + let(để cho, cho thuê)"
submarine,Đã có trong MorphLink,co san trong du lieu goc,beneath the surface of the sea,sub-(dưới) + marine(thuộc biển)
submerge,Đã có trong MorphLink,co san trong du lieu goc,"fill or cover completely, usually with water",sub-(dưới) + merge(sáp nhập)
submergence,Đã có trong MorphLink,co san trong du lieu goc,sinking until covered completely with water,"sub-(dưới) + merge(sáp nhập) + -ance(trạng thái, tính chất, hành động (danh từ))"
submission,Đã có trong MorphLink,co san trong du lieu goc,the act of accepting that somebody has defeated you and that you must obey them,"submit(nộp, khuất phục) + -ion(hành động, quá trình, trạng thái (danh từ))"
submissive,Đã có trong MorphLink,co san trong du lieu goc,inclined or willing to submit to orders or wishes of others or showing such inclination,"submit(nộp, khuất phục) + -ive(có xu hướng, có tính chất (tính từ))"
submissively,Đã có trong MorphLink,co san trong du lieu goc,in a servile manner,"submit(nộp, khuất phục) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
submissiveness,Đã có trong MorphLink,co san trong du lieu goc,the trait of being willing to yield to the will of another person or a superior force etc.,"submit(nộp, khuất phục) + -ive(có xu hướng, có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
subnormal,Đã có trong MorphLink,co san trong du lieu goc,below normal or average,sub-(dưới) + norm(chuẩn mực) + -al(thuộc về (tính từ); hành động (danh từ))
subparts,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + part(some but not all of a thing)",sub-(dưới) + part(phần)
subplot,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + plot(the series of events that form the story of a novel, play, film, etc.)","sub-(dưới) + plot(âm mưu, cốt truyện)"
subroutine,Đã có trong MorphLink,co san trong du lieu goc,"a set sequence of steps, part of larger computer program",sub-(dưới) + routine(thói quen thường ngày)
subscribe,Đã có trong MorphLink,co san trong du lieu goc,adopt as a belief,sub-(dưới) + script(kịch bản)
subscriber,Đã có trong MorphLink,co san trong du lieu goc,"a person who pays money, usually once a year, to receive regular copies of a magazine or newspaper or have access to it online",sub-(dưới) + script(kịch bản) + -er(người làm việc gì; so sánh hơn)
subscription,Đã có trong MorphLink,co san trong du lieu goc,"an amount of money that you pay regularly to receive a service, be a member of a club, support a charity or receive regular copies of a newspaper or magazine; the act of paying this money","sub-(dưới) + script(kịch bản) + -ion(hành động, quá trình, trạng thái (danh từ))"
subsequently,Đã có trong MorphLink,co san trong du lieu goc,afterwards; later; after something else has happened,subsequent(tiếp theo sau) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
subserve,Đã có trong MorphLink,co san trong du lieu goc,be helpful or useful,sub-(dưới) + serve(phục vụ)
subservience,Đã có trong MorphLink,co san trong du lieu goc,abject or cringing submissiveness,"sub-(dưới) + serve(phục vụ) + -ance(trạng thái, tính chất, hành động (danh từ))"
subservient,Đã có trong MorphLink,co san trong du lieu goc,abjectly submissive,sub-(dưới) + serve(phục vụ) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
subsoil,Đã có trong MorphLink,co san trong du lieu goc,the layer of soil between the topsoil and bedrock,sub-(dưới) + soil(đất)
subsonic,Đã có trong MorphLink,co san trong du lieu goc,less than the speed of sound in a designated medium,sub-(dưới) + sono(âm thanh (gốc từ)) + -ic(thuộc về (tính từ))
subspace,Đã có trong MorphLink,co san trong du lieu goc,a space that is contained within another space,sub-(dưới) + space(không gian)
subspecies,Đã có trong MorphLink,co san trong du lieu goc,(biology) a taxonomic group that is a division of a species,sub-(dưới) + species(loài)
substandard,Đã có trong MorphLink,co san trong du lieu goc,falling short of some prescribed norm,sub-(dưới) + standard(tiêu chuẩn)
substantial,Đã có trong MorphLink,co san trong du lieu goc,"large in amount, value or importance","substance(chất liệu, bản chất) + -al(thuộc về (tính từ); hành động (danh từ))"
substantially,Đã có trong MorphLink,co san trong du lieu goc,very much; a lot,"substance(chất liệu, bản chất) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
substantiate,Đã có trong MorphLink,co san trong du lieu goc,"solidify, firm, or strengthen","substance(chất liệu, bản chất) + -ate(làm cho/trở thành (động từ); có (tính từ))"
substantiation,Đã có trong MorphLink,co san trong du lieu goc,the act of validating,"substance(chất liệu, bản chất) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
substantive,Đã có trong MorphLink,co san trong du lieu goc,defining rights and duties as opposed to giving the rules by which rights and duties are established,"substance(chất liệu, bản chất) + -ive(có xu hướng, có tính chất (tính từ))"
substantively,Đã có trong MorphLink,co san trong du lieu goc,"As a substantive, name, or noun; as, an adjective may be usedsubstantively.","substance(chất liệu, bản chất) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
subsystem,Đã có trong MorphLink,co san trong du lieu goc,a system that is part of some larger system,sub-(dưới) + system(hệ thống)
subtenant,Đã có trong MorphLink,co san trong du lieu goc,"One who rents a tenement, or land, etc., of one who is also atenant; an undertenant.",sub-(dưới) + ten(số mười) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
subtitle,Đã có trong MorphLink,co san trong du lieu goc,secondary or explanatory title,"sub-(dưới) + title(tiêu đề, chức danh)"
subtler,Đã có trong MorphLink,co san trong du lieu goc,subtle(not very obvious or easy to notice ) + -er(person who does; comparative),subtle(tinh tế) + -er(người làm việc gì; so sánh hơn)
subtlest,Đã có trong MorphLink,co san trong du lieu goc,subtle(not very obvious or easy to notice ) + -est(superlative),subtle(tinh tế) + -est(so sánh nhất)
subtlety,Đã có trong MorphLink,co san trong du lieu goc,the quality of being difficult to detect or analyze,"subtle(tinh tế) + -ity(trạng thái, tính chất (danh từ))"
subtly,Đã có trong MorphLink,co san trong du lieu goc,in a subtle manner,subtle(tinh tế) + -y(có tính chất; danh từ/tính từ)
subtype,Đã có trong MorphLink,co san trong du lieu goc,"sub-(under, below) + typo((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập))",sub-(dưới) + typo(lỗi đánh máy)
subway,Đã có trong MorphLink,co san trong du lieu goc,an electric railway operating below the surface of the ground (usually in a city),"sub-(dưới) + way(con đường, cách thức)"
successful,Đã có trong MorphLink,co san trong du lieu goc,achieving your aims or what was intended,"success(thành công) + -ful(đầy, có nhiều (tính từ))"
successfully,Đã có trong MorphLink,co san trong du lieu goc,in a way that achieves your aims or what was intended,"success(thành công) + -ful(đầy, có nhiều (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
successively,Đã có trong MorphLink,co san trong du lieu goc,in proper order or sequence,successive(liên tiếp) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
successorship,Đã có trong MorphLink,co san trong du lieu goc,"successor(a person or thing that comes after somebody/something else and takes their/its place) + -ship(state, condition, skill (noun))","successor(người kế nhiệm) + -ship(trạng thái, điều kiện, kỹ năng (danh từ))"
suchlike,Đã có trong MorphLink,co san trong du lieu goc,of the same kind,"such+like(như vậy + thích, giống như)"
sucker,Đã có trong MorphLink,co san trong du lieu goc,mostly North American freshwater fishes with a thick-lipped mouth for feeding by suction,"suck(bú, hút) + -er(người làm việc gì; so sánh hơn)"
suction,Đã có trong MorphLink,co san trong du lieu goc,the act of sucking,"suck(bú, hút) + -ion(hành động, quá trình, trạng thái (danh từ))"
suddenly,Đã có trong MorphLink,co san trong du lieu goc,quickly and unexpectedly,sudden(đột ngột) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
suddenness,Đã có trong MorphLink,co san trong du lieu goc,the quality of happening with headlong haste or without warning,"sudden(đột ngột) + -ness(trạng thái, tính chất (danh từ))"
sufferable,Đã có trong MorphLink,co san trong du lieu goc,capable of being borne though unpleasant,suffer(chịu đựng) + -able(có thể được (tính từ))
sufferance,Đã có trong MorphLink,co san trong du lieu goc,a disposition to tolerate or accept people or situations,"suffer(chịu đựng) + -ance(trạng thái, tính chất, hành động (danh từ))"
sufferer,Đã có trong MorphLink,co san trong du lieu goc,one who suffers for the sake of principle,suffer(chịu đựng) + -er(người làm việc gì; so sánh hơn)
sugarier,Đã có trong MorphLink,co san trong du lieu goc,"sugar(a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter) + -y(having quality of; noun/adjective) + -er(person who does; comparative)",sugar(đường) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)
sugariest,Đã có trong MorphLink,co san trong du lieu goc,"sugar(a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter) + -y(having quality of; noun/adjective) + -est(superlative)",sugar(đường) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)
sugarless,Đã có trong MorphLink,co san trong du lieu goc,not containing sugar,sugar(đường) + -less(không có (tính từ))
sugary,Đã có trong MorphLink,co san trong du lieu goc,containing sugar,sugar(đường) + -y(có tính chất; danh từ/tính từ)
suggestibility,Đã có trong MorphLink,co san trong du lieu goc,susceptibility or responsiveness to suggestion,"suggest(gợi ý) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
suggestible,Đã có trong MorphLink,co san trong du lieu goc,susceptible or responsive to suggestion,suggest(gợi ý) + -able(có thể được (tính từ))
suggestion,Đã có trong MorphLink,co san trong du lieu goc,an idea or a plan that you mention for somebody else to think about,"suggest(gợi ý) + -ion(hành động, quá trình, trạng thái (danh từ))"
suggestive,Đã có trong MorphLink,co san trong du lieu goc,tending to suggest something improper or indecent,"suggest(gợi ý) + -ive(có xu hướng, có tính chất (tính từ))"
suggestively,Đã có trong MorphLink,co san trong du lieu goc,in a suggestive manner,"suggest(gợi ý) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
suitability,Đã có trong MorphLink,co san trong du lieu goc,the quality of having the properties that are right for a specific purpose,"suit(bộ vest, phù hợp) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
suitable,Đã có trong MorphLink,co san trong du lieu goc,right or appropriate for a particular purpose or occasion,"suit(bộ vest, phù hợp) + -able(có thể được (tính từ))"
suitableness,Đã có trong MorphLink,co san trong du lieu goc,the quality of having the properties that are right for a specific purpose,"suit(bộ vest, phù hợp) + -able(có thể được (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
suitably,Đã có trong MorphLink,co san trong du lieu goc,in an appropriate manner,"suit(bộ vest, phù hợp) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
suitcase,Đã có trong MorphLink,co san trong du lieu goc,a portable rectangular container for carrying clothes,"suit+case(bộ vest, phù hợp + trường hợp, vali)"
suitor,Đã có trong MorphLink,co san trong du lieu goc,a man who courts a woman,"suit(bộ vest, phù hợp) + -or(người/vật thực hiện (danh từ))"
summate,Đã có trong MorphLink,co san trong du lieu goc,determine the sum of,"sum+mate(tổng số + bạn đời, bạn bè)"
summation,Đã có trong MorphLink,co san trong du lieu goc,the arithmetic operation of summing,"sum(tổng số) + -ion(hành động, quá trình, trạng thái (danh từ))"
summerhouse,Đã có trong MorphLink,co san trong du lieu goc,a small roofed building affording shade and rest,summer+house(mùa hè + ngôi nhà)
summerier,Đã có trong MorphLink,co san trong du lieu goc,"summer(the warmest season of the year, coming between spring and autumn) + -y(having quality of; noun/adjective) + -er(person who does; comparative)",summer(mùa hè) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn)
summeriest,Đã có trong MorphLink,co san trong du lieu goc,"summer(the warmest season of the year, coming between spring and autumn) + -y(having quality of; noun/adjective) + -est(superlative)",summer(mùa hè) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất)
summertime,Đã có trong MorphLink,co san trong du lieu goc,the warmest season of the year,summer+time(mùa hè + thời gian)
summery,Đã có trong MorphLink,co san trong du lieu goc,belonging to or characteristic of or occurring in summer,summer(mùa hè) + -y(có tính chất; danh từ/tính từ)
sunbaked,Đã có trong MorphLink,co san trong du lieu goc,baked or hardened by exposure to sunlight,sun+bake(mặt trời + nướng bánh)
sunbathe,Đã có trong MorphLink,co san trong du lieu goc,expose one's body to the sun,sun+bath(mặt trời + bồn tắm)
