root_word,meaning_en,meaning_vi
list,"a series of names, items, figures, etc., especially when they are written or printed",danh sách
listen,to pay attention to somebody/something that you can hear,lắng nghe
litre,"a unit for measuring volume, equal to 1.76 British pints or 2.11 American pints",lít
litter,"small pieces of rubbish such as paper, cans and bottles, that people have left lying in a public place","rác, đàn con"
little,not big; small; smaller than others,nhỏ bé
live,living; not dead,sống
liver,a large organ in the body that cleans the blood and produces bile,gan
load,"something that is being carried (usually in large amounts) by a person, vehicle, etc.",tải trọng
loan,money that an organization such as a bank lends and somebody borrows,khoản vay
lobby,a large area inside the entrance of a public building where people can meet and wait,"sảnh, vận động hành lang"
lock,"a device that keeps a door, window, box, etc. shut, usually needing a key to open it",khóa
log,a thick piece of wood that is cut from or has fallen from a tree,"khúc gỗ, nhật ký"
logic,a way of thinking or explaining something,logic
long,"measuring or covering a great length or distance, or a greater length or distance than usual",dài
look,an act of looking at somebody/something,nhìn
loom,"to appear as a large shape that is not clear, especially in a frightening way","khung dệt, hiện ra"
loop,a shape like a curve or circle made by a line curving right round,vòng lặp
loose,not securely fixed where it should be; able to become separated from something,lỏng lẻo
lord,"(in the UK) a man of high rank in the nobility (= people of high social class), or somebody who has been given the title ‘lord’ as an honour",lãnh chúa
lose,to be unable to find something/somebody,"mất, thua"
loud,making a lot of noise,ồn ào
love,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend",tình yêu
low,not high or tall; not far above the ground,thấp
loyal,remaining constant in your support of somebody/something,trung thành
luck,"good things that happen to you by chance, not because of your own efforts or abilities",may mắn
lunch,a meal eaten in the middle of the day,bữa trưa
luxury,expensive and of very high quality,sang trọng
lyric,the words of a popular song,lời bài hát
machine,"a piece of equipment with many parts that work together to do a particular task. The power used to work a machine may be electricity, steam, gas, etc. or human power.",máy móc
mad,very stupid; not at all sensible,"điên, tức giận"
magic,having or using special powers to make impossible things happen or seem to happen,phép thuật
mail,"the official system used for sending and delivering letters, packages, etc.",thư từ
main,being the largest or most important of its kind,"chính, chủ yếu"
maintain,"to make something continue at the same level, standard, etc.",duy trì
major,very large or important,"chính, chuyên ngành"
make,"the name or type of a machine, piece of equipment, etc. that is made by a particular company",làm
male,being a man or boy,nam giới
man,an adult male human,đàn ông
manage,"to control or be in charge of a business, a team, an organization, land, etc.",quản lý
manifest,"to show something clearly, especially a feeling, an attitude or a quality",biểu hiện rõ
manipulate,"to control or influence somebody/something, often in a dishonest way so that they do not realize it",thao túng
manner,behaviour that is considered to be polite in a particular society or culture,"cách thức, thái độ"
march,"the 3rd month of the year, between February and April","diễu hành, tháng Ba"
margin,the empty space at the side of a written or printed page,"lề, biên độ"
marine,connected with the sea and the creatures and plants that live there,thuộc biển
mark,"a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it","dấu, đánh dấu"
market,an occasion when people buy and sell goods; the open area or building where they meet to do this,thị trường
marriage,the legal relationship between two people who are married to each other,hôn nhân
marry,to become the husband or wife of somebody; to get married to somebody,kết hôn
martial,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),thuộc quân sự
mask,"something that you wear over your face to hide it, or to frighten or entertain other people ",mặt nạ
mass,affecting or involving a large number of people or things,"khối lượng, đám đông"
master,"a man who has people working for him, often as servants in his home",bậc thầy
match,a sports event where people or teams compete against each other,"trận đấu, phù hợp"
mate,a friend,"bạn đời, bạn bè"
material,"connected with money, possessions, etc. rather than with the needs of the mind or spirit",vật liệu
matter,"used (to ask) if somebody is upset, unhappy, etc. or if there is a problem","vấn đề, vật chất"
mature,"behaving in a sensible way, like an adult",trưởng thành
may,"the fifth month of the year, between April and June",có thể
mayor,"the head of the government of a town or city, etc., elected by the public",thị trưởng
meal,"an occasion when people eat food, especially breakfast, lunch or dinner",bữa ăn
mean,to have something as a meaning in the same or another language,có nghĩa là
measure,an official action that is done in order to achieve a particular aim,đo lường
meat,the soft part of an animal or a bird that can be eaten as food; a particular type of this,thịt
medal,"a flat piece of metal, usually like a coin in shape, that is given to the winner of a competition or to somebody who has been brave, for example in war",huy chương
medicine,the study and treatment of diseases and injuries,"y học, thuốc"
medium,"in the middle between a larger and smaller size, amount, length, temperature, etc.","trung bình, phương tiện"
meet,to be in the same place as somebody by chance and talk to them,gặp gỡ
melt,to become or make something become liquid as a result of heating,tan chảy
member,"a person, an animal or a plant that belongs to a particular group",thành viên
mental,connected with or happening in the mind; involving the process of thinking,thuộc tinh thần
mention,an act of referring to somebody/something in speech or writing,đề cập
merchant,"a person who buys and sells goods in large quantities, especially one who imports and exports goods",thương gia
mercy,a kind or forgiving attitude towards somebody that you have the power to harm or right to punish,lòng thương xót
mere,"used when you want to emphasize how small, unimportant, etc. somebody/something is",chỉ là
merge,to combine or make two or more things combine to form a single thing,sáp nhập
merit,the quality of being good and of deserving praise or reward,"giá trị, công trạng"
mess,a dirty or untidy state,bừa bộn
metal,"a type of solid mineral substance that is usually hard and shiny and that heat and electricity can travel through, for example tin, iron and gold",kim loại
method,a particular way of doing something,phương pháp
metre,a unit for measuring length; a hundred centimetres,mét
middle,"in a position in the middle of an object, group of objects, people, etc.; between the beginning and the end of something",ở giữa
midst,the middle part of something,giữa lúc
might,used when showing that something is or was possible,"sức mạnh, có thể"
mild,not severe or strong,nhẹ nhàng
mile,a unit for measuring distance equal to 1 609 metres or 1 760 yards,dặm
militia,a group of people who are not professional soldiers but who have had military training and can act as an army,dân quân
milk,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans",sữa
mill,a building fitted with equipment for grinding grain into flour; a machine for grinding grain,nhà máy
million,1 000 000,triệu
mind,"the part of a person that makes them able to be aware of things, to think and to feel",tâm trí
mine,"a deep hole or holes under the ground where minerals such as coal, gold, etc. are dug","của tôi, mỏ"
mineral,"a substance that is naturally present in the earth and is not formed from animal or vegetable matter, for example gold and salt. Some minerals are also present in food and drink and in the human body and are essential for good health.",khoáng chất
minister,a senior member of the government who is in charge of a government department or a branch of one,bộ trưởng
minor,"not very large, important or serious","nhỏ, vị thành niên"
minute,extremely small,phút
miracle,an act or event that does not follow the laws of nature and is believed to be caused by God,phép màu
miss,to be or arrive too late for something,"nhớ, bỏ lỡ"
mission,that cannot exist or be done; not possible,sứ mệnh
mix,a combination of different people or things,trộn lẫn
mob,"a large crowd of people, especially one that may become violent or cause trouble",đám đông
mobile,"connected with mobile phones, tablets, etc.",di động
mode,a particular way of doing something; a particular type of something,chế độ
model,"a copy of something, usually smaller than the original object",mô hình
moderate,"that is neither very good, large, hot, etc. nor very bad, small, cold, etc.",vừa phải
modern,of the present time or recent times ,hiện đại
modest,"not very large, expensive, important, etc.",khiêm tốn
modify,"to change something slightly, especially in order to make it more suitable for a particular purpose",sửa đổi
moment,a very short period of time,khoảnh khắc
money,"what you earn by working or selling things, and use to buy things",tiền bạc
monk,a member of a religious group of men who often live apart from other people in a monastery and who do not marry or have personal possessions,nhà sư
monster,"(in stories) an imaginary creature that is very large, ugly and frightening",quái vật
month,"any of the twelve periods of time into which the year is divided, for example May or June",tháng
monument,"a building, column, statue, etc. built to remind people of a famous person or event",tượng đài
mood,the way you are feeling at a particular time,tâm trạng
moon,the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun,mặt trăng
moral,connected with principles of right and wrong behaviour,đạo đức
more,used to form the comparative of most adjectives and adverbs with two or more syllables,nhiều hơn
morning,the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch,buổi sáng
mortgage,"a legal agreement by which a bank or similar organization lends you money to buy a house, etc., and you pay the money back over a particular number of years; the sum of money that you borrow",thế chấp
most,used to form the superlative of most adjectives and adverbs of two or more syllables,nhiều nhất
mother,a female parent of a child or animal; a person who is acting as a mother to a child,mẹ
motion,the act or process of moving or the way something moves,chuyển động
motive,a reason for doing something,động cơ
motor,having an engine; using the power of an engine,"động cơ, mô tơ"
mount,to organize and begin something,"gắn lên, leo lên"
mountain,"a very high hill, often with rocks near the top",núi
mouse,"a small animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored.",chuột
mouth,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening",miệng
move,a change of place or position,di chuyển
much,to a great degree,nhiều
mud,wet earth that is soft and sticky,bùn
mum,a mother,mẹ (tiếng Anh Anh)
municipal,"connected with or belonging to a town, city or district that has its own local government",thuộc thành phố
murder,the crime of killing somebody deliberately,giết người
muscle,a piece of body tissue that you make tight and relax in order to move a particular part of the body; the tissue that forms the muscles of the body,cơ bắp
music,sounds that are arranged in a way that is pleasant or exciting to listen to. People sing music or play it on instruments.,âm nhạc
must,used to say that something is necessary or very important (sometimes involving a rule or a law),phải
mutual,"used to describe feelings that two or more people have for each other equally, or actions that affect two or more people equally",lẫn nhau
my,of or belonging to the speaker or writer,của tôi
myth,"a story from ancient times, especially one that was told to explain natural events or to describe the early history of a people; this type of story",thần thoại
nail,the thin hard layer covering the outer tip of the fingers or toes,"móng tay, đinh"
naked,not wearing any clothes,trần trụi
name,"a word or words that a particular person, animal, place or thing is known by",tên
narrow,"measuring a short distance from one side to the other, especially in relation to length",hẹp
nasty,very bad or unpleasant,khó chịu
nation,"a country considered as a group of people with the same language, culture and history, who live in a particular area under one government",quốc gia
native,connected with the place where you were born and lived for the first years of your life,bản xứ
nature,"all the plants, animals and things that exist in the universe that are not made by people",tự nhiên
near,a short distance away,gần
neat,tidy and in order; carefully done or arranged,gọn gàng
neck,the part of the body between the head and the shoulders,cổ
need,a situation when something is necessary or must be done,cần thiết
needle,"a small thin piece of steel that you use for sewing, with a point at one end and a hole for the thread at the other",kim khâu
neglect,the fact of not giving enough care or attention to something/somebody; the state of not receiving enough care or attention,bỏ bê
neighbour,a person who lives next to you or near you,hàng xóm
nerve,"any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc.","thần kinh, can đảm"
nest,a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young,tổ chim
net,a net amount of money is the amount that remains when nothing more is to be taken away,"lưới, mạng"
never,not at any time; not on any occasion,không bao giờ
new,"not existing before; recently made, invented, introduced, etc.",mới
nice,pleasant or attractive,tốt đẹp
night,"the time between one day and the next when it is dark, when people usually sleep",ban đêm
nine,9,số chín
no,not one; not any; not a,không
noble,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others",cao quý
noise,"a sound, especially when it is loud, unpleasant or frightening",tiếng ồn
noon,12 o’clock in the middle of the day,buổi trưa
nor,and not,cũng không
norm,a situation or a pattern of behaviour that is usual or expected,chuẩn mực
north,in or towards the north,phía bắc
nose,"the part of the face that sticks out above the mouth, used for breathing and smelling things",mũi
not,"used with be, do or have to form the negative of verbs; used to form the negative of modal verbs like can or must",không
note,a short piece of writing to help you remember something,ghi chú
notice,"a sheet of paper giving written or printed information, usually put in a public place","thông báo, chú ý"
notion,"an idea, a belief or an understanding of something",khái niệm
novel,"different from anything known before; new, interesting and often seeming slightly strange","tiểu thuyết, mới lạ"
now,(at) the present time,bây giờ
number,a word or symbol that represents an amount or a quantity,số lượng
nurse,"a person whose job is to take care of sick or injured people, usually in a hospital",y tá
nut,a small hard fruit with a very hard shell that grows on some trees,"hạt, đai ốc"
obey,to do what you are told or expected to do,vâng lời
oblige,"to force somebody to do something, by law, because it is a duty, etc.",bắt buộc
observe,to see or notice somebody/something,quan sát
obsess,"to completely fill your mind so that you cannot think of anything else, in a way that is not reasonable or normal",ám ảnh
obvious,easy to see or understand,rõ ràng
occasion,a particular time when something happens,"dịp, cơ hội"
occupy,"to fill or use a space, an area or an amount of time",chiếm giữ
occur,to happen,xảy ra
ocean,the mass of salt water that covers most of the earth’s surface,đại dương
odd,strange or unusual,"kỳ lạ, lẻ"
of,belonging to somebody; relating to somebody,của
off,used to say that something has been removed or become separated,"tắt, xa khỏi"
offence,an illegal act ,"sự xúc phạm, tội phạm"
offend,to make somebody feel upset because of something you say or do that is rude or embarrassing,xúc phạm
office,"a room, set of rooms or building where people work, usually sitting at desks",văn phòng
often,many times,thường xuyên
oil,a thick liquid that is found in rock underground ,dầu
old,of a particular age,"già, cũ"
on,on somebody’s body; being worn,trên
one,the number 1,một
open,allowing things or people to go through; not closed or blocked ,mở
opera,a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment,nhạc kịch opera
opinion,"your feelings or thoughts about somebody/something, rather than a fact",ý kiến
oral,spoken rather than written,bằng miệng
orange,between red and yellow in colour,cam
order,the way in which people or things are placed or arranged in relation to each other,"ra lệnh, đặt hàng"
organ,"a part of the body that has a particular purpose, such as the heart or the brain; part of a plant with a particular purpose","cơ quan, đàn organ"
origin,the point from which something starts; the cause of something,nguồn gốc
other,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,khác
our,belonging to us; connected with us,của chúng ta
out,away from the inside of a place or thing,ra ngoài
over,"across a street, an open space, etc.","ở trên, hơn"
own,used to emphasize that something belongs to or is connected with somebody,sở hữu
oxygen,"a chemical element. Oxygen is a gas that is present in air and water and is necessary for people, animals and plants to live.",oxy
pace,"the speed at which somebody/something walks, runs or moves",nhịp độ
pack,"a container, usually made of paper, that holds a number of the same thing or an amount of something, ready to be sold","đóng gói, gói"
pad,"a thick piece of soft material that is used, for example, for cleaning or protecting something or for holding liquid",miếng đệm
page,"one side or both sides of a sheet of paper in a book, magazine, etc.",trang
pain,the feelings that you have in your body when you have been hurt or when you are ill,đau đớn
paint,a liquid that is put on surfaces to give them a particular colour; a layer of this liquid when it has dried on a surface,"sơn, vẽ"
pair,"two things of the same type, especially when they are used or worn together",cặp đôi
palace,"the official home of a king, queen, president, etc.",cung điện
pale,"having skin that is very light in colour; having skin that has less colour than usual because of illness, a strong emotion, etc.",nhợt nhạt
palm,"a straight tree with a mass of long leaves at the top, growing in tropical countries. There are several types of palm tree, some of which produce fruit.","lòng bàn tay, cây cọ"
pan,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),chảo
panel,"a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall",bảng điều khiển
panic,a sudden feeling of great fear that cannot be controlled and prevents you from thinking clearly,hoảng loạn
pant,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),thở hổn hển
paper,the thin material that you write and draw on and that is also used for wrapping and packing things,giấy
parallel,two or more lines that are parallel to each other are the same distance apart at every point,song song
parent,a person’s father or mother,cha mẹ
parish,an area that has its own church and that a priest is responsible for,giáo xứ
park,"an area of public land in a town or a city where people go to walk, play and relax","công viên, đỗ xe"
parliament,the group of people who are elected to make and change the laws of a country,quốc hội
part,some but not all of a thing,phần
participate,to take part in or become involved in an activity,tham gia
partner,"a person that you are doing an activity with, such as dancing or playing a game",đối tác
pass,"an official document or ticket that shows that you have the right to enter or leave a place, to travel on a bus or train, etc.",vượt qua
passion,"a very strong feeling of love, hate, anger, enthusiasm, etc.",đam mê
passive,accepting what happens or what people do without trying to change anything or oppose them,thụ động
past,gone by in time,quá khứ
pastor,"a minister in charge of a Christian church or group, especially in some Nonconformist churches",mục sư
patch,"a small area of something, especially one which is different from the area around it",miếng vá
patent,"an official right to be the only person to make, use or sell a product or an invention; a document that proves this",bằng sáng chế
patho,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),bệnh lý (gốc từ)
patience,the ability to stay calm and accept a delay or something annoying without complaining,sự kiên nhẫn
patient,able to wait for a long time or accept annoying behaviour or difficulties without becoming angry,"bệnh nhân, kiên nhẫn"
patrol,"the act of going to different parts of a building, an area, etc. to make sure that there is no trouble or crime",tuần tra
patron,a person who gives money and support to artists and writers,người bảo trợ
pay,the money that somebody gets for doing regular work,trả tiền
peace,a situation or a period of time in which there is no war or violence in a country or an area,hòa bình
peak,"the point when somebody/something is best, most successful, strongest, etc.",đỉnh cao
peasant,"(especially in the past, or in poorer countries) a farmer who owns or rents a small piece of land",nông dân
peculiar,"strange or unusual, especially in a way that is unpleasant or makes you worried","kỳ lạ, đặc thù"
peer,a person who is the same age or who has the same social status as you,bạn đồng trang lứa
pen,"an instrument made of plastic or metal used for writing with ink (= coloured liquid for writing, etc.)",bút
penny,a small British coin and unit of money. There are 100 pence in one pound (£1).,xu Anh
pension,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),lương hưu
people,"human beings; men, women and children",con người
pepper,"a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food",hạt tiêu
perform,"to entertain an audience by playing a piece of music, acting in a play, etc.",biểu diễn
period,a particular length of time,"giai đoạn, kỳ kinh"
permit,"an official document that gives somebody the right to do something, especially for a limited period of time","cho phép, giấy phép"
person,a human as an individual,con người
personnel,the people who work for an organization or one of the armed forces,nhân sự
persuade,to make somebody do something by giving them good reasons for doing it,thuyết phục
pet,"an animal, a bird, etc. that you have at home for pleasure, rather than one that is kept for work or food",thú cưng
petition,a written document signed by a large number of people that asks somebody in a position of authority to do or change something,đơn thỉnh nguyện
petrol,"a liquid obtained from petroleum, used as fuel in car engines, etc.",xăng
phon,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),âm thanh (gốc từ)
photo,a picture that is made by using a camera that stores images in digital form or that has a film sensitive to light inside it,ảnh chụp
phrase,a group of words that have a particular meaning when used together,cụm từ
piano,a large musical instrument played by pressing the black and white keys on the keyboard. The sound is produced by small hammers hitting the metal strings inside the piano.,đàn piano
pick,an act of choosing something,"chọn lựa, nhặt"
piece,an amount of something that has been cut or separated from the rest of it; a standard amount of something,"mảnh, miếng"
pig,"an animal with pink, black or brown skin, short legs, a broad nose and a short curly tail. Pigs are kept on farms for their meat (called pork) or live in the wild.",con lợn
pile,a number of things that have been placed on top of each other,"đống, chồng"
pill,"a small flat round piece of medicine that you swallow whole, without biting it",viên thuốc
pilot,"a person who operates the controls of an aircraft, especially as a job",phi công
pin,"a short thin piece of stiff wire with a sharp point at one end and a round head at the other, used especially for fastening together pieces of cloth when sewing",ghim
pink,pale red in colour,màu hồng
pipe,a tube through which liquids and gases can flow,ống dẫn
pirate,(especially in the past) a person on a ship who attacks other ships at sea in order to steal from them,cướp biển
pit,a large deep hole in the ground,"hố, hầm"
pitch,an area of ground specially prepared and marked for playing a sports game,"sân bóng, cao độ"
pity,used to show that you are disappointed about something,sự thương hại
place,"a particular position, point or area",địa điểm
plain,not decorated or complicated; simple,"đơn giản, đồng bằng"
plan,something that you intend to do or achieve,kế hoạch
plane,a flying vehicle with wings and one or more engines,"máy bay, mặt phẳng"
planet,a large round object in space that moves around a star (such as the sun) and receives light from it,hành tinh
plant,"a living thing that grows in the earth and usually has a stem, leaves and roots, especially one that is smaller than a tree or bush","cây trồng, nhà máy"
plastic,made of plastic,nhựa
plate,"a flat, usually round, dish that you put food on",đĩa
play,a piece of writing performed by actors in a theatre or on television or radio,chơi
plea,"a serious emotional request, especially for something needing action now",lời biện hộ
plead,to ask somebody for something in a very strong and serious way,"biện hộ, van xin"
please,used as a polite way of asking for something or telling somebody to do something,làm hài lòng
plenty,a large amount; as much or as many as you need,"nhiều, dồi dào"
plot,"the series of events that form the story of a novel, play, film, etc.","âm mưu, cốt truyện"
plug,a small plastic object with two or three metal pins that connects a piece of electrical equipment to the main supply of electricity,phích cắm
plunge,to move or make somebody/something move suddenly forwards and/or downwards,lao xuống
plus,used after a number to show that the real number or amount is more than the one mentioned,cộng thêm
pocket,a small piece of material like a small bag sewn into or onto a piece of clothing so that you can carry things in it,túi áo
poet,a person who writes poems,nhà thơ
point,a thing that somebody says or writes giving their opinion or stating a fact,"điểm, chỉ ra"
poison,a substance that causes death or harm if it gets into the body,chất độc
pole,"a long thin straight piece of wood or metal, especially one with the end placed in the ground, used as a support","cực, cột"
police,an official organization whose job is to make people obey the law and to prevent and solve crime; the people who work for this organization,cảnh sát
polite,having or showing good manners and respect for the feelings of others,lịch sự
poll,the process of questioning people who are representative of a larger group in order to get information about the general opinion,thăm dò ý kiến
pond,"a small area of still water, especially one that is artificial",ao hồ
pool,an area of water that has been created for people to swim in,hồ bơi
poor,having very little money; not having enough money for basic needs,nghèo
pop,connected with modern popular music,"nhạc pop, nổ"
port,"a town or city with a harbour, especially one where ships load and unload goods",cảng
portion,one part of something larger,phần
portray,to show somebody/something in a picture; to describe somebody/something in a piece of writing,miêu tả
pose,"to create a threat, problem, etc. that has to be dealt with","tạo dáng, đặt ra"
possess,to have or own something,sở hữu
possible,that can be done or achieved,có thể xảy ra
post,"the official system used for sending and delivering letters, packages, etc.","bưu điện, đăng bài"
pot,a deep round container used for cooking things in,nồi
pound,"the unit of money in the UK, worth 100 pence","bảng Anh, đấm mạnh"
pour,"to make a liquid or other substance flow from a container in a continuous stream, especially by holding the container at an angle",đổ ra
powder,a dry mass of very small fine pieces or grains,bột
power,the ability to control people or things,"quyền lực, sức mạnh"
praise,words that show that you approve of and admire somebody/something,khen ngợi
prayer,words that you say to God giving thanks or asking for help,lời cầu nguyện
preach,"to give a religious talk in a public place, especially in a church during a service",thuyết giáo
precedent,an official action or decision that has happened in the past and that is seen as an example or a rule to be followed in a similar situation later,tiền lệ
precious,rare and worth a lot of money,quý giá
precise,clear and accurate,chính xác
prefer,to like one thing or person better than another; to choose one thing rather than something else because you like it better,thích hơn
premier,"most important, famous or successful","thủ tướng, hàng đầu"
prepare,to make something or somebody ready to be used or to do something,chuẩn bị
presence,the fact of being in a particular place,sự hiện diện
present,existing or happening now,"hiện tại, món quà"
preside,"to lead or be in charge of a meeting, ceremony, etc.",chủ trì
press,newspapers and magazines,"nhấn, báo chí"
pretend,"to behave in a particular way, in order to make other people believe something that is not true",giả vờ
pretty,attractive without being very beautiful,xinh đẹp
prevent,to stop somebody from doing something; to stop something from happening,ngăn chặn
previous,happening or existing before the event or object that you are talking about,trước đó
price,the amount of money that you have to pay for something,giá cả
priest,"a person who is qualified to perform religious duties and ceremonies in the Roman Catholic, Anglican and Orthodox Churches",linh mục
prim,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),đoan trang
prince,"a male member of a royal family who is not king, especially the son or grandson of the king or queen",hoàng tử
principal,most important; main,"hiệu trưởng, chính"
principle,a moral rule or a strong belief that influences your actions,nguyên tắc
print,"letters, words, numbers, etc. that have been printed onto paper",in ấn
prior,happening or existing before something else or before a particular time,trước đó
prison,"a building where people are kept as a punishment for a crime they have committed, or while they are waiting for trial",nhà tù
private,belonging to or for the use of a particular person or group; not for public use,riêng tư
privilege,a special right or advantage that a particular person or group of people has,đặc quyền
prize,"an award that is given to a person who wins a competition, race, etc. or who does very good work",giải thưởng
prob,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),vấn đề (gốc từ)
problem,a thing that is difficult to deal with or to understand,vấn đề
proceed,to continue doing something that has already been started; to continue being done,tiến hành
profit,"the money that you make in business or by selling things, especially after paying the costs involved",lợi nhuận
profound,very great; felt or experienced very strongly,sâu sắc
program,a set of instructions in code that control the operations or functions of a computer,chương trình
promise,a statement that tells somebody that you will definitely do or not do something,lời hứa
prompt,to make somebody decide to do something; to cause something to happen,"nhắc nhở, nhanh chóng"
pronounce,to make the sound of a word or letter in a particular way,phát âm
proof,"information, documents, etc. that show that something is true",bằng chứng
proper,"right, appropriate or correct; according to the rules","phù hợp, đúng đắn"
protect,"to make sure that somebody/something is not harmed, injured, damaged, etc.",bảo vệ
protest,the expression of strong dislike of or opposition to something; a statement or an action that shows this ,phản đối
proud,"feeling pleased and satisfied about something that you own or have done, or are connected with",tự hào
prove,"to use facts, evidence, etc. to show that something is true",chứng minh
province,one of the areas that some countries are divided into with its own local government,tỉnh
provoke,to cause a particular reaction or have a particular effect,khiêu khích
public,connected with ordinary people in society in general,công cộng
publish,"to produce a book, magazine, CD-ROM, etc. and sell it to the public",xuất bản
pull,an act of trying to make something move by taking hold of it and using force to bring it towards you,kéo
pulse,"the regular beat of the heart as it sends blood around the body, that can be felt in different places, especially on the inside part of the wrist; the number of times the heart beats in a minute","nhịp đập, xung"
punch,a hard hit made with the fist (= closed hand),đấm
punk,a type of loud and aggressive rock music popular in the late 1970s and early 1980s,"nhạc punk, kẻ vô lại"
purchase,the act or process of buying something,mua sắm
pure,not mixed with anything else; with nothing added,thuần khiết
purple,having the colour of blue and red mixed together,màu tím
purpose,"the intention, aim or function of something; the thing that something is supposed to achieve",mục đích
pursue,to do something or try to achieve something over a period of time,theo đuổi
push,an act of pushing something/somebody,đẩy
put,to move something into a particular place or position,đặt
puzzle,"a game, etc. that you have to think about carefully in order to answer it or do it",câu đố
qualify,"to reach the standard of ability or knowledge needed to do a particular job, for example by completing a course of study or passing exams",đủ tiêu chuẩn
quarter,one of four equal parts of something,một phần tư
queen,the female ruler of an independent state that has a royal family,nữ hoàng
quest,"a long search for something, especially for some quality such as happiness",cuộc tìm kiếm
question,"a sentence, phrase or word that asks for information",câu hỏi
quick,done with speed; taking or lasting a short time,nhanh chóng
quiet,making very little noise,yên tĩnh
quit,"to leave your job, school, etc.",từ bỏ
quote,"a group of words or a short piece of writing taken from a book, play, speech, etc. and repeated because it is interesting or useful",trích dẫn
race,"a competition between people, animals, vehicles, etc. to see which one is the faster or fastest","cuộc đua, chủng tộc"
radio,the activity of broadcasting programmes for people to listen to; the programmes that are broadcast,radio
rage,a feeling of violent anger that is difficult to control,cơn thịnh nộ
raid,"a short surprise attack on an enemy by soldiers, ships or aircraft",cuộc đột kích
rail,a wooden or metal bar placed around something as a barrier or to provide support,đường ray
rain,water that falls from the sky in separate drops,mưa
raise,to lift or move something to a higher level,nâng lên
random,"done, chosen, etc. without somebody deciding in advance what is going to happen, or without any regular pattern",ngẫu nhiên
range,a variety of things of a particular type,"phạm vi, dãy"
rank,"the position, especially a high position, that somebody has in a particular organization, society, etc.",thứ hạng
rape,the crime of forcing somebody to have sex when they do not want it or are not able to agree to it,hiếp dâm
rapid,happening quickly or in a short period of time,nhanh chóng
rare,"not done, seen, happening, etc. very often",hiếm có
rat,"a small animal with a long tail, that looks like a large mouse, usually considered a pest (= an animal which is disliked because it destroys food or spreads disease)",chuột cống
rate,a measurement of the speed at which something happens,"tỷ lệ, đánh giá"
rational,based on reason rather than emotions,hợp lý
raw,not cooked,"thô, sống"
ray,"a narrow line of light, heat or other energy",tia sáng
reach,the distance over which you can stretch your arms to touch something; the distance over which a particular object can be used to touch something else,với tới
read,to look at and understand the meaning of written or printed words or symbols,đọc
ready,fully prepared for what you are going to do and able to start it immediately,sẵn sàng
real,actually existing or happening and not imagined or pretended,thực tế
realize,to understand or become aware of a particular fact or situation,nhận ra
rear,at or near the back of something,"phía sau, nuôi dạy"
reason,a cause or an explanation for something that has happened or that somebody has done,lý do
rebel,a person who fights against the government of their country,nổi loạn
recent,that happened or began only a short time ago,gần đây
reckon,to think something or have an opinion about something,"tính toán, cho là"
recommend,"to tell somebody that something is good or useful, or that somebody would be suitable for a particular job, etc.","giới thiệu, đề xuất"
record,a written account of something that is kept so that it can be looked at and used in the future,"ghi âm, kỷ lục"
recover,"to get well again after being ill, hurt, etc.",phục hồi
recruit,a person who has recently joined the armed forces or the police,tuyển dụng
red,having the colour of blood or fire,màu đỏ
refer,"to send somebody/something to somebody/something for help, advice or a decision","tham khảo, đề cập"
refuge,"shelter or protection from danger, trouble, etc.",nơi ẩn náu
regard,attention to or thought and care for somebody/something,"coi trọng, liên quan"
region,"a large area of land, usually without exact limits or borders",khu vực
register,"an official list or record of names, items, etc.; a book that contains such a list",đăng ký
regret,a sad feeling because of something that has happened or something that you have done or not done,hối tiếc
relate,show or make a connection between two or more things,liên quan
relax,"to rest while you are doing something that you enjoy, especially after work or effort",thư giãn
release,the act of setting a person or an animal free; the state of being set free,"phát hành, thả ra"
relieve,to remove or reduce an unpleasant feeling or pain,"giảm bớt, làm nhẹ"
reluctant,hesitating before doing something because you do not want to do it or because you are not sure that it is the right thing to do,miễn cưỡng
rely,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),dựa vào
remain,to continue to be something; to be still in the same state or condition,còn lại
