word,pos,meaning_en,meaning_vi
lowlier,noun,not high or tall; not far above the ground | adverb of manner / adjective (like | person who does; comparative,not high or tall; not far above the ground | trạng từ chỉ cách thức / t tính từ (like | người thực hiện; so sánh hơn
lowliest,adjective,not high or tall; not far above the ground | adverb of manner / adjective (like | superlative,not high or tall; not far above the ground | trạng từ chỉ cách thức / t tính từ (like | so sánh nhất
luckier,noun,"good things that happen to you by chance, not because of your own efforts or abilities | having quality of; noun/adjective | person who does; comparative","good things that happen to you by chance, not because of your own efforts or abilities | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
luckiest,adjective,"good things that happen to you by chance, not because of your own efforts or abilities | having quality of; noun/adjective | superlative","good things that happen to you by chance, not because of your own efforts or abilities | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
machinegun,noun,"a piece of equipment with many parts that work together to do a particular task. The power used to work a machine may be electricity, steam, gas, etc. or human power. + a weapon that is used for firing bullets or shells","a piece of equipment with many parts that work cung nhau to do a particular task. The power used to work a machine may be electricity, steam, gas, etc. or human power. + a weapon that is used for firing bullets or shells"
machinegun,verb,to shoot at someone or something with a machine gun,bắn vào ai đó hoặc cái gì đó bằng súng máy
maddest,adjective,very stupid; not at all sensible | superlative,very stupid; not at all sensible | so sánh nhất
makepeace,noun,"the name or type of a machine, piece of equipment, etc. that is made by a particular company + a situation or a period of time in which there is no war or violence in a country or an area","the name or type of a machine, piece of equipment, etc. that is made by a particular company + a situation or a period of time in which there is no war or violence in a country or an area"
malformations,noun,"bad, badly | a type or variety of something | to make/become (verb | adjective | action, process, state (noun","bad, badly | a type or variety of something | lam cho/become (động từ | t tính từ | hanh động, qua trình, state (danh từ"
manhour,noun,an adult male human + 60 minutes; one of the 24 parts that a day is divided into,an adult male human + 60 minutes; one of the 24 parts that a day is divided into
manipulators,noun,"to control or influence somebody/something, often in a dishonest way so that they do not realize it | person/thing that does (noun","to control or influence somebody/something, often in a dishonest way so that they do not realize it | person/vật thực hiện (danh từ"
manlier,noun,an adult male human | adverb of manner / adjective (like | person who does; comparative,an adult male human | trạng từ chỉ cách thức / t tính từ (like | người thực hiện; so sánh hơn
manmade,noun,"an adult male human + the name or type of a machine, piece of equipment, etc. that is made by a particular company","an adult male human + the name or type of a machine, piece of equipment, etc. that is made by a particular company"
markdown,noun,"a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it + to or at a lower place or position","a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it + to or at a lower place or position"
marketability,noun,an occasion when people buy and sell goods; the open area or building where they meet to do this | capable of being (adjective | state or quality of (noun,an occasion when people buy and sell goods; the open area or building where they meet to do this | capable of being (t tính từ | trạng thái hoặc tính chất của (danh từ
marketeer,noun,"an occasion when people buy and sell goods; the open area or building where they meet to do this | person concerned with (noun, VD: engineer","an occasion when people buy and sell goods; the open area or building where they meet to do this | person concerned with (danh từ, VD: engineer"
marketwise,adverb,an occasion when people buy and sell goods; the open area or building where they meet to do this | in the manner of; direction,an occasion when people buy and sell goods; the open area or building where they meet to do this | in the manner of; direction
markswoman,noun,"a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it + an adult female human","a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it + an adult nữ human"
massier,noun,affecting or involving a large number of people or things | having quality of; noun/adjective | person who does; comparative,affecting or involving a large number of people or things | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
masterwork,noun,"a man who has people working for him, often as servants in his home + the job that a person does especially in order to earn money","a man who has people working for him, often as servants in his home + the job that a person does especially in order to earn money"
matchlessly,adverb,a sports event where people or teams compete against each other | without (adjective | adverb of manner / adjective (like,a sports event where people or teams compete chống lại each other | khong có (t tính từ | trạng từ chỉ cách thức / t tính từ (like
maturest,adjective,"behaving in a sensible way, like an adult | superlative","behaving in a sensible way, like an adult | so sánh nhất"
maybug,noun,"the fifth month of the year, between April and June + any small insect","the fifth month of the year, between April and June + any nhỏ insect"
mayfair,noun,"the fifth month of the year, between April and June + acceptable and appropriate in a particular situation","the fifth month of the year, between April and June + acceptable and appropriate in a particular situation"
mayst,adjective,"the fifth month of the year, between April and June | superlative","the fifth month of the year, between April and June | so sánh nhất"
mealier,noun,"an occasion when people eat food, especially breakfast, lunch or dinner | having quality of; noun/adjective | person who does; comparative","an occasion when people eat food, especially breakfast, lunch or dinner | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
mealiest,adjective,"an occasion when people eat food, especially breakfast, lunch or dinner | having quality of; noun/adjective | superlative","an occasion when people eat food, especially breakfast, lunch or dinner | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
meaner,noun,to have something as a meaning in the same or another language | person who does; comparative,to have something as a meaning in the same or another language | người thực hiện; so sánh hơn
meanest,adjective,to have something as a meaning in the same or another language | superlative,to have something as a meaning in the same or another language | so sánh nhất
meatier,noun,the soft part of an animal or a bird that can be eaten as food; a particular type of this | having quality of; noun/adjective | person who does; comparative,the soft part of an animal or a bird that can be eaten as food; a particular type of this | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
meatiest,adjective,the soft part of an animal or a bird that can be eaten as food; a particular type of this | having quality of; noun/adjective | superlative,the soft part of an animal or a bird that can be eaten as food; a particular type of this | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
mediumistic,adjective,"in the middle between a larger and smaller size, amount, length, temperature, etc. | relating to (adjective","in the middle between a larger and smaller size, amount, length, temperature, etc. | li quan đến (t tính từ"
mediumship,adjective,"in the middle between a larger and smaller size, amount, length, temperature, etc. + a large boat that carries people or goods by sea","in the middle between a larger and smaller size, amount, length, temperature, etc. + a large boat that carries people or goods by sea"
meltingly,adverb,to become or make something become liquid as a result of heating | adverb of manner / adjective (like,trở thành or make something become liquid as a result of heating | trạng từ chỉ cách thức / t tính từ (like
merest,adjective,"used when you want to emphasize how small, unimportant, etc. somebody/something is | superlative","used when you want to emphasize how nhỏ, unimportant, etc. somebody/something is | so sánh nhất"
messier,noun,a dirty or untidy state | having quality of; noun/adjective | person who does; comparative,a dirty or untidy state | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
messiest,adjective,a dirty or untidy state | having quality of; noun/adjective | superlative,a dirty or untidy state | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
microfossils,noun,small | the parts of a dead animal or a plant that have become hard and turned into rock,nhỏ | the parts of a dead animal or a plant that have become hard and turned into rock
middletown,adjective,"in a position in the middle of an object, group of objects, people, etc.; between the beginning and the end of something + a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city.","in a position in the middle of an object, group of objects, people, etc.; between the beginning and the end of something + a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city."
midmorning,noun,middle | the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch,middle | the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch
midwest,adjective,middle | in or towards the west,middle | in or towards the west
midwesterners,noun,"middle | in or towards the west | direction (adjective, VD: southern | person who does; comparative","middle | in or towards the west | direction (t tính từ, VD: southern | người thực hiện; so sánh hơn"
mightier,noun,used when showing that something is or was possible | having quality of; noun/adjective | person who does; comparative,used when showing that something is or was possible | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
mightiest,adjective,used when showing that something is or was possible | having quality of; noun/adjective | superlative,used when showing that something is or was possible | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
milder,noun,not severe or strong | person who does; comparative,not severe or strong | người thực hiện; so sánh hơn
mildest,adjective,not severe or strong | superlative,not severe or strong | so sánh nhất
milkier,noun,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans | having quality of; noun/adjective | person who does; comparative","the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
milkiest,adjective,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans | having quality of; noun/adjective | superlative","the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
millenium,noun,"a building fitted with equipment for grinding grain into flour; a machine for grinding grain | to make (verb | adjective | chemical element / place (noun, Latin","a building fitted with equipment for grinding grain into flour; a machine for grinding grain | lam cho (động từ | t tính từ | chemical element / place (danh từ, Latin"
millie,noun,"a building fitted with equipment for grinding grain into flour; a machine for grinding grain | small, informal/affectionate (diminutive noun, VD: robbie, billie","a building fitted with equipment for grinding grain into flour; a machine for grinding grain | nhỏ, informal/affectionate (diminutive danh từ, VD: robbie, billie"
mineralized,verb,"a substance that is naturally present in the earth and is not formed from animal or vegetable matter, for example gold and salt. Some minerals are also present in food and drink and in the human body and are essential for good health. | to make, to become (verb","a substance that is naturally present in the earth and is not formed from animal or vegetable matter, for example gold and salt. Some minerals are also present in food and drink and in the human body and are essential for good health. | lam cho, trở thành (động từ"
minuter,noun,extremely small | person who does; comparative,extremely nhỏ | người thực hiện; so sánh hơn
minutest,adjective,extremely small | superlative,extremely nhỏ | so sánh nhất
misdealt,unknown,"mis-(wrongly, badly) + deal(an agreement, especially in business, on particular conditions for buying or doing something) + -t([INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing)","sai — thỏa thuận, đối phó — t (unknown)"
misguidedly,adverb,"wrongly, badly | a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places | adverb of manner / adjective (like","wrongly, badly | a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places | trạng từ chỉ cách thức / t tính từ (like"
mishit,noun,"wrongly, badly | an act of hitting somebody/something with your hand or with an object held in your hand","wrongly, badly | an act of hitting somebody/something with your hand or with an object held in your hand"
mishit,verb,"to hit a ball badly or awkwardly, not as intended, especially in a sport","đánh quả bóng không đúng cách, không như ý muốn, đặc biệt trong thể thao"
misinterpreters,noun,"wrongly, badly | to explain the meaning of something | person who does; comparative","wrongly, badly | to explain the meaning of something | người thực hiện; so sánh hơn"
misjudgement,noun,"wrongly, badly | a person in a court who has the authority to decide how criminals should be punished or to make legal decisions | result/action/state (noun","wrongly, badly | a person in a court who has the authority to decide how criminals should be punished or lam cho legal decisions | result/hanh động/state (danh từ"
misquotations,noun,"wrongly, badly | a group of words or a short piece of writing taken from a book, play, speech, etc. and repeated because it is interesting or useful | to make/become (verb | adjective | action, process, state (noun","wrongly, badly | a group of words or a short piece of writing taken from a book, play, speech, etc. and repeated because it is interesting or useful | lam cho/become (động từ | t tính từ | hanh động, qua trình, state (danh từ"
misspelt,unknown,"mis-(wrongly, badly) + spell(a short period of time during which something lasts) + -t([INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing)","sai — đánh vần, phép thuật — t (unknown)"
mistrustfulness,noun,"wrongly, badly | the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you | full of (adjective | state or quality of (noun","wrongly, badly | the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you | full of (t tính từ | trạng thái hoặc tính chất của (danh từ"
mobcaps,noun,"a large crowd of people, especially one that may become violent or cause trouble + a type of soft flat hat with a peak (= a hard curved part sticking out in front","a large crowd of people, especially one that may become violent or cause trouble + a type of soft flat hat with a peak (= a hard curved part sticking out in front"
momenta,unknown,"moment(a very short period of time) + -a([VARIANT] Latin/Greek loanword ending, plural or feminine noun marker)",khoảnh khắc — a (unknown)
mondays,noun,"one, single | a period of 24 hours","one, single | a period of 24 hours"
mondays,adverb,"on Mondays; every Monday, used to describe something that happens habitually","vào các ngày thứ Hai; cứ mỗi thứ Hai, diễn tả việc xảy ra thường xuyên"
moneybags,noun,"what you earn by working or selling things, and use to buy things + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling","what you earn by working or selling things, and use to buy things + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling"
moneybox,noun,"what you earn by working or selling things, and use to buy things + a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover","what you earn by working or selling things, and use to buy things + a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover"
moneychanger,noun,"what you earn by working or selling things, and use to buy things + the act or result of something becoming different | person who does; comparative","what you earn by working or selling things, and use to buy things + the act or result of something becoming different | người thực hiện; so sánh hơn"
monotonousness,noun,"one, single | the quality of somebody’s voice, especially expressing a particular emotion | having quality of (adjective | state or quality of (noun","one, single | the quality of somebody’s voice, especially expressing a particular emotion | cóĩ·· tính chất của (t tính từ | trạng thái hoặc tính chất của (danh từ"
monumentally,adverb,"a building, column, statue, etc. built to remind people of a famous person or event | relating to (adjective | noun | adverb of manner / adjective (like","a building, column, statue, etc. built to remind people of a famous person or event | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like"
moodier,noun,the way you are feeling at a particular time | having quality of; noun/adjective | person who does; comparative,the way you are feeling at a particular time | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
moodiest,adjective,the way you are feeling at a particular time | having quality of; noun/adjective | superlative,the way you are feeling at a particular time | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
moonier,noun,the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun | having quality of; noun/adjective | person who does; comparative,the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
morehouse,adverb,"used to form the comparative of most adjectives and adverbs with two or more syllables + a building for people to live in, usually for one family","used to form the so sánh hơn of most adjectives and adverbs with two or more syllables + a building for people to live in, usually for one family"
motivations,noun,"a reason for doing something | to make/become (verb | adjective | action, process, state (noun","a reason for doing something | lam cho/become (động từ | t tính từ | hanh động, qua trình, state (danh từ"
mountainously,adverb,"a very high hill, often with rocks near the top | having quality of (adjective | adverb of manner / adjective (like","a very high hill, often with rocks near the top | cóĩ·· tính chất của (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
mountaintop,noun,"a very high hill, often with rocks near the top + highest in position","a very high hill, often with rocks near the top + highest in position"
mountie,adjective,to organize and begin something | having quality of; noun/adjective,to organize and begin something | cóĩ·· tính chất của; danh từ/t tính từ
mousers,noun,"a small animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | person who does; comparative","a nhỏ animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | người thực hiện; so sánh hơn"
mousier,noun,"a small animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | having quality of; noun/adjective | person who does; comparative","a nhỏ animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
mousiest,adjective,"a small animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | having quality of; noun/adjective | superlative","a nhỏ animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored. | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
mouthorgan,noun,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening + a part of the body that has a particular purpose, such as the heart or the brain; part of a plant with a particular purpose","the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening + a part of the body that has a particular purpose, such as the heart or the brain; part of a plant with a particular purpose"
muddier,noun,wet earth that is soft and sticky | having quality of; noun/adjective | person who does; comparative,wet earth that is soft and sticky | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
muddiest,adjective,wet earth that is soft and sticky | having quality of; noun/adjective | superlative,wet earth that is soft and sticky | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
mudflat,noun,"wet earth that is soft and sticky + having a level surface, not curved or sloping, and without holes or any bits sticking out","wet earth that is soft and sticky + having a level surface, not curved or sloping, and khong có holes or any bits sticking out"
mudpack,noun,"wet earth that is soft and sticky + a container, usually made of paper, that holds a number of the same thing or an amount of something, ready to be sold","wet earth that is soft and sticky + a container, usually made of paper, that holds a number of the same thing or an amount of something, ready to be sold"
multichannel,noun,many | a television station,many | a television station
multimegaton,noun,"large, one million | many | a unit for measuring weight, in the UK 2 240 pounds (long ton | short ton","large, one million | many | a unit for measuring weight, in the UK 2 240 pounds (long ton | short ton"
multimillionaire,noun,"many | 1 000 000 | person who has (noun, VD: millionaire","many | 1 000 000 | person who has (danh từ, VD: millionaire"
mustier,noun,used to say that something is necessary or very important (sometimes involving a rule or a law | having quality of; noun/adjective | person who does; comparative,used to say that something is necessary or very important (sometimes involving a rule or a law | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
mustiest,adjective,used to say that something is necessary or very important (sometimes involving a rule or a law | having quality of; noun/adjective | superlative,used to say that something is necessary or very important (sometimes involving a rule or a law | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
narrowest,adjective,"measuring a short distance from one side to the other, especially in relation to length | superlative","measuring a short distance from one side to the other, especially in relation to length | so sánh nhất"
nastier,noun,very bad or unpleasant | person who does; comparative,very bad or unpleasant | người thực hiện; so sánh hơn
nastiest,adjective,very bad or unpleasant | superlative,very bad or unpleasant | so sánh nhất
nationalistically,adverb,"a country considered as a group of people with the same language, culture and history, who live in a particular area under one government | relating to (adjective | noun | person who practices/believes (noun | relating to (adjective | adverb of manner / adjective (like","a country considered as a group of people with the same language, culture and history, who live in a particular area under one government | li quan đến (t tính từ | danh từ | person who practices/believes (danh từ | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
naturalistically,adverb,"all the plants, animals and things that exist in the universe that are not made by people | relating to (adjective | noun | person who practices/believes (noun | relating to (adjective | adverb of manner / adjective (like","all the plants, animals and things that exist in the universe that are not made by people | li quan đến (t tính từ | danh từ | person who practices/believes (danh từ | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
nearsightedly,adverb,a short distance away + the ability to see | adverb of manner / adjective (like,a short distance away + the ability to see | trạng từ chỉ cách thức / t tính từ (like
neater,noun,tidy and in order; carefully done or arranged | person who does; comparative,tidy and in order; carefully done or arranged | người thực hiện; so sánh hơn
neatest,adjective,tidy and in order; carefully done or arranged | superlative,tidy and in order; carefully done or arranged | so sánh nhất
needier,noun,a situation when something is necessary or must be done | having quality of; noun/adjective | person who does; comparative,a situation when something is necessary or must be done | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
neediest,adjective,a situation when something is necessary or must be done | having quality of; noun/adjective | superlative,a situation when something is necessary or must be done | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
nervier,noun,"any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc. | having quality of; noun/adjective | person who does; comparative","any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
nestlings,noun,"a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young | small, young (diminutive noun","a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young | nhỏ, young (diminutive danh từ"
newbold,adjective,"not existing before; recently made, invented, introduced, etc. + brave and confident; not afraid to say what you feel or to take risks","not existing before; recently made, invented, introduced, etc. + brave and confident; not afraid to say what you feel or to take risks"
newbury,adjective,"not existing before; recently made, invented, introduced, etc. + to place a dead body in the ground","not existing before; recently made, invented, introduced, etc. + to place a dead body in the ground"
newcastle,adjective,"not existing before; recently made, invented, introduced, etc. + a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack","not existing before; recently made, invented, introduced, etc. + a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves chống lại attack"
newer,noun,"not existing before; recently made, invented, introduced, etc. | person who does; comparative","not existing before; recently made, invented, introduced, etc. | người thực hiện; so sánh hơn"
newest,adjective,"not existing before; recently made, invented, introduced, etc. | superlative","not existing before; recently made, invented, introduced, etc. | so sánh nhất"
newsier,noun,"not existing before; recently made, invented, introduced, etc. | having quality of; noun/adjective | person who does; comparative","not existing before; recently made, invented, introduced, etc. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
newsiest,adjective,"not existing before; recently made, invented, introduced, etc. | having quality of; noun/adjective | superlative","not existing before; recently made, invented, introduced, etc. | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
newsiness,noun,"not existing before; recently made, invented, introduced, etc. | having quality of; noun/adjective | state or quality of (noun","not existing before; recently made, invented, introduced, etc. | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ"
newsweek,adjective,"not existing before; recently made, invented, introduced, etc. + a period of seven days, either from Monday to Sunday or from Sunday to Saturday","not existing before; recently made, invented, introduced, etc. + a period of seven days, either from Monday to Sunday or from Sunday to Saturday"
newtown,adjective,"not existing before; recently made, invented, introduced, etc. + a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city.","not existing before; recently made, invented, introduced, etc. + a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city."
nicer,noun,pleasant or attractive | person who does; comparative,pleasant or attractive | người thực hiện; so sánh hơn
nicest,adjective,pleasant or attractive | superlative,pleasant or attractive | so sánh nhất
nightlights,noun,"the time between one day and the next when it is dark, when people usually sleep + pale in colour","the time between one day and the next when it is dark, when people usually sleep + pale in colour"
nightline,noun,"the time between one day and the next when it is dark, when people usually sleep + a long, thin mark on a surface","the time between one day and the next when it is dark, when people usually sleep + a long, thin mark on a surface"
nineteens,number,nine+teen(9 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)),số mười chín
nineteenths,noun,"9 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (noun, VD: eighth, warmth","9 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (danh từ, VD: eighth, warmth"
nobler,noun,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others | person who does; comparative","having or showing fine personal qualities that people admire, such as courage, honesty and care for others | người thực hiện; so sánh hơn"
noblest,adjective,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others | superlative","having or showing fine personal qualities that people admire, such as courage, honesty and care for others | so sánh nhất"
noisier,noun,"a sound, especially when it is loud, unpleasant or frightening | having quality of; noun/adjective | person who does; comparative","a sound, especially when it is loud, unpleasant or frightening | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
noisiest,adjective,"a sound, especially when it is loud, unpleasant or frightening | having quality of; noun/adjective | superlative","a sound, especially when it is loud, unpleasant or frightening | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
nonassertively,adverb,"not | to state clearly and definitely that something is true | tending to, having nature of (adjective | adverb of manner / adjective (like","not | to state clearly and definitely that something is true | tending to, having nature of (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
noncommittally,adverb,not | to do something wrong or illegal | relating to (adjective | noun | adverb of manner / adjective (like,not | to do something wrong or illegal | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like
noncontributory,adjective,"together, jointly | not | an act, a statement or a gift that is intended to show your love or respect, especially for a dead person | person/thing that does (noun | having quality of; noun/adjective","cung nhau, đồng thời | not | an act, a statement or a gift that is intended to show your love or respect, especially for a dead person | person/vật thực hiện (danh từ | cóĩ·· tính chất của; danh từ/t tính từ"
nondescriptly,adverb,"down, away, reverse, remove | not | a written text of a play, film, broadcast, talk, etc. | adverb of manner / adjective (like","down, away, reverse, remove | not | a written text of a play, film, broadcast, talk, etc. | trạng từ chỉ cách thức / t tính từ (like"
nondiscriminatory,adjective,"not, opposite of, apart | not | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | to make/become (verb | adjective | relating to, place for (adjective/noun","not, opposite of, apart | not | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | lam cho/become (động từ | t tính từ | li quan đến, place for (t tính từ/danh từ"
nondrying,adjective,not | not wet or sticky; without water or moisture,not | not wet or sticky; khong có water or moisture
nonfood,noun,not | things that people or animals eat,not | things that people or animals eat
noninflammable,adjective,"not; into, inward | not | a hot bright stream of burning gas that comes from something that is on fire | capable of being (adjective","not; into, inward | not | a hot bright stream of burning gas that comes from something that is on fire | capable of being (t tính từ"
nonmythological,adjective,"not | a story from ancient times, especially one that was told to explain natural events or to describe the early history of a people; this type of story + a thick piece of wood that is cut from or has fallen from a tree | relating to (adjective | relating to (adjective | noun","not | a story from ancient times, especially one that was told to explain natural events or to describe the early history of a people; this type of story + a thick piece of wood that is cut from or has fallen from a tree | li quan đến (t tính từ | li quan đến (t tính từ | danh từ"
nonreactivity,noun,"again, back | not | a particular thing that somebody does | tending to, having nature of (adjective | state or quality of (noun","again, back | not | a particular thing that somebody does | tending to, having nature of (t tính từ | trạng thái hoặc tính chất của (danh từ"
nonreactors,noun,"again, back | not | a particular thing that somebody does | person/thing that does (noun","again, back | not | a particular thing that somebody does | person/vật thực hiện (danh từ"
nonsensically,adverb,not | an understanding about something; an ability to judge something | relating to (adjective | relating to (adjective | noun | adverb of manner / adjective (like,not | an understanding about something; an ability to judge something | li quan đến (t tính từ | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like
nonsystematic,adjective,not | an organized set of ideas or theories or a particular way of doing something | relating to (adjective,not | an organized set of ideas or theories or a particular way of doing something | li quan đến (t tính từ
nonwhite,adjective,not | having the colour of fresh snow or of milk,not | having the colour of fresh snow or of milk
nonwhite,noun,"a person who is not white, especially one not of European descent","một người không thuộc chủng tộc da trắng, đặc biệt là người không có nguồn gốc châu Âu"
noontime,noun,"12 o’clock in the middle of the day + what is measured in minutes, hours, days, etc.","12 o’clock in the middle of the day + what is measured in minutes, hours, days, etc."
nosier,noun,"the part of the face that sticks out above the mouth, used for breathing and smelling things | having quality of; noun/adjective | person who does; comparative","the part of the face that sticks out above the mouth, used for breathing and smelling things | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
nosiest,adjective,"the part of the face that sticks out above the mouth, used for breathing and smelling things | having quality of; noun/adjective | superlative","the part of the face that sticks out above the mouth, used for breathing and smelling things | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
novelettish,adjective,"different from anything known before; new, interesting and often seeming slightly strange | small; female (diminutive noun | somewhat, having quality of (adjective","different from anything known before; new, interesting and often seeming slightly strange | nhỏ; nữ (diminutive danh từ | somewhat, cóĩ·· tính chất của (t tính từ"
novelized,verb,"different from anything known before; new, interesting and often seeming slightly strange | to make, to become (verb","different from anything known before; new, interesting and often seeming slightly strange | lam cho, trở thành (động từ"
nuttier,noun,a small hard fruit with a very hard shell that grows on some trees | having quality of; noun/adjective | person who does; comparative,a nhỏ hard fruit with a very hard shell that grows on some trees | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
nuttiest,adjective,a small hard fruit with a very hard shell that grows on some trees | having quality of; noun/adjective | superlative,a nhỏ hard fruit with a very hard shell that grows on some trees | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
nuttiness,noun,a small hard fruit with a very hard shell that grows on some trees | having quality of; noun/adjective | state or quality of (noun,a nhỏ hard fruit with a very hard shell that grows on some trees | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ
occupationally,adverb,"to fill or use a space, an area or an amount of time | action, process, state (noun | relating to (adjective | noun | adverb of manner / adjective (like","to fill or use a space, an area or an amount of time | hanh động, qua trình, state (danh từ | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like"
oceanside,noun,"the mass of salt water that covers most of the earth’s surface + either of the two halves of a surface, an object or an area that is divided by an imaginary central line","the mass of salt water that covers most of the earth’s surface + either of the two halves of a surface, an object or an area that is divided by an imaginary central line"
