component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
house+keep,housekeeping,[house+keep],0-2-0,noun,/ˈhaʊˌskipɪŋ/,real,the work of cleaning and running a house,house+keep(ngôi nhà + giữ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+keep,housekeeper,[house+keep]-er,0-2-1,noun,/ˈhaʊˌskipɝ/,real,a servant who is employed to perform domestic task in a household,house+keep(ngôi nhà + giữ) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+light,houselights,[house+light],0-2-0,noun,/hˈaʊslaɪts/,"generated (espeak-ng G2P, algorithmic)",lights that illuminate the audience's part of a theater or other auditorium,"house+light(ngôi nhà + ánh sáng, nhẹ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+man,houseman,[house+man],0-2-0,noun,/ˈhaʊsmən/,real,an advanced student or graduate in medicine gaining supervised practical experience,house+man(ngôi nhà + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+master,housemaster,[house+master],0-2-0,noun,/hˈaʊsmɑːstɐ/,real,teacher in charge of a school boardinghouse,house+master(ngôi nhà + bậc thầy),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+mother,housemother,[house+mother],0-2-0,noun,/hˈaʊsmʌðɚ/,"generated (espeak-ng G2P, algorithmic)",a woman employed as a chaperon in a residence for young people,house+mother(ngôi nhà + mẹ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+paint,housepaint,[house+paint],0-2-0,noun,/hˈaʊspeɪnt/,"generated (espeak-ng G2P, algorithmic)",paint used to cover the exterior woodwork of a house,"house+paint(ngôi nhà + sơn, vẽ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+proud,houseproud,[house+proud],0-2-0,noun,/hˈaʊspɹaʊd/,real,"house+proud(a building for people to live in, usually for one family + feeling pleased and satisfied about something that you own or have done, or are connected with)",house+proud(ngôi nhà + tự hào),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
house+room,houseroom,[house+room],0-2-0,noun,/hˈaʊsɹuːm/,real,space for accommodation in a house,house+room(ngôi nhà + căn phòng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+top,housetops,[house+top],0-2-0,noun,/hˈaʊstɒps/,real,"house+top(a building for people to live in, usually for one family + highest in position)","house+top(ngôi nhà + đỉnh, trên cùng)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
house+train,housetrained,[house+train],0-2-0,noun,/hˈaʊstɹeɪnd/,"generated (espeak-ng G2P, algorithmic)","house+train(a building for people to live in, usually for one family + a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another)","house+train(ngôi nhà + tàu hỏa, huấn luyện)","compositional (generated, unverified)",công thức ghép (chưa xác thực),"dạng liền của ""house-trained"" (huấn luyện đi vệ sinh đúng chỗ)"
house+warm,housewarming,[house+warm],0-2-0,noun,/ˈhaʊˌswɑmɪŋ/,real,a party of people assembled to celebrate moving into a new home,house+warm(ngôi nhà + ấm áp),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+wife,housewife,[house+wife],0-2-0,noun,/ˈhaʊˌswaɪf/,real,a wife who manages a household while her husband earns the family income,house+wife(ngôi nhà + vợ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+wife,housewifely,[house+wife]-ly,0-2-1,adjective,/hˈaʊswaɪfli/,real,related or suited to a housewife,house+wife(ngôi nhà + vợ) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+wife,housewifery,[house+wife]-ory,0-2-1,noun,/hˈaʊswɪfəɹi/,real,the work of a housewife,"house+wife(ngôi nhà + vợ) + -ory(thuộc về, nơi chốn (tính từ/danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
house+work,housework,[house+work],0-2-0,noun,/ˈhaʊˌswɝk/,real,the work of cleaning and running a house,house+work(ngôi nhà + công việc),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
how+ever,however,[how+ever],0-2-0,adverb,/ˌhaʊˈɛvɝ/,real,used to introduce a statement that contrasts with something that has just been said,"how+ever(như thế nào + từng, mãi mãi)",Oxford 5000 (verified),,
how+so+ever,howsoever,[how+so+ever],0-3-0,adverb,/haʊsˌəʊˈɛvɐ/,real,"how+so+ever(in what way or manner + to such a great degree + used in negative sentences and questions, or sentences with if to mean ‘at any time’)","how+so+ever(như thế nào + vì vậy + từng, mãi mãi)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
how+some+ever,howsomever,[how+some+ever],0-3-0,adverb,/hˈaʊsoʊmvɚ/,"generated (espeak-ng G2P, algorithmic)","how+some+ever(in what way or manner + used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given + used in negative sentences and questions, or sentences with if to mean ‘at any time’)","how+some+ever(như thế nào + một vài + từng, mãi mãi)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
human+kind,humankind,[human+kind],0-2-0,noun,/ˈhjumənˌkaɪnd/,real,all of the living human inhabitants of the earth,"human+kind(con người + tử tế, loại)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
hundred+weigh,hundredweight,[hundred+weigh]-t,0-2-1,noun,/ˈhəndɹədˌweɪt/,real,a British unit of weight equivalent to 112 pounds,"hundred+weigh(trăm + cân nặng) + -t([NGỮ PHÁP] đuôi chia động từ bất quy tắc (VD burnt, dealt) — không mang nghĩa riêng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
hunt+man,huntsman,[hunt+man],0-2-0,noun,/ˈhəntsmən/,real,someone who hunts game,hunt+man(săn bắn + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
husband+man,husbandman,[husband+man],0-2-0,noun,/hˈʌsbəndmən/,real,a person who operates a farm,husband+man(chồng + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+bound,icebound,[ice+bound],0-2-0,adjective,/ˈaɪsbaʊnd/,real,locked in by ice,"ice+bound(băng + ràng buộc, giới hạn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+box,icebox,[ice+box],0-2-0,noun,/ˈaɪsˌbɑks/,real,white goods in which food can be stored at low temperatures,ice+box(băng + hộp),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+break,icebreaker,[ice+break]-er,0-2-1,noun,/ˈaɪsˌbɹeɪkɝ/,real,a beginning that relaxes a tense or formal atmosphere,"ice+break(băng + phá vỡ, nghỉ giải lao) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+cap,icecap,[ice+cap],0-2-0,noun,/ˈaɪskæp/,real,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)",ice+cap(băng + mũ lưỡi trai),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+free,icefree,[ice+free],0-2-0,noun,/ˈaɪsfɹiː/,"generated (espeak-ng G2P, algorithmic)",ice+free(water that has frozen and become solid + without particular plans or arrangements; not busy),"ice+free(băng + tự do, miễn phí)","compositional (generated, unverified)",công thức ghép (chưa xác thực),"dạng liền của ""ice-free"" (không đóng băng)"
ice+house,icehouse,[ice+house],0-2-0,noun,/ˈaɪshaʊs/,real,a house for storing ice,ice+house(băng + ngôi nhà),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+man,iceman,[ice+man],0-2-0,noun,/ˈaɪsmæn/,real,a professional killer,ice+man(băng + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ice+pack,icepack,[ice+pack],0-2-0,noun,/ˈaɪspæk/,real,"ice+pack(water that has frozen and become solid + a container, usually made of paper, that holds a number of the same thing or an amount of something, ready to be sold)","ice+pack(băng + đóng gói, gói)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
ice+pick,icepick,[ice+pick],0-2-0,noun,/ˈaɪspɪk/,real,pick consisting of a steel rod with a sharp point,"ice+pick(băng + chọn lựa, nhặt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
idea+logic,idealogical,[idea+logic]-al,0-2-1,adjective,/aɪdˈiəlˈɑːdʒɪkəl/,"generated (espeak-ng G2P, algorithmic)","idea+logic(a plan, thought or suggestion, especially about what to do in a particular situation + a way of thinking or explaining something) + -al(relating to (adjective); action (noun))",idea+logic(ý tưởng + logic) + -al(thuộc về (tính từ); hành động (danh từ)),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
immune+log,immunology,[immune+log]-y,0-2-1,noun,/ˌɪmjuˈnɑɫədʒi/,real,the branch of medical science that studies the body's immune system,"immune+log(miễn dịch + khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
in+so+far,insofar,[in+so+far],0-3-0,adverb,/ˈɪnsəfɑɹ/,real,to the degree or extent that,"in+so+far(trong, vào + vì vậy + xa)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ink+bottle,inkbottle,[ink+bottle],0-2-0,noun,/ɪŋkbˈɑːɾəl/,"generated (espeak-ng G2P, algorithmic)","ink+bottle(coloured liquid for writing, drawing and printing + a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids)",ink+bottle(mực + chai),"compositional (generated, unverified)",công thức ghép (chưa xác thực),"dạng liền của ""ink bottle"" (lọ mực)"
ink+pad,inkpad,[ink+pad],0-2-0,noun,/ɪŋkpˈæd/,"generated (espeak-ng G2P, algorithmic)",a block of absorbent material saturated with ink,ink+pad(mực + miếng đệm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ink+stand,inkstand,[ink+stand],0-2-0,noun,/ˈɪŋkstænd/,real,a tray or stand for writing implements and containers for ink,ink+stand(mực + đứng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ink+well,inkwell,[ink+well],0-2-0,noun,/ˈɪŋkwɛl/,real,a small well holding writing ink into which a pen can be dipped,"ink+well(mực + tốt, giếng nước)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
iron+side,ironside,[iron+side],0-2-0,noun,/ˈaɪɝnˌsaɪd/,real,a man of great strength or bravery,"iron+side(sắt, bàn ủi + bên cạnh)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
iron+work,ironwork,[iron+work],0-2-0,noun,/ˈaɪənwɜːk/,real,work made of iron (gratings or rails or railings etc),"iron+work(sắt, bàn ủi + công việc)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
it+self,itself,[it+self],0-2-0,pronoun,/ˌɪtˈsɛɫf/,real,used when the animal or thing that does an action is also affected by it,it+self(nó + bản thân),Oxford 5000 (verified),,
jail+bird,jailbird,[jail+bird],0-2-0,noun,/dʒˈeɪlbɜːd/,real,a criminal who has been jailed repeatedly,jail+bird(nhà tù + chim),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
jet+line,jetliners,[jet+line]-er,0-2-1,noun,/ˈdʒɛtˌɫaɪnɝz/,real,"jet+line(a plane driven by jet engines + a long, thin mark on a surface) + -er(person who does; comparative)",jet+line(máy bay phản lực + đường kẻ) + -er(người làm việc gì; so sánh hơn),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
journey+man,journeyman,[journey+man],0-2-0,noun,/ˈdʒɝniˌmæn/,real,a skilled worker who practices some trade or handicraft,journey+man(hành trình + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
joy+ride,joyride,[joy+ride],0-2-0,noun,/ˈdʒɔɪˌɹaɪd/,real,a ride in a car taken solely for pleasure,"joy+ride(niềm vui + cưỡi, đi xe)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
joy+stick,joystick,[joy+stick],0-2-0,noun,/ˈdʒɔɪˌstɪk/,real,"a vertical lever that can move freely in many directions along a single axis, used to control movement in computer and video games","joy+stick(niềm vui + que, dính chặt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
keep+sake,keepsake,[keep+sake],0-2-0,noun,/ˈkipˌseɪk/,real,something of sentimental value,"keep+sake(giữ + lợi ích, mục đích)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
key+board,keyboard,[key+board],0-2-0,noun,/ˈkiˌbɔɹd/,real,"the set of keys for operating a computer or typewriter, or the set of letters that you can touch to write on a smartphone or tablet ","key+board(chìa khóa + ban, bảng, tấm ván)",Oxford 5000 (verified),,
key+board,keyboarder,[key+board]-er,0-2-1,noun,/kˈiːboːɹdɚ/,"generated (espeak-ng G2P, algorithmic)","key+board(most important; essential + a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats) + -er(person who does; comparative)","key+board(chìa khóa + ban, bảng, tấm ván) + -er(người làm việc gì; so sánh hơn)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
key+hole,keyhole,[key+hole],0-2-0,noun,/ˈkiˌhoʊɫ/,real,the hole where a key is inserted,key+hole(chìa khóa + lỗ hổng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
key+note,keynote,[key+note],0-2-0,noun,/ˈkiˌnoʊt/,real,a fundamental or central idea,key+note(chìa khóa + ghi chú),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
key+punch,keypunch,[key+punch],0-2-0,adjective,/kˈiːpʌntʃ/,"generated (espeak-ng G2P, algorithmic)",key+punch(most important; essential + a hard hit made with the fist (= closed hand)),key+punch(chìa khóa + đấm),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
key+stone,keystone,[key+stone],0-2-0,noun,/ˈkiˌstoʊn/,real,the central building block at the top of an arch or vault,key+stone(chìa khóa + đá),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
kick+back,kickback,[kick+back],0-2-0,noun,/ˈkɪkˌbæk/,real,a commercial bribe paid by a seller to a purchasing agent in order to induce the agent to enter into the transaction,"kick+back(đá + lưng, phía sau)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
kick+off,kickoff,[kick+off],0-2-0,noun,/ˈkɪˌkɔf/,real,(football) a kick from the center of the field to start a football game or to resume it after a score,"kick+off(đá + tắt, xa khỏi)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
kill+joy,killjoy,[kill+joy],0-2-0,noun,/ˈkɪɫdʒɔɪ/,real,someone who spoils the pleasure of others,kill+joy(giết + niềm vui),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
king+fish,kingfisher,[king+fish]-er,0-2-1,noun,/ˈkɪŋˌfɪʃɝ/,real,a nonpasserine large-headed bird with a short tail and long sharp bill,king+fish(vua + cá) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
king+like,kinglike,[king+like],0-2-0,adjective,/kˈɪŋlaɪk/,"generated (espeak-ng G2P, algorithmic)",having the rank of or resembling or befitting a king,"king+like(vua + thích, giống như)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
king+make,kingmaker,[king+make]-er,0-2-1,noun,/ˈkɪŋˌmeɪkɝ/,real,an important person who can bring leaders to power through the exercise of political influence,king+make(vua + làm) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
king+pin,kingpin,[king+pin],0-2-0,noun,/ˈkɪŋˌpɪn/,real,the front bowling pin in the triangular arrangement of ten pins,king+pin(vua + ghim),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
knee+cap,kneecap,[knee+cap],0-2-0,noun,/ˈniˌkæp/,real,a small flat triangular bone in front of the knee that protects the knee joint,knee+cap(đầu gối + mũ lưỡi trai),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
knife+like,knifelike,[knife+like],0-2-0,adjective,/ˈnaɪˌfɫaɪk/,real,having a sharp or distinct edge,"knife+like(con dao + thích, giống như)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
knock+about,knockabout,[knock+about],0-2-0,adjective,/nˈɒkɐbˌaʊt/,real,suitable for rough use,"knock+about(gõ cửa + về, khoảng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
knock+down,knockdown,[knock+down],0-2-0,adjective,/ˈnɑkˌdaʊn/,real,furniture that is easily assembled and dismantled,knock+down(gõ cửa + xuống),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
knock+out,knockout,[knock+out],0-2-0,adjective,/ˈnɑˌkaʊt/,real,very strong or vigorous,knock+out(gõ cửa + ra ngoài),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lady+bird,ladybird,[lady+bird],0-2-0,noun,/ˈɫeɪdiˌbɝd/,real,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,lady+bird(quý bà + chim),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lady+bug,ladybug,[lady+bug],0-2-0,noun,/ˈɫeɪdiˌbəɡ/,real,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,"lady+bug(quý bà + côn trùng, lỗi phần mềm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lady+like,ladylike,[lady+like],0-2-0,adjective,/ˈɫeɪdiˌɫaɪk/,real,befitting a woman of good breeding,"lady+like(quý bà + thích, giống như)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lamp+light,lamplight,[lamp+light],0-2-0,noun,/lˈæmplaɪt/,real,light from a lamp,"lamp+light(đèn + ánh sáng, nhẹ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lamp+light,lamplighter,[lamp+light]-er,0-2-1,noun,/ˈɫæmˌpɫaɪtɝ/,real,(when gas was used for streetlights) a person who lights and extinguishes streetlights,"lamp+light(đèn + ánh sáng, nhẹ) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lamp+post,lamppost,[lamp+post],0-2-0,noun,/ˈɫæmˌpoʊst/,real,a metal post supporting an outdoor lamp (such as a streetlight),"lamp+post(đèn + bưu điện, đăng bài)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lamp+shade,lampshade,[lamp+shade],0-2-0,noun,/lˈæmpʃeɪd/,real,a protective ornamental shade used to screen a light bulb from direct view,lamp+shade(đèn + bóng râm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+fall,landfall,[land+fall],0-2-0,noun,/ˈɫændˌfɔɫ/,real,the first sighting of land from the sea after a voyage (or flight over water),"land+fall(đất đai + rơi, mùa thu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+hold,landholder,[land+hold]-er,0-2-1,noun,/ˈɫændˌhoʊɫdɝ/,real,a holder or proprietor of land,land+hold(đất đai + giữ) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+lady,landlady,[land+lady],0-2-0,noun,/ˈɫændˌɫeɪdi/,real,a landlord who is a woman,land+lady(đất đai + quý bà),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+lock,landlocked,[land+lock],0-2-0,adjective,/ˈɫændˌɫɑkt/,real,surrounded entirely or almost entirely by land,land+lock(đất đai + khóa),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+lord,landlord,[land+lord],0-2-0,noun,/ˈɫændˌɫɔɹd/,real,"a person or company from whom you rent a room, a house, an office, etc.",land+lord(đất đai + lãnh chúa),Oxford 5000 (verified),,
land+man,landsman,[land+man],0-2-0,noun,/ˈɫændzmən/,real,an inexperienced sailor,land+man(đất đai + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+mark,landmark,[land+mark],0-2-0,noun,/ˈɫændˌmɑɹk/,real,"something, such as a large building, that you can see clearly from a distance and that will help you to know where you are","land+mark(đất đai + dấu, đánh dấu)",Oxford 5000 (verified),,
land+mine,landmine,[land+mine],0-2-0,noun,/ˈɫændˌmaɪn/,real,"land+mine(the surface of the earth that is not sea + a deep hole or holes under the ground where minerals such as coal, gold, etc. are dug)","land+mine(đất đai + của tôi, mỏ)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
land+own,landowner,[land+own]-er,0-2-1,noun,/ˈɫænˌdoʊnɝ/,real,a holder or proprietor of land,land+own(đất đai + sở hữu) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
land+slide,landslide,[land+slide],0-2-0,noun,/ˈɫænˌsɫaɪd/,real,a slide of a large mass of dirt and rock down a mountain or cliff,land+slide(đất đai + trượt),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
lap+wing,lapwing,[lap+wing],0-2-0,noun,/lˈæpwɪŋ/,real,large crested Old World plover having wattles and spurs,"lap+wing(vòng đua, đùi + cánh)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
late+come,latecomer,[late+come]-er,0-2-1,noun,/ˈɫeɪtkəmɝ/,real,someone who arrives late,late+come(muộn + đến) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
laugh+stock,laughingstock,[laugh+stock],0-2-0,noun,/ˈɫæfɪŋˌstɑk/,real,a victim of ridicule or pranks,"laugh+stock(cười + cổ phiếu, hàng tồn kho)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
law+make,lawmaking,[law+make],0-2-0,noun,/ˈɫɔˌmeɪkɪŋ/,real,the act of making or enacting laws,law+make(luật pháp + làm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
law+make,lawmakers,[law+make]-er,0-2-1,noun,/ˈɫɔˌmeɪkɝz/,real,"law+make(a rule that deals with a particular crime, agreement, etc. + the name or type of a machine, piece of equipment, etc. that is made by a particular company) + -er(person who does; comparative)",law+make(luật pháp + làm) + -er(người làm việc gì; so sánh hơn),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
law+man,lawman,[law+man],0-2-0,noun,/ˈɫɔmən/,real,an officer of the law,law+man(luật pháp + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
law+suit,lawsuit,[law+suit],0-2-0,noun,/ˈɫɔˌsut/,real,a claim or complaint against somebody that a person or an organization can make in court,"law+suit(luật pháp + bộ vest, phù hợp)",Oxford 5000 (verified),,
lay+about,layabout,[lay+about],0-2-0,noun,/lˈeɪɐbˌaʊt/,real,person who does no work,"lay+about(đặt xuống, đẻ trứng + về, khoảng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
