root_word,meaning,nghia_tieng_viet,used_in_single_root_group,used_in_compound_group,variants,variant_count,de_nham_lan,bien_the,topic,subtopic
learn,"to gain knowledge or skill by studying, from experience, from being taught, etc.",học,True,False,learnedly; learner; learnt; relearns; unlearn; unlearnt,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Kỹ năng học tập
least,to the smallest degree,ít nhất,True,False,leastwise,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
leather,material made by removing the hair or fur from animal skins and preserving the skins using special processes,da thuộc,True,True,leatherneck; leathery,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngoại hình và trang phục,Chất liệu vải
leave,a period of time when you are allowed to be away from work for a holiday or for a special reason,rời đi,True,True,interleave; roseleaves; tealeaves,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nghỉ phép và thời gian làm việc
left,on the side of your body that is towards the west when you are facing north,"trái, còn lại",True,True,lefthander; leftist; leftovers; leftward,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Giới từ và trạng từ chỉ nơi chốn
leg,one of the long parts that connect the feet to the rest of the body,chân,True,True,barelegged; blackleg; bootleg; bootlegger; dogleg; foreleg; legacy; legate; legatee; legation; leggier; leggiest; legginess; leggy; leghorn; legless,16,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Bàn tay và bàn chân
legal,connected with the law,hợp pháp,True,False,extralegal; illegal; illegality; illegally; legalism; legality; legalization; legalize; legally,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý
legend,"a story from ancient times about people and events, that may or may not be true; this type of story",truyền thuyết,True,False,legendary,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội
leisure,time when you are not working or studying; free time,giải trí,True,False,leisurely,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Hoạt động ngoài trời
lemon,"a yellow citrus fruit with juice that has a bitter, sharp taste. Slices of lemon and lemon juice are used in cooking and drinks.",chanh,True,False,lemonade,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Trái cây
lend,"to give something to somebody or allow them to use something that belongs to you, which they have to return to you later",cho vay,True,True,lender; moneylender,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Khoản vay
length,the size or measurement of something from one end to the other,chiều dài,True,True,lengthen; lengthier; lengthiest; lengthily; lengthiness; lengthwise; lengthy; wavelength,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
lesbian,sexually attracted to other women; connected with lesbians,đồng tính nữ,True,False,lesbianism,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
less,to a smaller degree; not so much,ít hơn,True,True,fatless; lessen; lesser; offenceless; planless; stoneless; winless,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
let,used for making suggestions or as a polite way of telling people what you want them to do,"để cho, cho thuê",True,True,flatlet; inlet; letdown; lettin; letup; outlet; sublet,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Trợ từ
lethal,causing or able to cause death,gây chết người,True,False,lethality,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",An toàn cá nhân
letter,"a written, typed or printed message that is put in an envelope or attached to an email and sent to somebody","thư từ, chữ cái",True,True,letterbox; letterhead; letterman; letterpress; newsletter; unlettered,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Dịch vụ,Bưu điện
level,having a flat surface that does not slope,mức độ,True,False,leveller,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
liable,legally responsible for paying the cost of something,chịu trách nhiệm,True,False,liability,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Bảo hiểm
library,"a building in which collections of books, newspapers, etc. and sometimes films and recorded music are kept for people to read, study or borrow",thư viện,True,False,librarian; librarianship,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Thư viện
licence,"an official document that shows that permission has been given to do, own or use something",giấy phép,True,False,licentious; licentiously; licentiousness,3,không có (hoặc chưa xác định),"license (dùng cho danh từ, Mỹ dùng license cho cả 2)","Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý
license,"to give somebody official permission to do, own, or use something",giấy phép,True,False,licensee; unlicensed,2,không có (hoặc chưa xác định),"licence (Anh-Anh, dùng cho danh từ)","Pháp luật, an toàn và khẩn cấp",Giấy tờ pháp lý
lie,a statement made by somebody knowing that it is not true,"nói dối, nằm",True,False,belie; liar; outlying; overlying; underlie,5,"lay: lie = nói dối/nằm (nội động từ); lay = đặt xuống (ngoại động từ, cần tân ngữ)",không có biến thể đáng chú ý,Con người,Tính cách
life,"the ability to breathe, grow, produce young, etc. that people, animals and plants have before they die and that objects do not have",cuộc sống,True,True,afterlife; lifebelt; lifeblood; lifeboat; lifeguard; lifeless; lifelessly; lifelessness; lifelike; lifeline; lifelong; lifer; lifetime; nightlife; wildlife,15,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Sự kiện đời người
lift,a machine that carries people or goods up and down to different levels in a building or a mine,nâng lên,True,True,airlift; forklift; liftboy; liftman; shoplift; shoplifter; skilift; uplift,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
light,pale in colour,"ánh sáng, nhẹ",True,True,candlelight; daylight; enlighten; enlightenment; fanlight; firelight; firelighter; flashlight; floodlight; footlight; gaslight; headlight; highlight; houselights; lamplight; lamplighter; lighten; lighter; lightest; lighthearted; lighthouse; lightly; lightness; lightship; lightweight; lightyears; moonlight; moonlighter; nightlights; photofloodlights; rushlight; searchlight; sidelight; skylight; spotlight; starlight; streetlight; sunlight; taillight; unenlightened,40,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Hệ thống điện và nước
like,the things that you like,"thích, giống như",True,True,alike; birdlike; brushlike; businesslike; catlike; chainlike; childlike; dancelike; deathlike; dislike; dreamlike; folklike; ghostlike; godlike; hairlike; homelike; hornlike; horselike; kinglike; knifelike; ladylike; lifelike; likable; likelier; likeliest; likelihood; likely; likened; likeness; likewise; loverlike; machinelike; manlike; motherlike; parklike; priestlike; rocklike; saintlike; seamanlike; soldierlike; sportsmanlike; springlike; statesmanlike; suchlike; threadlike; treelike; unlike; unlikelier; unlikeliest; unlikelihood; unlikeliness; unlikely; vicelike; warlike; wifelike; womanlike; workmanlike,57,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
limb,"an arm or a leg; a similar part of an animal, such as a wing",chi (tay chân),True,False,limbless,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cơ thể
limit,the greatest or smallest amount of something that is allowed,giới hạn,True,False,delimit; delimitate; delimitation; delimitations; illimitable; limitable; limitation; limitless; limitlessly; limitlessness; unlimited,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Phạm vi và bộ phận
line,"a long, thin mark on a surface",đường kẻ,True,True,airline; airliner; align; alignment; baseline; beeline; bilinear; borderline; breadline; byline; clothesline; coastline; dateline; deadline; delineaments; delineate; delineation; eyeliner; guidelines; hairline; headline; hipline; interlining; jetliners; lifeline; ligneous; lignite; lineal; linear; linearly; linebackers; lineman; liner; linertrain; lineup; mainline; misalignment; neckline; nightline; nonaligned; nonalignment; outline; pipeline; realign; realignment; relining; shoreline; sideline; skyline; storyline; streamline; touchline; underline; waterline,54,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Hình dạng
linger,to continue to exist for longer than expected,nán lại,True,False,lingerer; lingeringly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thời gian và thứ tự
link,a connection between two or more people or things,liên kết,True,True,interlink; linkage; linkup; unlinked,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Internet
lion,"a large, powerful animal of the cat family that hunts in groups and lives in parts of Africa and southern Asia. Lions have yellow-brown fur and the male has a mane (= long, thick hair round its neck).",sư tử,True,False,lioness; lionization; lionize,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Động vật có vú
lip,either of the two soft edges at the opening to the mouth,môi,False,True,lipstick,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Khuôn mặt
list,"a series of names, items, figures, etc., especially when they are written or printed",danh sách,True,True,blacklist; booklists; checklist; enlist; enlistment; listless; listlessly; listlessness; unlisted,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Đời sống hằng ngày,Mua sắm hằng ngày
listen,to pay attention to somebody/something that you can hear,lắng nghe,True,False,listener,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Phong cách âm nhạc
litre,"a unit for measuring volume, equal to 1.76 British pints or 2.11 American pints",lít,True,False,kilolitre; millilitre,2,không có (hoặc chưa xác định),liter (Mỹ),"Khoa học, công nghệ và kỹ thuật",Đo lường
litter,"small pieces of rubbish such as paper, cans and bottles, that people have left lying in a public place","rác, đàn con",False,True,litterbag; litterbin; litterbug,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Xử lý rác
little,not big; small; smaller than others,nhỏ bé,True,True,belittle; littleness; littlepage's; littler; littlest,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
live,living; not dead,sống,True,True,alive; enliven; livability; livable; livelier; liveliest; livelihood; liveliness; livelong; lively; livestock; outlive; relive,13,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Ngôi nhà
liver,a large organ in the body that cleans the blood and produces bile,gan,True,False,liverish,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Nội tạng
load,"something that is being carried (usually in large amounts) by a person, vehicle, etc.",tải trọng,True,True,armload; autoloader; boatload; carload; freeload; freeloader; loader; overload; payload; planeload; reload; shipload; unload; unloader,14,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Xe tải và vận chuyển
loan,money that an organization such as a bank lends and somebody borrows,khoản vay,False,True,loanword,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Khoản vay
lobby,a large area inside the entrance of a public building where people can meet and wait,"sảnh, vận động hành lang",True,False,lobbyist,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Du lịch và lưu trú,Lễ tân
lock,"a device that keeps a door, window, box, etc. shut, usually needing a key to open it",khóa,True,True,airlock; deadlock; forelock; interlock; landlocked; lockable; locker; lockian; locknut; lockout; lockup; matchlock; padlock; shylock; shylockian; unlock; wedlock,17,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,An ninh nhà ở
log,a thick piece of wood that is cut from or has fallen from a tree,"khúc gỗ, nhật ký",True,True,backlog; climatology; criminologist; criminology; demythologization; demythologize; dialogue; epidemiological; epilogue; escapologist; escapology; eulogist; eulogistic; eulogistically; eulogize; eulogizers; eulogy; genealogical; genealogically; genealogist; genealogy; horology; immunology; logbook; logger; loggerheads; logjams; macropathological; macropathology; methodological; methodologically; methodology; monologist; monologue; mythological; mythologist; mythology; nonmythological; pathologic; pathological; pathologically; pathologist; pathology; penology; phonological; phonologically; phonologist; phonology; phraseology; prologue; radiologist; radiology; semiology; typology; waterlogged,55,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Máy tính
logic,a way of thinking or explaining something,logic,True,True,idealogical; illogical; illogicality; illogically; illogicalness; logical; logicality; logically; logician,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nhận thức và ý nghĩa
long,"measuring or covering a great length or distance, or a greater length or distance than usual",dài,True,True,elongate; elongation; headlong; lifelong; livelong; longboat; longbow; longer; longest; longevity; longfellow; longhaired; longhand; longhorn; longingly; longish; longitude; longitudinal; longitudinally; longrun; longship; longshot; longstanding; longsuffering; longtime; longwearing; longwinded; longwindedly; longwindedness; longwise; overlong; prolong; prolongation; sidelong; yearlong,35,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
look,an act of looking at somebody/something,nhìn,True,True,looker; lookout; lookup; onlooker; outlook; overlook,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Ngoại hình
loom,"to appear as a large shape that is not clear, especially in a frightening way","khung dệt, hiện ra",False,True,broadloom,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
loop,a shape like a curve or circle made by a line curving right round,vòng lặp,True,True,loophole; loopier; loopiest; loopy,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Phần mềm
loose,not securely fixed where it should be; able to become separated from something,lỏng lẻo,True,True,footloose; loosebox; loosely; loosen; looseness; looser; loosest; unloose; unloosen,9,lose: lose = mất/thua (động từ); loose = lỏng lẻo (tính từ),không có biến thể đáng chú ý,Ngoại hình và trang phục,Kích cỡ và kiểu dáng
lord,"(in the UK) a man of high rank in the nobility (= people of high social class), or somebody who has been given the title ‘lord’ as an honour",lãnh chúa,True,True,landlord; lordlier; lordliest; lordliness; lordly; lordship; milord; overlord; warlord,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Di sản và bảo tàng
lose,to be unable to find something/somebody,"mất, thua",True,False,loser,1,loose: lose = mất/thua (động từ); loose = lỏng lẻo (tính từ),không có biến thể đáng chú ý,Thể thao,Luật thi đấu
loud,making a lot of noise,ồn ào,True,True,louder; loudest; loudhailer; loudly; loudmouth; loudness; loudspeaker; overloud,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
love,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend",tình yêu,True,True,beloved; lovable; lovebird; lovechildren; lovejoy; loveless; lovelier; loveliest; loveliness; lovely; lovemaking; lover; loverlike; lovesick; loveways; lovey; truelove; unlovely,18,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
low,not high or tall; not far above the ground,thấp,True,True,lowdown; lower; lowermost; lowest; lowland; lowlander; lowlier; lowliest; lowliness; lowly; lowness; partlow's,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
loyal,remaining constant in your support of somebody/something,trung thành,True,False,disloyal; disloyally; disloyalty; loyalist; loyally; loyalty,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tính cách
luck,"good things that happen to you by chance, not because of your own efforts or abilities",may mắn,True,True,luckier; luckiest; luckily; luckiness; luckless; lucky; potluck; unluckily; unlucky,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
lunch,a meal eaten in the middle of the day,bữa trưa,False,True,lunchroom; lunchtime,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ăn uống bên ngoài,Bữa trưa
luxury,expensive and of very high quality,sang trọng,True,False,luxuriance; luxuriant; luxuriantly; luxurious; luxuriously,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Mua sắm,Trung tâm thương mại
lyric,the words of a popular song,lời bài hát,True,False,lyrical; lyrically; lyricism; lyricist,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Âm nhạc
machine,"a piece of equipment with many parts that work together to do a particular task. The power used to work a machine may be electricity, steam, gas, etc. or human power.",máy móc,True,True,machinate; machination; machinegun; machinelike; machinery; machinist; supermachine,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Cơ khí
mad,very stupid; not at all sensible,"điên, tức giận",True,True,bemaddening; madcap; madden; madder; maddest; madhouse; madly; madman; madness; madwoman,10,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
magic,having or using special powers to make impossible things happen or seem to happen,phép thuật,True,False,magical; magically; magician; nonmagical,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội
mail,"the official system used for sending and delivering letters, packages, etc.",thư từ,True,True,airmail; blackmail; blackmailer; mailbag; mailboat; mailbox; mailer; mailman,8,male: mail = thư từ (danh từ); male = nam giới (tính từ/danh từ),không có biến thể đáng chú ý,Dịch vụ,Bưu điện
main,being the largest or most important of its kind,"chính, chủ yếu",True,True,mainland; mainline; mainly; mainsail; mainspring; mainstay; mainstream,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
maintain,"to make something continue at the same level, standard, etc.",duy trì,True,False,maintainable; maintenance,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Sửa chữa và bảo trì
major,very large or important,"chính, chuyên ngành",True,False,majorette; majority,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Các môn học
make,"the name or type of a machine, piece of equipment, etc. that is made by a particular company",làm,True,True,bookmaker; cabinetmakers; dressmaker; dressmaking; handmade; holidaymaker; homemade; homemaker; kingmaker; lawmakers; lawmaking; lovemaking; makepeace; maker; makeshift; makeup; manmade; matchmaker; matchmaking; moneymaker; moneymaking; pacemaker; peacemaker; peacemaking; phrasemaking; printmaking; remake; shoemaker; shoemaking; steelmaker; toolmaker; troublemaker; unmade; watchmaker,34,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Động từ hành động cơ bản
male,being a man or boy,nam giới,True,True,malefactor; maleness,2,mail: mail = thư từ (danh từ); male = nam giới (tính từ/danh từ),không có biến thể đáng chú ý,Con người,Nam giới
man,an adult male human,đàn ông,True,True,adman; aircraftman; airman; anchorman; ashman; bandsman; barman; baseman; batman; beggarman; bellman; boatman; bondsman; bushman; businessman; busman; cameraman; caveman; chairman; chairmanship; coachman; coastguardsman; councilman; counterman; countryman; cowman; cracksman; craftsman; craftsmanship; crewman; crossman; dairyman; deliveryman; doorman; dustman; fireman; fisherman; footman; freshman; frogman; frontiersman; gamesmanship; gasman; gentleman; gentlemanly; goodman; groundsman; guardsman; gunman; handicraftsman; handyman; hangman; headman; highwayman; horseman; horsemanship; hotelman's; houseman; huntsman; husbandman; iceman; journeyman; landsman; lawman; layman; leadsman; letterman; liftman; lineman; madman; mailman; manful; manfully; manhandle; manhole; manhood; manhour; mankind; manlier; manlike; manliness; manly; manmade; manpower; manservant; mantrap; marksman; marksmanship; merchantman; middleman; midshipman; militiaman; milkman; minuteman; muscleman; newsman; newspaperman; nobleman; nurseryman; oilman; oneupmanship; orangeman; patrolman; penman; penmanship; pickman; pitman; policeman; postman; pressman; pullman; rifleman; roundsman; salesman; salesmanship; sandman; seaman; seamanlike; seamanship; serviceman; shipman; showman; showmanship; signalman; snowman; sportsman; sportsmanlike; sportsmanship; stableman; statesman; statesmanlike; statesmanship; steersman; stickman; sunman; superman; switchman; swordsman; swordsmanship; townsman; tradesman; trainman; tribesman; underclassman; unman; unmanly; watchman; waterman; weatherman; wingman; woodman; workman; workmanlike; workmanship,154,không có (hoặc chưa xác định),men (số nhiều bất quy tắc),Con người,Nam giới
manage,"to control or be in charge of a business, a team, an organization, land, etc.",quản lý,True,False,manageability; manageable; management; manager; manageress; managerial; mismanage; mismanagement; unmanageable; unmanageably; unmanaged,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nơi làm việc
manifest,"to show something clearly, especially a feeling, an attitude or a quality",biểu hiện rõ,True,False,manifestation; manifestly; manifesto,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nhận thức và ý nghĩa
manipulate,"to control or influence somebody/something, often in a dishonest way so that they do not realize it",thao túng,True,False,manipulation; manipulative; manipulators,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
manner,behaviour that is considered to be polite in a particular society or culture,"cách thức, thái độ",True,True,mannerhouse; mannerism; mannerly; unmannered; unmannerly,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,"Cảm ơn, xin lỗi và phép lịch sự"
march,"the 3rd month of the year, between February and April","diễu hành, tháng Ba",True,True,frogmarch; marcher,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,"Ngày, giờ và lịch cơ bản"
margin,the empty space at the side of a written or printed page,"lề, biên độ",True,False,marginal; marginally,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Doanh thu và lợi nhuận
marine,connected with the sea and the creatures and plants that live there,thuộc biển,True,False,antisubmarine; submarine; ultramarine,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Biển và đại dương
mark,"a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it","dấu, đánh dấu",True,True,benchmarks; birthmark; bookmark; bookmarker; demarcate; demarcation; earmark; footmark; hallmark; landmark; markdown; markedly; marker; marksman; marksmanship; markswoman; markup; postmark; stylemark; tidemark; trademark; unmarked; watermark,23,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Điểm số và đánh giá
market,an occasion when people buy and sell goods; the open area or building where they meet to do this,thị trường,True,True,hypermarket; marketability; marketable; marketeer; marketer; marketplace; marketwise; newmarket; supermarket,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Cộng đồng và đô thị,Chợ
marriage,the legal relationship between two people who are married to each other,hôn nhân,True,False,intermarriage; marriageability; marriageable; remarriage,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Sự kiện đời người
marry,to become the husband or wife of somebody; to get married to somebody,kết hôn,True,False,intermarry; remarry; unmarried,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Sự kiện đời người
martial,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),thuộc quân sự,True,False,martially,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Võ thuật
mask,"something that you wear over your face to hide it, or to frighten or entertain other people ",mặt nạ,True,True,gasmask; unmask,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Sơ cứu
mass,affecting or involving a large number of people or things,"khối lượng, đám đông",True,False,amass; massier; massive; massively; massiveness; massy,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
master,"a man who has people working for him, often as servants in his home",bậc thầy,True,True,bandmaster; choirmaster; concertmaster; headmaster; homemaster; housemaster; masterful; masterfully; masterless; masterliness; masterly; mastermind; masterpiece; mastership; masterstroke; masterwork; mastery; overmaster; paymaster; postmaster; quartermaster; ringmaster; schoolmaster; taskmaster,24,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Bằng cấp
match,a sports event where people or teams compete against each other,"trận đấu, phù hợp",True,True,matchbox; matchless; matchlessly; matchlock; matchmaker; matchmaking; matchstick; matchwood; mismatch; outmatch; unmatchable; unmatched,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Thể thao chung
mate,a friend,"bạn đời, bạn bè",True,True,campmate; checkmate; classmate; helpmate; inmate; matey; playmate; roommate; schoolmate; shipmate; summate; teammate; unmated,13,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
material,"connected with money, possessions, etc. rather than with the needs of the mind or spirit",vật liệu,True,False,immaterial; materialism; materialist; materialistic; materialistically; materialization; materialize; materially,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Vật liệu
matter,"used (to ask) if somebody is upset, unhappy, etc. or if there is a problem","vấn đề, vật chất",True,False,antimatter,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Vật lý
mature,"behaving in a sensible way, like an adult",trưởng thành,True,False,immature; immaturely; immaturity; maturate; maturation; maturational; maturely; maturer; maturest; maturity; premature; prematurely,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tuổi tác và các giai đoạn cuộc đời
may,"the fifth month of the year, between April and June",có thể,True,True,maybug; mayday; mayfair; mayflower; mayfly; maypole; mayst,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Trợ từ
mayor,"the head of the government of a town or city, etc., elected by the public",thị trưởng,True,True,mayoral; mayoress; mayorship,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Cộng đồng và đô thị,Cơ quan hành chính
meal,"an occasion when people eat food, especially breakfast, lunch or dinner",bữa ăn,True,True,bonemeal; mealier; mealiest; mealtime; mealy; mealybug; piecemeal; wholemeal,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ăn uống bên ngoài,Bữa tối
mean,to have something as a meaning in the same or another language,có nghĩa là,True,True,meaner; meanest; meanie; meaningful; meaningfully; meaningfulness; meaningless; meaninglessness; meanly; meanness; meant; meantime; meanwhile,13,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nhận thức và ý nghĩa
measure,an official action that is done in order to achieve a particular aim,đo lường,True,True,countermeasure; immeasurable; immeasurably; measurable; measurably; measureless; measurement; unmeasured,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Đo lường
meat,the soft part of an animal or a bird that can be eaten as food; a particular type of this,thịt,True,True,forcemeat; horsemeat; meatball; meatier; meatiest; meatiness; meatless; meaty; sweetmeat,9,meet: meat = thịt (danh từ); meet = gặp gỡ (động từ),không có biến thể đáng chú ý,Thực phẩm,Thịt
medal,"a flat piece of metal, usually like a coin in shape, that is given to the winner of a competition or to somebody who has been brave, for example in war",huy chương,True,False,medallion; medallist,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Thể thao chung
medicine,the study and treatment of diseases and injuries,"y học, thuốc",True,False,medicinal; medicinally,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Thuốc và dạng thuốc
medium,"in the middle between a larger and smaller size, amount, length, temperature, etc.","trung bình, phương tiện",True,True,mediumistic; mediumship,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Vật liệu nghệ thuật
meet,to be in the same place as somebody by chance and talk to them,gặp gỡ,False,True,helpmeet; meetinghouse,2,meat: meat = thịt (danh từ); meet = gặp gỡ (động từ),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Cuộc họp
melt,to become or make something become liquid as a result of heating,tan chảy,True,False,meltingly,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Vật lý
member,"a person, an animal or a plant that belongs to a particular group",thành viên,True,True,crewmember; dismember; dismemberment; membership,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
mental,connected with or happening in the mind; involving the process of thinking,thuộc tinh thần,True,False,mentality; mentally,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Sức khỏe tinh thần
mention,an act of referring to somebody/something in speech or writing,đề cập,True,False,mentionable; undermentioned; unmentionable,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
