tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
horology,noun,the art of designing and making clocks,nghệ thuật thiết kế và chế tạo đồng hồ,[hour+log]-y,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horologies,,,,,,,,,,,,/hɒɹˈɒlədʒi/,real
horoscope,noun,"an astrological forecast of a person's future based on the positions of the planets and zodiac signs at their birth; also, the diagram of these positions",lá số tử vi hoặc lời dự đoán vận mệnh dựa trên vị trí các hành tinh và cung hoàng đạo; cũng chỉ biểu đồ thể hiện các vị trí đó,[hour+scope],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horoscopes,,,,,,,,,,,,/ˈhɔɹəˌskoʊp/,real
horseback,adverb,on the back of a horse,trên lưng ngựa,[horse+back],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/ˈhɔɹsˌbæk/,real
horsebox,noun,"a conveyance, railroad car or trailer, for transporting racehorses",xe hoặc toa dùng để vận chuyển ngựa đua,[horse+box],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horseboxes,,,,,,,,,,,,/hˈɔːsbɒks/,real
horsedom,noun,"(informal, rare) the world or domain of horses and everything connected with them","(khẩu ngữ, hiếm dùng) thế giới hoặc lĩnh vực của loài ngựa và những gì liên quan đến chúng",[horse]-dom,root,Đã có sẵn trong MorphLink (Word),có,N[C],horsedoms,,,,,,,,,,,,/hˈɔːɹsdəm/,"generated (espeak-ng G2P, algorithmic)"
horseflesh,noun,the flesh of horses as food,thịt ngựa dùng làm thực phẩm,[horse+flesh],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsefleshes,,,,,,,,,,,,/ˈhɔɹsˌfɫɛʃ/,real
horsefly,noun,large swift fly the female of which sucks blood of various animals,"ruồi lớn, cái hút máu động vật",[horse+fly],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horseflies,,,,,,,,,,,,/hˈɔːsflaɪ/,real
horsehair,noun,a fabric made from fibers taken from the mane or tail of horses,vải làm từ lông bờm hoặc đuôi ngựa,[horse+hair],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsehairs,,,,,,,,,,,,/hˈɔːsheə/,real
horselaugh,noun,a loud laugh that sounds like a horse neighing,tiếng cười to như tiếng hí ngựa,[horse+laugh],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horselaughs,,,,,,,,,,,,/hˈɔːɹslæf/,"generated (espeak-ng G2P, algorithmic)"
horselike,adjective,resembling a horse in appearance or behaviour,có hình dáng hoặc tính cách giống ngựa,[horse+like],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Tính từ tuyệt đối/phân loại, không dùng dạng so sánh hơn/nhất",,,,,,,,,/hˈɔːɹslaɪk/,"generated (espeak-ng G2P, algorithmic)"
horseman,noun,a person who breeds and cares for horses,người chăn nuôi và chăm sóc ngựa,[horse+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsemen,,,,,,,,,,,,/ˈhɔɹsmən/,real
horsemanship,noun,skill in handling and riding horses,kỹ năng cưỡi và điều khiển ngựa,[horse+man]-ship,compound,Sinh có kiểm soát — trùng MorphLink,có,N[C],horsemanships,,,,,,,,,,,,/ˈhɔɹsmənʃɪp/,real
horsemeat,noun,the flesh of horses as food,thịt ngựa dùng làm thực phẩm,[horse+meat],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsemeats,,,,,,,,,,,,/hˈɔːɹsmiːt/,"generated (espeak-ng G2P, algorithmic)"
horseplay,noun,rowdy or boisterous play,"trò đùa ồn ào, thô lỗ",[horse+play],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horseplays,,,,,,,,,,,,/ˈhɔɹsˌpɫeɪ/,real
horsepower,noun,a unit of power equal to 746 watts,đơn vị công suất bằng 746 watt,[horse+power],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsepowers,,,,,,,,,,,,/ˈhɔɹˌspaʊɝ/,real
horseracing,noun,"the sport of racing horses ridden by jockeys, often for gambling","môn thể thao đua ngựa do các kỵ sĩ điều khiển, thường gắn với cá cược",[horse+race],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horseracings,,,,,,,,,,,,/hˈɔːsɹeɪsɪŋ/,real
horseshoe,noun,U-shaped plate nailed to underside of horse's hoof,móng sắt hình chữ U đóng dưới móng ngựa,[horse+shoe],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horseshoes,,,,,,,,,,,,/ˈhɔɹsˌʃu/,real
horsewhip,noun,a whip for controlling horses,roi dùng để điều khiển ngựa,[horse+whip],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsewhips,,,,,,,,,,,,/hˈɔːswɪp/,real
horsewoman,noun,a woman horseman,nữ kỵ sĩ,[horse+woman],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],horsewomen,,,,,,,,,,,,/hˈɔːswʊmən/,real
horsiness,noun,"a strong interest in or enthusiasm for horses, or an appearance or manner suggestive of horses","sự yêu thích hoặc đam mê mạnh mẽ đối với ngựa, hoặc dáng vẻ gợi liên tưởng đến ngựa",[horse]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/hˈɔːsɪnəs/,real
horsy,adjective,"Pertaining to, or suggestive of, a horse, or of horse racing;as, horsy manners; garments of fantastically horsy fashions.",liên quan đến ngựa hoặc đua ngựa,[horse]-y,root,Đã có sẵn trong MorphLink (Word),có,,,horsier,horsiest,,,,,,,,,,/hˈɔːsi/,real
hospitality,noun,kindness in welcoming guests or strangers,"sự hiếu khách, lòng mến khách",[hospital]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],hospitalities,,,,,,,,,,,,/ˌhɑspəˈtæɫəti/,real
hospitalization,noun,placing in medical care in a hospital,việc đưa vào bệnh viện để điều trị,[hospital]-ize-ion,root,Đã có sẵn trong MorphLink (Word),có,N[C],hospitalizations,,,,,,,,,,,,/ˌhɑspɪtəɫəˈzeɪʃən/,real
hospitalize,verb,admit into a hospital,nhập viện,[hospital]-ize,root,Đã có sẵn trong MorphLink (Word),có,,,,,,hospitalizes,hospitalizing,hospitalized,hospitalized,,,,,/ˈhɔˌspɪtəˌɫaɪz/,real
hostage,noun,a person who is seized and held captive by someone in order to force others to meet certain demands,một người bị bắt giữ làm con tin nhằm buộc người khác phải đáp ứng một số yêu cầu nhất định,host-age,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],hostages,,,,,,,,,,,,/ˈhɑstɪʤ/,"generated (eng_to_ipa/CMUdict, algorithmic)"
hostess,noun,a woman innkeeper,nữ chủ quán trọ hoặc nữ chủ nhà,[host]-ess,root,Đã có sẵn trong MorphLink (Word),có,N[C],hostesses,,,,,,,,,,,,/ˈhoʊstəs/,real
hostilely,adverb,with hostility,một cách thù địch,[hostile]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/hˈɑːstəlli/,"generated (espeak-ng G2P, algorithmic)"
hostility,noun,(usually plural) acts of warfare or armed conflict between opposing groups or countries,"(thường dùng số nhiều) các hành động chiến tranh, xung đột vũ trang giữa các phe hoặc quốc gia đối địch",[hostile]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],hostilities,,,,,,,,,,Danh từ số nhiều mang nghĩa riêng (lexical plural),,/hɑˈstɪɫəti/,real
hotbed,noun,a bed of earth covered with glass and heated by rotting manure to promote the growth of plants,luống đất kính nóng bằng phân ủ để thúc cây mọc,[hot+bed],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hotbeds,,,,,,,,,,,,/ˈhɑtˌbɛd/,real
hotdogs,noun,"cooked sausages, usually served in a long soft bread roll","món xúc xích đã nấu chín, thường kẹp trong ổ bánh mì dài mềm",[hot+dog],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ này vốn đã ở dạng số nhiều/tập hợp,,,,/ˈhɑtˌdɔɡz/,real
hotelier,noun,an owner or manager of hotels,chủ hoặc người quản lý khách sạn,[hotel]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],hoteliers,,,,,,,,,,,,/hoʊˈtɛɫjɝ/,real
hotfoot,adverb,without delay,"không chậm trễ, vội vàng",[hot+foot],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/hˈɒtfʊt/,real
hothead,noun,a reckless impetuous irresponsible person,"người nóng nảy, thiếu suy nghĩ",[hot+head],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hotheads,,,,,,,,,,,,/hˈɒthɛd/,real
hotheadedly,adverb,"in an impulsive, hot-tempered way, without thinking carefully first","theo cách nóng nảy, bốc đồng mà không suy nghĩ kỹ trước",[hot+head]-ly,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/hˈɑːthɪdᵻdli/,"generated (espeak-ng G2P, algorithmic)"
hothouse,noun,a greenhouse in which plants are arranged in a pleasing manner,nhà kính trồng cây,[hot+house],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hothouses,,,,,,,,,,,,/ˈhɑtˌhaʊs/,real
hotly,adverb,in a heated manner,"một cách gay gắt, sôi nổi",[hot]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhɑtɫi/,real
hotplate,noun,a portable electric appliance for heating or cooking or keeping food warm,bếp điện di động để hâm hoặc nấu thức ăn,[hot+plate],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hotplates,,,,,,,,,,,,/hˈɒtpleɪt/,real
hotpot,noun,a stew of meat and potatoes cooked in a tightly covered pot,món hầm thịt và khoai tây trong nồi đậy kín,[hot+pot],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hotpots,,,,,,,,,,,,/ˈhɑtˌpɔt/,real
hotrod,noun,a car that has been specially modified to have a more powerful engine and go faster,một chiếc xe hơi được độ lại để có động cơ mạnh hơn và chạy nhanh hơn,[hot+rod],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hotrods,,,,,,,,,,,,/hˈɑːtɹɑːd/,"generated (espeak-ng G2P, algorithmic)"
hourglass,noun,a sandglass that runs for sixty minutes,đồng hồ cát chạy trong sáu mươi phút,[hour+glass],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hourglasses,,,,,,,,,,,,/ˈaʊɝˌɡɫæs/,real
hourly,adverb,every hour,mỗi giờ một lần,[hour]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈaʊɹɫi/,real
houseboat,noun,a barge that is designed and equipped for use as a dwelling,thuyền được thiết kế để ở,[house+boat],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],houseboats,,,,,,,,,,,,/ˈhaʊsˌboʊt/,real
housebound,adjective,confined usually by illness,"bị giam cầm trong nhà, thường vì bệnh",[house+bound],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more housebound,most housebound,,,,,,,,,,/hˈaʊsbaʊnd/,real
houseboy,noun,a male servant who works in a private house,người hầu nam làm việc trong một gia đình,[house+boy],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],houseboys,,,,,,,,,,,,/hˈaʊsbɔɪ/,real
housebreaker,noun,a burglar who unlawfully breaks into and enters another person's house,kẻ đột nhập nhà để trộm,[house+break]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housebreakers,,,,,,,,,,,,/hˈaʊsbɹeɪkɐ/,real
housebreaking,noun,trespassing for an unlawful purpose,hành vi đột nhập nhà bất hợp pháp,[house+break],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housebreakings,,,,,,,,,,,,/hˈaʊsbɹeɪkɪŋ/,real
housecoat,noun,a loose dressing gown for women,áo choàng nhà rộng thùng thình cho phụ nữ,[house+coat],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housecoats,,,,,,,,,,,,/hˈaʊskəʊt/,real
housecraft,noun,skill in domestic management,kỹ năng quản lý việc nhà,[house+craft],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housecrafts,,,,,,,,,,,,/hˈaʊskɹæft/,"generated (espeak-ng G2P, algorithmic)"
housedog,noun,a dog trained to guard a house,chó được huấn luyện để canh nhà,[house+dog],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housedogs,,,,,,,,,,,,/hˈaʊsdɑːɡ/,"generated (espeak-ng G2P, algorithmic)"
housefather,noun,a man in charge of children in an institution,nam quản giáo phụ trách trẻ trong cơ sở,[house+father],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housefathers,,,,,,,,,,,,/hˈaʊsfɑːðɚ/,"generated (espeak-ng G2P, algorithmic)"
housefly,noun,common fly that frequents human habitations and spreads many diseases,"ruồi nhà thường gặp, lan truyền nhiều bệnh",[house+fly],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],houseflies,,,,,,,,,,,,/hˈaʊsflaɪ/,real
houseful,noun,as many as a house will accommodate,số người hoặc đồ đủ đầy một ngôi nhà,[house]-ful,root,Đã có sẵn trong MorphLink (Word),có,N[C],housefuls,,,,,,,,,,,,/ˈhaʊsfəɫ/,real
household,noun,all the people living together in a house or flat,tất cả những người sống chung trong một nhà,[house+hold],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],households,,,,,,,,,,,,/ˈhaʊsˌhoʊɫd/,real
householder,noun,someone who owns a home,"chủ hộ, người sở hữu nhà",[house+hold]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],householders,,,,,,,,,,,,/ˈhaʊsˌhoʊɫdɝ/,real
housekeeper,noun,a servant who is employed to perform domestic task in a household,người giúp việc quản lý công việc nội trợ,[house+keep]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housekeepers,,,,,,,,,,,,/ˈhaʊˌskipɝ/,real
housekeeping,noun,the work of cleaning and running a house,việc dọn dẹp và quản lý nhà cửa,[house+keep],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housekeepings,,,,,,,,,,,,/ˈhaʊˌskipɪŋ/,real
houselights,noun,lights that illuminate the audience's part of a theater or other auditorium,đèn chiếu sáng khu vực khán giả trong rạp,[house+light],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,,,/hˈaʊslaɪts/,"generated (espeak-ng G2P, algorithmic)"
houseman,noun,an advanced student or graduate in medicine gaining supervised practical experience,bác sĩ thực tập nội trú,[house+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housemen,,,,,,,,,,,,/ˈhaʊsmən/,real
housemaster,noun,teacher in charge of a school boardinghouse,giáo viên phụ trách ký túc xá trường,[house+master],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housemasters,,,,,,,,,,,,/hˈaʊsmɑːstɐ/,real
housemother,noun,a woman employed as a chaperon in a residence for young people,nữ giám thị trong ký túc xá thanh niên,[house+mother],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housemothers,,,,,,,,,,,,/hˈaʊsmʌðɚ/,"generated (espeak-ng G2P, algorithmic)"
housepaint,noun,paint used to cover the exterior woodwork of a house,sơn dùng để phủ phần gỗ bên ngoài nhà,[house+paint],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housepaints,,,,,,,,,,,,/hˈaʊspeɪnt/,"generated (espeak-ng G2P, algorithmic)"
houseproud,adjective,excessively proud of and attentive to the appearance and cleanliness of one's home,"quá tự hào và chăm chút quá mức đến vẻ ngoài, sự sạch sẽ của ngôi nhà mình",[house+proud],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more houseproud,most houseproud,,,,,,,,,,/hˈaʊspɹaʊd/,real
houseroom,noun,space for accommodation in a house,chỗ ở trong nhà,[house+room],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],houserooms,,,,,,,,,,,,/hˈaʊsɹuːm/,real
housetops,noun,the roofs of houses,"mái nhà, nóc nhà",[house+top],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,,,/hˈaʊstɒps/,real
housetrained,adjective,"(of a pet) trained to urinate and defecate outside or in a particular place, not inside the house","(về thú cưng) đã được huấn luyện đi vệ sinh đúng chỗ, không phóng uế trong nhà",[house+train],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Tính từ tuyệt đối/phân loại, không dùng dạng so sánh hơn/nhất",,,,,,,,,/hˈaʊstɹeɪnd/,"generated (espeak-ng G2P, algorithmic)"
housewarming,noun,a party of people assembled to celebrate moving into a new home,tiệc mừng chuyển vào nhà mới,[house+warm],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housewarmings,,,,,,,,,,,,/ˈhaʊˌswɑmɪŋ/,real
housewife,noun,a wife who manages a household while her husband earns the family income,"người nội trợ, vợ quản lý việc nhà",[house+wife],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housewives,,,,,,,,,,,,/ˈhaʊˌswaɪf/,real
housewifely,adjective,related or suited to a housewife,liên quan hoặc phù hợp với người nội trợ,[house+wife]-ly,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more housewifely,most housewifely,,,,,,,,,,/hˈaʊswaɪfli/,real
housewifery,noun,the work of a housewife,công việc của người nội trợ,[house+wife]-ory,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],housewiferies,,,,,,,,,,,,/hˈaʊswɪfəɹi/,real
housework,noun,the work of cleaning and running a house,"việc nhà, việc dọn dẹp và chạy nhà",[house+work],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],houseworks,,,,,,,,,,,,/ˈhaʊˌswɝk/,real
however,adverb,used to introduce a statement that contrasts with something that has just been said,tuy nhiên; dùng để nêu điều trái với điều vừa nói,[how+ever],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/ˌhaʊˈɛvɝ/,real
howsoever,adverb,in whatever way or to whatever extent,dù thế nào đi nữa,[how+so+ever],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/haʊsˌəʊˈɛvɐ/,real
howsomever,adverb,an archaic or nonstandard variant of however,tuy nhiên (biến thể cổ/không chuẩn của however),[how+some+ever],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/hˈaʊsoʊmvɚ/,"generated (espeak-ng G2P, algorithmic)"
hugely,adverb,extremely,"cực kỳ, hết sức",[huge]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhjudʒɫi/,real
hugeness,noun,"the quality of being extremely large in size, amount or degree","tính chất cực kỳ to lớn về kích thước, số lượng hoặc mức độ",[huge]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/hjˈuːdʒnəs/,real
huger,adjective,"more huge; larger in size, amount or degree than something else","to lớn hơn về kích thước, số lượng hoặc mức độ so với cái khác",[huge]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,,,/hˈuːɡɐ/,real
hugest,adjective,"most huge; the largest in size, amount or degree","to lớn nhất về kích thước, số lượng hoặc mức độ",[huge]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more hugest,most hugest,,,,,,,,,,/ˈhjudʒəst/,real
humanism,noun,the doctrine emphasizing a person's capacity for self-realization through reason,học thuyết nhấn mạnh khả năng tự thực hiện của con người nhờ lý trí,[human]-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],humanisms,,,,,,,,,,,,/ˈhjuməˌnɪzəm/,real
humanist,adjective,marked by humanistic values and devotion to human welfare,mang giá trị nhân văn và quan tâm đến phúc lợi con người,[human]-ist,root,Đã có sẵn trong MorphLink (Word),có,,,more humanist,most humanist,,,,,,,,,,/ˈhjumənɪst/,real
humanistic,adjective,marked by humanistic values and devotion to human welfare,mang giá trị nhân văn và quan tâm đến phúc lợi con người,[human]-ist-ic,root,Đã có sẵn trong MorphLink (Word),có,,,more humanistic,most humanistic,,,,,,,,,,/ˌhjuməˈnɪstɪk/,real
humanitarian,adjective,connected with helping people who are suffering and improving the conditions that they are living in,liên quan đến việc giúp người đang khổ và cải thiện điều kiện sống,[human]-ian,root,Đã có sẵn trong MorphLink (Word),có,,,more humanitarian,most humanitarian,,,,,,,,,,/ˌhjuˌmænəˈtɛɹiən/,real
humanitarianism,noun,the doctrine that people's duty is to promote human welfare,học thuyết cho rằng nghĩa vụ là thúc đẩy phúc lợi con người,[human]-ian-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],humanitarianisms,,,,,,,,,,,,/hjˌuːmɐnɪtˈeəɹiənˌɪzəm/,real
humanity,noun,people in general,"nhân loại, con người nói chung",[human]-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],humanities,,,,,,,,,,,,/hjuˈmænɪti/,real
humanize,verb,make more humane,làm cho nhân văn hơn,[human]-ize,root,Đã có sẵn trong MorphLink (Word),có,,,,,,humanizes,humanizing,humanized,humanized,,,,,/ˈhjuməˌnaɪz/,real
humankind,noun,all of the living human inhabitants of the earth,toàn thể loài người trên trái đất,[human+kind],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],humankinds,,,,,,,,,,,,/ˈhjumənˌkaɪnd/,real
humanly,adverb,in the manner of human beings,theo cách của con người,[human]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhjumənɫi/,real
humanness,noun,the quality of being human,tính chất là con người,[human]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈhjumənnəs/,real
humbler,noun,"One who, or that which, humbles some one.",người hoặc thứ làm cho ai đó khiêm tốn hơn,[humble]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],humblers,,,,,,,,,,,,/ˈhəmbəɫɝ/,real
humblest,adjective,most humble; showing the least amount of pride or self-importance,"khiêm tốn nhất, ít kiêu ngạo hoặc tự cao nhất",[humble]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more humblest,most humblest,,,,,,,,,,/ˈhəmbəɫəst/,real
humbly,adverb,in a humble manner,một cách khiêm tốn,[humble]-y,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhəmbɫi/,real
humidity,noun,the amount of moisture or water vapour present in the air,lượng hơi ẩm hoặc hơi nước có trong không khí,humid-ity,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],humidities,,,,,,,,,,,,/hjuˈmɪdəti/,"generated (eng_to_ipa/CMUdict, algorithmic)"
humorist,noun,someone who acts speaks or writes in an amusing way,người nói hoặc viết một cách hài hước,[humor]-ist,root,Đã có sẵn trong MorphLink (Word),có,N[C],humorists,,,,,,,,,,,,/ˈhjumɝəst/,real
humorous,adjective,funny; showing a sense of humour,hài hước; có khiếu hài hước,[humor]-ious,root,Đã có sẵn trong MorphLink (Word),có,,,more humorous,most humorous,,,,,,,,,,/ˈhjumɝəs/,real
humorously,adverb,in a humorous manner,một cách hài hước,[humor]-ious-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhjumɝəsɫi/,real
hundredfold,adverb,by a factor of one hundred,gấp trăm lần,[hundred]-fold,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/hˈʌndɹɪdfˌəʊld/,real
hundredth,adjective,the ordinal number of one hundred in counting order,thứ một trăm,[hundred]-th,root,Đã có sẵn trong MorphLink (Word),có,,,,,Số thứ tự (ordinal) — không có dạng so sánh hơn/nhất,,,,,,,,,/ˈhəndɹədθ/,real
hundredweight,noun,a British unit of weight equivalent to 112 pounds,đơn vị trọng lượng Anh bằng 112 pao,[hundred+weigh]-t,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],hundredweights,,,,,,,,,,,,/ˈhəndɹədˌweɪt/,real
hungrier,adjective,more hungry; feeling a greater need or desire to eat than before,"đói hơn, cảm thấy muốn ăn nhiều hơn trước",[hungry]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,,,/ˈhəŋɡɹiɝ/,real
hungriest,adjective,most hungry; feeling the greatest need or desire to eat,"đói nhất, cảm thấy muốn ăn nhiều nhất",[hungry]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more hungriest,most hungriest,,,,,,,,,,/hˈʌŋɡɹɪəst/,real
hungrily,adverb,in the manner of someone who is very hungry,một cách đói khát,[hungry]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhəŋɡɹəɫi/,real
hunter,noun,a watch with a hinged metal lid to protect the crystal,đồng hồ bỏ túi có nắp kim loại bảo vệ mặt kính,[hunt]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],hunters,,,,,,,,,,,,/ˈhəntɝ/,real
huntress,noun,a woman hunter,nữ thợ săn,[hunt]-ess,root,Đã có sẵn trong MorphLink (Word),có,N[C],huntresses,,,,,,,,,,,,/ˈhəntɹɪs/,real
huntsman,noun,someone who hunts game,người đi săn thú,[hunt+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],huntsmen,,,,,,,,,,,,/ˈhəntsmən/,real
hurriedly,adverb,in a hurried or hasty manner,một cách vội vàng,[hurry]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈhɝidɫi/,real
hurtful,adjective,harmful to living things,gây hại cho sinh vật,[hurt]-ful,root,Đã có sẵn trong MorphLink (Word),có,,,more hurtful,most hurtful,,,,,,,,,,/ˈhɝtfəɫ/,real
hurtfully,adverb,in a way that causes emotional pain or distress to someone,theo cách gây tổn thương hoặc đau khổ về mặt tình cảm cho ai đó,[hurt]-ful-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/hˈɜːtfəli/,"generated (espeak-ng G2P, algorithmic)"
hurtfulness,noun,the quality of causing emotional pain or hurt to someone,tính chất gây tổn thương hoặc đau khổ về tình cảm cho ai đó,[hurt]-ful-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/hˈɜːtfəlnəs/,"generated (espeak-ng G2P, algorithmic)"
husbandman,noun,a person who operates a farm,"người làm nông, nông dân",[husband+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],husbandmen,,,,,,,,,,,,/hˈʌsbəndmən/,real
husbandry,noun,the practice of cultivating the land or raising stock,nghề trồng trọt hoặc chăn nuôi,[husband]-ory,root,Đã có sẵn trong MorphLink (Word),có,N[C],husbandries,,,,,,,,,,,,/ˈhəzbəndɹi/,real
hypercellularity,noun,the state of having abnormally many cells,tình trạng có số tế bào bất thường nhiều,hyper-[cell]-ule-ar-ity,root,Đã có sẵn trong MorphLink (Word),có,N[C],hypercellularities,,,,,,,,,,,,/hˌaɪpɚsˌɛljʊlˈæɹᵻɾi/,"generated (espeak-ng G2P, algorithmic)"
