root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
bite,verb,"to cut, grip, or wound something with the teeth",cắn,không,,Root gốc
blame,verb,to hold someone responsible for a fault or wrong,"đổ lỗi, trách móc",không,,Root gốc
blank,adjective,not marked or filled in; empty,"trống, để trắng",không,,Root gốc
bottle,noun,"a container for holding liquids, typically made of glass or plastic","chai, lọ",không,,Root gốc
bounce,verb,to spring back after hitting a surface,"nảy, bật lên",không,,Root gốc
bow,noun,"a weapon for shooting arrows, or a curved shape/knot","cây cung; hình cung, vòng cung",không,,Root gốc
last,verb,to continue to exist or happen over a period of time; also: final in a sequence,"kéo dài, tồn tại lâu; hoặc cuối cùng, sau chót",không,,Root gốc
no,adverb,not any; used to give a negative response,"không, không có",không,,Root gốc
noon,noun,twelve o'clock in the day; midday,"buổi trưa, 12 giờ trưa",không,,Root gốc
neat,adjective,"tidy, orderly, and clean","gọn gàng, ngăn nắp",không,,Root gốc
needle,noun,"a small, thin, pointed tool used for sewing",cây kim,không,,Root gốc
flesh,noun,the soft substance of the body consisting of muscle and fat,"thịt, da thịt",không,,Root gốc
flight,noun,an act of flying; a journey made by air,chuyến bay; sự bay,không,,Root gốc
float,verb,to rest or move on the surface of a liquid without sinking,"nổi, trôi nổi",không,,Root gốc
distinguish,verb,to recognize a difference between things,phân biệt,không,,Root gốc
disturb,verb,to interrupt or interfere with someone or something; to worry,"làm phiền, quấy rầy",không,,Root gốc
discover,verb,to find or become aware of something for the first time,"khám phá, phát hiện",không,,Root gốc
due,adjective,expected at a certain time; owed as a debt or obligation,"đến hạn, phải trả; đúng mức",không,,Root gốc
drive,verb,to operate and control the direction of a vehicle; to push forward,lái (xe); thúc đẩy,không,,Root gốc
secular,adjective,not connected with religious or spiritual matters,"thế tục, không liên quan tôn giáo",không,,Root gốc
rebel,verb,to resist or rise up against authority or control,"nổi loạn, chống đối",không,,Root gốc
rank,noun,a position in a hierarchy or order,"cấp bậc, thứ hạng",không,,Root gốc
raw,adjective,"uncooked, or in a natural, unprocessed state","sống, thô, chưa qua chế biến",không,,Root gốc
frog,noun,a small tailless amphibian,con ếch,không,,Root gốc
frame,noun,a rigid structure that surrounds or supports something,"khung, khung sườn",không,,Root gốc
fraud,noun,wrongful or criminal deception intended for financial gain,"sự lừa đảo, gian lận",không,,Root gốc
frequent,adjective,occurring often,"thường xuyên, hay xảy ra",không,,Root gốc
narrow,adjective,of small width; not wide,hẹp,không,,Root gốc
nasty,adjective,unpleasant or disagreeable,"khó chịu, tồi tệ",không,,Root gốc
beam,noun,a long piece of wood or metal used as a structural support; a ray of light,"xà, dầm (kết cấu); tia sáng",không,,Root gốc
tough,adjective,strong enough to withstand hardship; difficult,"cứng cỏi, dai; khó khăn",không,,Root gốc
tide,noun,the rise and fall of sea level caused by the moon's gravitational pull,thủy triều,không,,Root gốc
boast,verb,to speak with excessive pride about oneself or one's achievements,khoe khoang,không,,Root gốc
boil,verb,to heat a liquid until it bubbles and turns to vapour,"đun sôi, sôi",không,,Root gốc
little,adjective,"small in size, amount, or degree","nhỏ, ít",không,,Root gốc
link,noun,a connection between two things; a ring of a chain,"liên kết, mắt xích",không,,Root gốc
manner,noun,the way in which something is done; (plural) polite social behaviour,"cách thức, phong cách; (số nhiều) cách cư xử",không,,Root gốc
lyric,adjective,"(of poetry or music) expressing the writer's emotions in a direct, personal way",trữ tình; (liên quan) lời bài hát,không,,Root gốc
avoid,verb,"to keep away from, or prevent from happening","tránh, né tránh",không,,Root gốc
first,adjective,coming before all others in time or order,"đầu tiên, thứ nhất",không,,Root gốc
fierce,adjective,"having a violent, aggressive nature; very intense","hung dữ, dữ dội",không,,Root gốc
seal,verb,to close or fasten something so it is airtight or secure,"niêm phong, bịt kín, đóng dấu",không,,Root gốc
scratch,verb,"to rub or mark a surface with something sharp, such as nails or claws","cào, gãi, làm trầy xước",không,,Root gốc
screen,noun,"a flat surface for displaying images, or a movable partition",màn hình; tấm chắn,không,,Root gốc
say,verb,to speak or utter words; to express something in words,"nói, phát biểu, diễn đạt bằng lời",không,,Root gốc
scale,noun,a series of marks at fixed intervals used for measuring; also the relative size of something,"thang đo, tỷ lệ, quy mô đo lường",không,,Root gốc
scene,noun,the place where an event occurs; a part of a play or film,"cảnh, bối cảnh, hiện trường",không,,Root gốc
endure,verb,to suffer something painful or difficult patiently; to last over time,"chịu đựng, bền bỉ, tồn tại lâu dài",không,,Root gốc
empty,adjective,containing nothing; having no contents,"trống rỗng, không có gì bên trong",không,,Root gốc
saint,noun,a person officially recognized as holy or virtuous,"vị thánh, người thánh thiện",không,,Root gốc
finance,noun,"the management of money, especially by governments or organizations","tài chính, việc quản lý tiền bạc",không,,Root gốc
feel,verb,to experience a physical or emotional sensation; to touch,"cảm thấy, cảm nhận, sờ",không,,Root gốc
fond,adjective,having a liking or affection for someone or something,"yêu thích, có cảm tình với",không,,Root gốc
food,noun,any nutritious substance eaten to sustain life,"thức ăn, đồ ăn",không,,Root gốc
extreme,adjective,reaching a very high or the highest degree; far from moderate,"cực độ, quá mức",không,,Root gốc
rush,verb,to move or act with great haste,"vội vã, hối hả, lao nhanh",không,,Root gốc
rude,adjective,offensively impolite or bad-mannered,"thô lỗ, khiếm nhã",không,,Root gốc
excuse,verb,to forgive or overlook a fault; to try to justify,"tha thứ, bào chữa, xin lỗi",không,,Root gốc
examine,verb,to inspect or investigate something carefully,"kiểm tra, xem xét kỹ lưỡng",không,,Root gốc
expense,noun,the cost incurred in doing something; money spent,"chi phí, phí tổn",không,,Root gốc
response,noun,a reply or reaction to something,"sự phản hồi, sự đáp lại",không,,Root gốc
remote,adjective,far away in space or time; distant,"xa xôi, hẻo lánh",không,,Root gốc
register,verb,to record officially in a list; to enrol,"đăng ký, ghi tên vào danh sách",không,,Root gốc
regret,verb,to feel sorrow or remorse over something,"hối tiếc, ân hận",không,,Root gốc
trick,noun,a cunning or skillful act intended to deceive or amuse,"mánh khóe, trò lừa, mẹo vặt",không,,Root gốc
trip,noun,a journey to a place and back; also to stumble,chuyến đi; sự vấp ngã,không,,Root gốc
transmit,verb,"to send or pass something from one place, person, or thing to another","truyền, gửi, phát đi",không,,Root gốc
tree,noun,a tall woody plant with a trunk and branches,"cây (thân gỗ, có cành lá)",không,,Root gốc
trait,noun,a distinguishing quality or characteristic of a person,"đặc điểm, nét tính cách",không,,Root gốc
trace,verb,to find or discover by investigation; a mark left behind,"lần theo dấu vết, tìm ra nguồn gốc",không,,Root gốc
trade,noun,the buying and selling of goods and services,"sự buôn bán, thương mại",không,,Root gốc
muscle,noun,a body tissue that contracts to produce movement,"cơ, cơ bắp",không,,Root gốc
mouse,noun,a small rodent; also a computer pointing device,con chuột (loài gặm nhấm hoặc thiết bị máy tính),không,,Root gốc
more,adverb,to a greater extent or degree; a greater or additional amount,"nhiều hơn, hơn nữa",không,,Root gốc
motion,noun,the action or process of moving; a proposal put forward,sự chuyển động; kiến nghị,không,,Root gốc
member,noun,a person belonging to a group or organization,thành viên,không,,Root gốc
vague,adjective,not clearly expressed or defined; uncertain,"mơ hồ, không rõ ràng",không,,Root gốc
vast,adjective,"extremely large in area, size, or extent","rộng lớn, bao la",không,,Root gốc
understand,verb,to perceive the meaning of something; to comprehend,"hiểu, nắm rõ",không,,Root gốc
mineral,noun,a naturally occurring inorganic solid substance,"khoáng chất, khoáng vật",không,,Root gốc
absolute,adjective,complete and total; not qualified or diminished,"tuyệt đối, hoàn toàn",không,,Root gốc
mild,adjective,gentle and not severe or harsh,"nhẹ nhàng, ôn hòa",không,,Root gốc
million,noun,"the number 1,000,000",một triệu,không,,Root gốc
merit,noun,the quality of deserving praise or reward; worthiness,"công trạng, giá trị đáng khen",không,,Root gốc
mess,noun,a state of disorder or untidiness,"sự bừa bộn, lộn xộn",không,,Root gốc
absent,adjective,not present in a place; missing,"vắng mặt, không có mặt",không,,Root gốc
accuse,verb,to charge someone with an offense or fault,"buộc tội, cáo buộc",không,,Root gốc
allege,verb,to claim something is true without proof,"cáo buộc, khẳng định khi chưa có bằng chứng",không,,Root gốc
all,determiner,the whole quantity or extent of; every one of,"tất cả, toàn bộ",không,,Root gốc
adverse,adjective,"preventing success or development; harmful, unfavorable","bất lợi, có hại, nghịch",không,,Root gốc
accent,noun,a distinctive way of pronouncing words typical of a region; emphasis,"giọng nói vùng miền; trọng âm, sự nhấn mạnh",không,,Root gốc
angel,noun,a spiritual being regarded as a messenger of God,thiên thần,không,,Root gốc
marine,adjective,relating to the sea,"thuộc về biển, hàng hải",không,,Root gốc
whip,noun,a length of cord or leather used for striking; also to strike with one,"roi da; quất, đánh bằng roi",không,,Root gốc
might,noun,great power or strength,"sức mạnh, quyền lực",không,,Root gốc
mile,noun,"a unit of distance equal to 1,609 meters",dặm (đơn vị đo chiều dài),không,,Root gốc
wish,verb,to want or hope for something,"ước, mong muốn",không,,Root gốc
aim,noun,a purpose or intention; the direction toward a target,"mục đích, mục tiêu; sự nhắm vào",không,,Root gốc
mayor,noun,the elected head of a city or town government,thị trưởng,không,,Root gốc
crash,verb,to collide violently; to fall or hit with a loud noise,"va chạm mạnh, đâm sầm, sụp đổ",không,,Root gốc
soil,noun,the top layer of earth in which plants grow,"đất, đất trồng",không,,Root gốc
abuse,verb,to use wrongly or harmfully; to treat cruelly,"lạm dụng, ngược đãi",không,,Root gốc
metre,noun,a unit of length equal to 100 centimeters,mét (đơn vị đo chiều dài),không,,Root gốc
medal,noun,a metal disc awarded for an achievement,huy chương,không,,Root gốc
mention,verb,to refer to something briefly,"đề cập, nhắc đến",không,,Root gốc
much,determiner,a large amount of something,nhiều (số lượng lớn),không,,Root gốc
leap,verb,to jump a long way or to a great height,"nhảy vọt, nhảy qua",không,,Root gốc
neglect,verb,to fail to take care of or give attention to,"sao lãng, bỏ bê",không,,Root gốc
neighbour,noun,a person living near another,người hàng xóm,không,,Root gốc
mood,noun,a temporary state of mind or feeling,tâm trạng,không,,Root gốc
lion,noun,a large wild cat native to Africa and India,sư tử,không,,Root gốc
litter,noun,rubbish or waste left in a public place,rác rưởi vứt bừa bãi,không,,Root gốc
less,adverb,a smaller amount; not as much,ít hơn,không,,Root gốc
lazy,adjective,unwilling to work or use energy,lười biếng,không,,Root gốc
die,verb,to stop living,"chết, qua đời",không,,Root gốc
dimension,noun,"a measurable extent such as length, width, or height","chiều, kích thước",không,,Root gốc
dip,verb,to put briefly into liquid; a downward slope or decrease,"nhúng, chấm; sự sụt giảm",không,,Root gốc
copper,noun,a reddish-brown metallic element,đồng (kim loại),không,,Root gốc
not,adverb,used to express negation,không (từ phủ định),không,,Root gốc
correspond,verb,to match or be similar to; to communicate by letter,"tương ứng, phù hợp; trao đổi thư từ",không,,Root gốc
cotton,noun,a soft white fibre from the cotton plant used to make cloth,"cây bông, sợi bông",không,,Root gốc
couple,noun,two people or things joined together,"một cặp, đôi",không,,Root gốc
sort,noun,a category or type of thing; to arrange in order,"loại, kiểu; sự sắp xếp",không,,Root gốc
spain,noun,"Spain, a country in southwestern Europe (the example word 'wingspan' appears unrelated and may be a segmentation artifact)","Tây Ban Nha, một quốc gia ở châu Âu (từ ví dụ 'wingspan' có vẻ không liên quan, có thể là lỗi tách hình vị)",không,,chưa chắc chắn - cần rà tay
defy,verb,to openly resist or refuse to obey,"thách thức, bất chấp, không tuân theo",không,,Root gốc
sit,verb,to rest with one's weight supported by the buttocks,ngồi,không,,Root gốc
soldier,noun,a person who serves in an army,"người lính, binh sĩ",không,,Root gốc
deck,noun,"a floor or platform, especially of a ship","boong tàu, sàn",không,,Root gốc
deep,adjective,extending far down or in from a surface,sâu,không,,Root gốc
shy,adjective,nervous or timid in the company of others,"nhút nhát, e dè",không,,Root gốc
silly,adjective,having or showing a lack of good sense; foolish,"ngớ ngẩn, dại dột",không,,Root gốc
defence,noun,the action of protecting against attack,"sự phòng thủ, bảo vệ",không,,Root gốc
defend,verb,to protect from harm or attack,"bảo vệ, phòng thủ",không,,Root gốc
scheme,noun,a systematic plan for achieving something,"kế hoạch, sơ đồ, âm mưu",không,,Root gốc
diagram,noun,a simplified drawing showing the structure of something,"sơ đồ, biểu đồ",không,,Root gốc
debt,noun,a sum of money owed to another,khoản nợ,không,,Root gốc
decent,adjective,conforming to accepted standards of behavior; respectable,"tử tế, đàng hoàng",không,,Root gốc
two,number,the number 2,số hai,không,,Root gốc
under,preposition,in or to a position below something,"ở dưới, bên dưới",không,,Root gốc
upon,preposition,on; used to indicate position or time,"trên, vào lúc",không,,Root gốc
licence,noun,"an official permit to own, do, or use something",giấy phép,không,,Root gốc
trouble,noun,"difficulty, problems, or worry","rắc rối, khó khăn, phiền phức",không,,Root gốc
jam,verb,to squeeze or wedge tightly into a space; to block,"nhét chặt, làm kẹt, tắc nghẽn",không,,Root gốc
on,preposition,positioned in contact with and supported by a surface,"trên, ở trên (vị trí tiếp xúc)",không,,Root gốc
nurse,noun,a person trained to care for the sick,y tá,không,,Root gốc
usual,adjective,habitually or typically occurring; customary,"thông thường, bình thường",không,,Root gốc
bad,adjective,of poor quality; not good,"xấu, tồi, kém",không,,Root gốc
modify,verb,to make partial changes to something,"sửa đổi, thay đổi một phần",không,,Root gốc
month,noun,one of the twelve periods into which a year is divided,tháng,không,,Root gốc
often,adverb,frequently; many times,thường xuyên,không,,Root gốc
deploy,verb,to move troops or resources into position for action,"triển khai, bố trí",không,,Root gốc
double,adjective,twice as much or as many; consisting of two matching parts,"gấp đôi, kép",không,,Root gốc
scandal,noun,an action or event causing outrage and disgrace,"vụ bê bối, xì căng đan",không,,Root gốc
concern,noun,a feeling of worry; a matter of interest or importance,"sự lo lắng, mối quan tâm",không,,Root gốc
distress,noun,"extreme anxiety, sorrow, or pain","sự đau khổ, khốn khổ",không,,Root gốc
sad,adjective,feeling or showing sorrow; unhappy,"buồn, buồn bã",không,,Root gốc
rotate,verb,to move in a circle around an axis or center,"quay, xoay tròn",không,,Root gốc
confer,verb,to discuss something to reach a decision; to grant,"hội ý, bàn bạc; trao tặng",không,,Root gốc
pant,verb,"to breathe with short, quick breaths","thở hổn hển, thở gấp",không,,Root gốc
parliament,noun,the highest legislative body of a country,"quốc hội, nghị viện",không,,Root gốc
oblige,verb,to make someone legally or morally bound to do something,"buộc, bắt buộc về mặt nghĩa vụ",không,,Root gốc
obsess,verb,to fill the mind of someone continually; to preoccupy,"ám ảnh, khiến bận tâm không dứt",không,,Root gốc
pace,noun,a single step in walking; the speed of movement,bước chân; tốc độ,không,,Root gốc
infer,verb,to deduce something from evidence and reasoning,"suy ra, suy luận",không,,Root gốc
aware,adjective,having knowledge or perception of a situation,"nhận thức, biết rõ",không,,Root gốc
baby,noun,a very young child or infant,em bé,không,,Root gốc
assist,verb,to help someone do something,"hỗ trợ, giúp đỡ",không,,Root gốc
venture,noun,"a risky or daring undertaking, especially in business",công việc hoặc dự án mạo hiểm,không,,Root gốc
early,adjective,happening or done before the expected or usual time,sớm,không,,Root gốc
edge,noun,the outer limit or boundary line of something,"cạnh, mép, bờ",không,,Root gốc
ruin,noun,the physical destruction of something; to destroy,"sự đổ nát, tàn phá; phá hủy",không,,Root gốc
sack,noun,a large bag made of strong fabric; to dismiss from a job,cái bao tải; sự sa thải,không,,Root gốc
dry,adjective,free from moisture or liquid,khô,không,,Root gốc
dull,adjective,lacking interest or excitement; not sharp,"buồn tẻ, đần độn, không sắc bén",không,,Root gốc
dump,verb,to deposit or drop something carelessly,"đổ, vứt bỏ một cách bừa bãi",không,,Root gốc
seat,noun,a place where one may sit,"chỗ ngồi, ghế",không,,Root gốc
draft,noun,a preliminary version of a piece of writing; a current of air,bản nháp; luồng gió,không,,Root gốc
drink,verb,to take liquid into the mouth and swallow,uống,không,,Root gốc
commence,verb,to begin or start,"bắt đầu, khởi sự",không,,Root gốc
comment,noun,a spoken or written remark expressing an opinion,"lời bình luận, nhận xét",không,,Root gốc
stake,noun,a pointed stick driven into the ground; a share or interest in something,"cọc nhọn; phần góp vốn, cổ phần",không,,Root gốc
stark,adjective,severe or bare in appearance; complete and obvious,"trơ trụi, hoàn toàn rõ rệt",không,,Root gốc
spite,noun,a desire to hurt or annoy someone,"sự hằn học, ác ý",không,,Root gốc
convenient,adjective,fitting in well with a person's needs; easy to use,"thuận tiện, tiện lợi",không,,Root gốc
spill,verb,to cause liquid to flow out of a container accidentally,"làm đổ, tràn ra",không,,Root gốc
effort,noun,a vigorous or determined attempt,"sự nỗ lực, cố gắng",không,,Root gốc
elegant,adjective,graceful and stylish in appearance or manner,"thanh lịch, tao nhã",không,,Root gốc
staff,noun,a group of people employed by an organization,đội ngũ nhân viên của một tổ chức,không,,Root gốc
remark,verb,to say something as a comment; to notice or observe,"nói ra một điều gì đó như một nhận xét; để ý, nhận thấy",không,,Root gốc
embarrass,verb,"to cause someone to feel awkward, self-conscious, or ashamed","khiến ai đó cảm thấy ngượng ngùng, xấu hổ",không,,Root gốc
efficient,adjective,achieving maximum productivity with minimum wasted effort,"có hiệu quả, làm việc năng suất mà ít lãng phí",không,,Root gốc
pet,noun,a domesticated animal kept for companionship,"vật nuôi trong nhà, thú cưng",không,,Root gốc
host,noun,a person who receives or entertains guests,"chủ nhà, người tiếp đón khách",không,,Root gốc
hostile,adjective,"unfriendly, antagonistic, or aggressive","thù địch, mang tính đối kháng",không,,Root gốc
humble,adjective,having or showing a modest or low estimate of one's importance,"khiêm tốn, nhún nhường",không,,Root gốc
humor,noun,the quality of being amusing or comic,"sự hài hước, óc khôi hài",không,,Root gốc
peer,noun,"a person of the same status, rank, or age as another","người ngang hàng, người cùng địa vị",không,,Root gốc
people,noun,human beings in general or considered collectively,"con người, dân chúng nói chung",không,,Root gốc
isolate,verb,to cause a person or thing to be alone or separated from others,"cô lập, tách riêng ra",không,,Root gốc
invade,verb,to enter a country or territory by military force in order to conquer it,"xâm lược, tấn công xâm chiếm",không,,Root gốc
become,verb,"to begin to be, to come to be","trở nên, trở thành",không,,Root gốc
beef,noun,"the meat of a cow, bull, or ox",thịt bò,không,,Root gốc
hundred,number,the number equivalent to ten times ten,số một trăm,không,,Root gốc
leave,verb,to go away from a place or person,"rời đi, rời khỏi",không,,Root gốc
notice,verb,to become aware of or observe something,"để ý, nhận thấy",không,,Root gốc
indicate,verb,to point out or show something,"chỉ ra, cho biết",không,,Root gốc
instinct,noun,"an innate, natural pattern of behavior",bản năng,không,,Root gốc
regard,verb,to consider or think of in a particular way,"coi là, xem như",không,,Root gốc
erect,adjective,"standing up straight, vertical","thẳng đứng, dựng đứng",không,,Root gốc
resource,noun,"a stock or supply of materials, assets, or ability that can be drawn on","nguồn lực, tài nguyên",không,,Root gốc
region,noun,"an area or division, especially part of a country or the world","vùng, khu vực",không,,Root gốc
rocket,noun,"a vehicle or device propelled by a jet engine, used to travel through air or space",tên lửa,không,,Root gốc
rhetoric,noun,the art of effective or persuasive speaking or writing,"nghệ thuật hùng biện, tu từ",không,,Root gốc
rhythm,noun,"a strong, regular repeated pattern of movement or sound",nhịp điệu,không,,Root gốc
risk,noun,a situation involving exposure to danger or possible loss,"rủi ro, nguy cơ",không,,Root gốc
far,adverb,"at, to, or by a great distance","xa, ở khoảng cách lớn",không,,Root gốc
fashion,noun,"a popular trend or style, especially in clothing","thời trang, phong cách thịnh hành",không,,Root gốc
restore,verb,to bring back to a former or original condition,"khôi phục, phục hồi",không,,Root gốc
combat,noun,fighting between armed forces,"chiến đấu, giao tranh",không,,Root gốc
combine,verb,to join or merge to form a single unit,"kết hợp, hợp nhất",không,,Root gốc
ethic,noun,a set of moral principles governing behavior,nguyên tắc đạo đức,không,,Root gốc
challenge,noun,a task or situation that tests someone's abilities,thử thách,không,,Root gốc
chart,noun,a diagram or graphical representation of data,biểu đồ,không,,Root gốc
bin,noun,a container used to hold waste or store items,thùng đựng rác hoặc đồ vật,không,,Root gốc
plot,noun,the main sequence of events in a story; a secret plan,cốt truyện; âm mưu,không,,Root gốc
plug,noun,"a device for making an electrical connection, or an object used to block a hole",phích cắm; nút bịt lỗ,không,,Root gốc
pink,adjective,of a pale red color,màu hồng,không,,Root gốc
pitch,noun,the highness or lowness of a sound; a playing field,độ cao thấp của âm thanh; sân thi đấu,không,,Root gốc
toe,noun,one of the digits of the foot,ngón chân,không,,Root gốc
improve,verb,to make or become better,"cải thiện, làm cho tốt hơn",không,,Root gốc
piano,noun,a large keyboard musical instrument with wire strings,đàn piano,không,,Root gốc
hungry,adjective,feeling or displaying the need for food,"đói, cảm thấy cần ăn",không,,Root gốc
hurry,verb,to move or act with great speed,"vội vàng, hối hả",không,,Root gốc
heavy,adjective,of great weight; difficult to lift or carry,"nặng, có trọng lượng lớn",không,,Root gốc
triumph,noun,a great victory or achievement,chiến thắng vẻ vang,không,,Root gốc
story,noun,an account of imaginary or real events,câu chuyện,không,,Root gốc
street,noun,a public road in a city or town,đường phố,không,,Root gốc
statistic,noun,a fact or piece of data from a study of a large quantity of numerical data,số liệu thống kê,không,,Root gốc
random,adjective,made or done without method or conscious decision; unpredictable,ngẫu nhiên,không,,Root gốc
chain,noun,a series of connected metal rings or links,"dây xích, chuỗi",không,,Root gốc
cinema,noun,a theater where films are shown; the film industry,"rạp chiếu phim, điện ảnh",không,,Root gốc
experience,noun,knowledge or skill gained through practice or exposure to events,"kinh nghiệm, trải nghiệm",không,,Root gốc
steer,verb,to guide or control the direction of a vehicle,"lái, điều khiển hướng đi",không,,Root gốc
stir,verb,to mix a substance by moving a spoon or other utensil through it,"khuấy, trộn",không,,Root gốc
rent,noun,a payment made periodically for the use of property,tiền thuê,không,,Root gốc
resign,verb,to voluntarily leave a job or position,"từ chức, từ bỏ",không,,Root gốc
candle,noun,"a cylinder of wax with a wick, burned to give light",cây nến,không,,Root gốc
sum,noun,the total amount resulting from addition,tổng số,không,,Root gốc
exploit,verb,"to make full use of and derive benefit from, often unfairly","khai thác, lợi dụng",không,,Root gốc
cheap,adjective,"low in price, inexpensive","rẻ, giá thấp",không,,Root gốc
cheek,noun,either side of the face below the eye,má,không,,Root gốc
chest,noun,the front part of the body between the neck and abdomen,"ngực; hòm, rương",không,,Root gốc
flood,noun,an overflow of a large amount of water beyond its normal confines,lũ lụt,không,,Root gốc
gang,noun,an organized group of criminals or associates,băng nhóm,không,,Root gốc
rat,noun,a rodent with a pointed snout and long tail,chuột cống,không,,Root gốc
realize,verb,to become fully aware of something as a fact,"nhận ra, nhận thức được",không,,Root gốc
rear,noun,the back part of something,phần phía sau,không,,Root gốc
floor,noun,the surface of a room on which one walks,sàn nhà,không,,Root gốc
swim,verb,to propel oneself through water using limbs,bơi,không,,Root gốc
teach,verb,to impart knowledge or skill to someone,"dạy, giảng dạy",không,,Root gốc
fleet,adjective,"moving swiftly, fast","nhanh nhẹn, mau lẹ",không,,Root gốc
range,noun,the area of variation between limits; a series of mountains,phạm vi biến động; dãy núi,không,,Root gốc
portray,verb,to depict or represent someone or something in a work of art or writing,"khắc họa, miêu tả",không,,Root gốc
pour,verb,to flow or cause to flow in a steady stream,"đổ, rót",không,,Root gốc
powder,noun,a substance in the form of fine dry particles,bột,không,,Root gốc
prayer,noun,a solemn request or thanksgiving addressed to a deity,lời cầu nguyện,không,,Root gốc
husband,noun,a married man in relation to his spouse,chồng,không,,Root gốc
poll,noun,a survey of opinion; the process of voting,cuộc thăm dò ý kiến; sự bỏ phiếu,không,,Root gốc
poor,adjective,lacking sufficient money or means,nghèo,không,,Root gốc
hit,verb,to strike someone or something with force,"đánh, đập, va chạm",không,,Root gốc
hall,noun,a large room or building used for meetings or events; an entrance passage,"sảnh, hội trường",không,,Root gốc
bond,noun,a connection or link between people or things,mối liên kết,không,,Root gốc
pocket,noun,a small bag sewn into or attached to clothing to hold small items,"túi áo, túi quần",không,,Root gốc
poison,noun,a substance capable of causing illness or death when introduced into an organism,chất độc,không,,Root gốc
topic,noun,a subject discussed or written about,chủ đề,không,,Root gốc
tour,noun,"a journey made for pleasure or business, visiting several places","chuyến du lịch, chuyến tham quan",không,,Root gốc
toward,preposition,in the direction of,hướng về phía,không,,Root gốc
hospital,noun,an institution providing medical treatment for the sick or injured,bệnh viện,không,,Root gốc
bowl,noun,"a round, deep dish used for food or liquid","cái bát, cái tô",không,,Root gốc
forge,verb,to make or shape metal by heating and hammering; to produce a fraudulent copy,rèn kim loại; làm giả,không,,Root gốc
business,noun,commercial activity or a commercial organization,"công việc kinh doanh, doanh nghiệp",không,,Root gốc
swear,verb,to make a solemn statement or promise; to use offensive language,"thề, tuyên thệ; chửi thề",không,,Root gốc
proper,adjective,"correct, appropriate, or suitable","đúng đắn, thích hợp",không,,Root gốc
province,noun,an administrative division of a country,"tỉnh, đơn vị hành chính",không,,Root gốc
casual,adjective,relaxed and informal in manner or style,"bình thường, không trang trọng",không,,Root gốc
supreme,adjective,highest in rank or authority,tối cao,không,,Root gốc
gaze,verb,to look steadily and intently at something,nhìn chằm chằm,không,,Root gốc
gear,noun,equipment or a toothed wheel that transmits motion in a machine,"bánh răng; đồ dùng, trang bị",không,,Root gốc
ghost,noun,the spirit of a dead person believed to appear to the living,"hồn ma, bóng ma",không,,Root gốc
further,adverb,to a greater extent or distance,"xa hơn, thêm nữa",không,,Root gốc
fossil,noun,the remains or impression of an ancient organism preserved in rock,hóa thạch,không,,Root gốc
pursue,verb,to follow someone or something in order to catch them,"theo đuổi, truy đuổi",không,,Root gốc
gather,verb,to bring together or come together in one place,"tập hợp, thu thập",không,,Root gốc
team,noun,a group of people working together toward a common goal,"đội, nhóm",không,,Root gốc
territory,noun,an area of land under the control of a ruler or state,lãnh thổ,không,,Root gốc
graduate,noun,a person who has successfully completed a course of study,người tốt nghiệp,không,,Root gốc
border,noun,a line separating two political or geographical areas,biên giới,không,,Root gốc
boss,noun,a person who is in charge of a worker or organization,"sếp, người quản lý",không,,Root gốc
profound,adjective,very great or intense; showing deep insight,"sâu sắc, sâu xa",không,,Root gốc
promise,noun,a declaration that one will do or not do something,lời hứa,không,,Root gốc
gold,noun,"a precious yellow metal, chemical element","vàng, kim loại quý",không,,Root gốc
preside,verb,to be in charge of or lead a meeting or event,chủ trì,không,,Root gốc
prince,noun,"a male member of a royal family, especially a king's son",hoàng tử,không,,Root gốc
button,noun,a small disc or knob used to fasten clothing or operate a device,"cái nút, khuy áo",không,,Root gốc
calm,adjective,"not showing or feeling nervousness, anger, or other strong emotions; still","bình tĩnh, yên tĩnh",không,,Root gốc
hate,verb,to feel intense dislike for someone or something,"ghét, căm ghét",không,,Root gốc
hazard,noun,a danger or risk,mối nguy hiểm,không,,Root gốc
burst,verb,to break suddenly and violently apart,"nổ tung, vỡ tung",không,,Root gốc
bus,noun,a large motor vehicle carrying passengers,xe buýt,không,,Root gốc
ignore,verb,to refuse to take notice of or acknowledge something,"phớt lờ, bỏ qua",không,,Root gốc
illustrate,verb,to explain or make clear by using examples or pictures,minh họa,không,,Root gốc
precious,adjective,of great value; not to be wasted,quý giá,không,,Root gốc
hail,noun,small balls of ice falling as precipitation,mưa đá,không,,Root gốc
prison,noun,a building where people are confined as punishment,nhà tù,không,,Root gốc
vote,noun,a formal expression of choice in an election,"lá phiếu, sự bỏ phiếu",không,,Root gốc
warn,verb,to inform someone in advance of a possible danger,cảnh báo,không,,Root gốc
alcohol,noun,"an intoxicating liquid found in drinks such as beer, wine, and spirits","rượu, cồn",không,,Root gốc
athlete,noun,a person who is skilled in physical sports and exercises,vận động viên,không,,Root gốc
attach,verb,to fasten or join one thing to another,"gắn, đính kèm",không,,Root gốc
manifest,verb,to display or show a quality or feeling clearly,"biểu hiện, thể hiện rõ ràng",không,,Root gốc
manipulate,verb,"to handle or control skillfully, or to influence unfairly","thao túng, điều khiển khéo léo",không,,Root gốc
visit,verb,to go to see a person or place,"thăm, đến thăm",không,,Root gốc
